id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,16.03841295,0.001,25.6574542,1.559200677,,10,1.559200677,5.484568914,12.11003626,54.84568914,0,0.0007,0.001,0.007
2,29.27113804,0.001,53.23658464,2.307814572,,100,2.8192808,5.736651368,8.691992811,108.996376,0.002,0.004684211,0.006,0.089
3,98.05927116,0,170.7624759,2.032547166,,1000,1.850228499,6.097566305,13.49402116,554.8785337,0.031,0.416846154,0.572,37.933
4,105.8759504,0,195.1771969,2.398314036,,5000,1.876265937,7.980134489,17.89944935,1604.007032,2.058,11.08841791,14.11,2228.772
5,67.19376541,0.001,184.2524866,6.519150154,,,,,,,,,,
6,40.80047973,0.001,131.4305161,9.376762763,,,,,,,,,,
7,46.52581679,0.001,101.4080714,3.750693742,,,,,,,,,,
8,34.09221515,0,123.4403564,12.11003626,,,,,,,,,,
9,56.48083727,0.001,192.1779249,10.57723229,,,,,,,,,,
10,21.41879431,0.001,48.90777772,4.213937475,,,,,,,,,,
11,1152.801909,0.002,2499.303244,3.700331967,,,,,,,,,,
15,1451.448365,0.003,3571.498662,5.054772123,,,,,,,,,,
20,1904.899542,0.004,3722.741427,2.8192808,,,,,,,,,,
25,4708.597587,0.004,9407.331499,2.991625099,,,,,,,,,,
30,1805.681105,0.003,5299.416339,7.613387266,,,,,,,,,,
35,2712.271594,0.006,7137.354226,5.924814616,,,,,,,,,,
40,3015.890628,0.005,8322.441194,6.61500679,,,,,,,,,,
45,2904.312867,0.003,5885.624263,3.10675003,,,,,,,,,,
50,4305.32712,0.004,11034.89356,5.569373992,,,,,,,,,,
55,5652.445072,0.005,12242.36872,3.69092198,,,,,,,,,,
60,5490.514178,0.006,14941.50875,6.405644707,,,,,,,,,,
65,5784.526602,0.006,16950.41873,7.586678788,,,,,,,,,,
70,4124.368168,0.005,10088.58671,4.983369315,,,,,,,,,,
75,7932.553449,0.006,23000.23772,7.406953309,,,,,,,,,,
80,9286.479235,0.006,26795.67605,7.325824521,,,,,,,,,,
85,13377.41645,0.006,36287.89832,6.358327916,,,,,,,,,,
90,4326.83247,0.004,12969.49116,7.984744148,,,,,,,,,,
95,3471.677349,0.005,8621.074408,5.166575814,,,,,,,,,,
100,5965.171924,0.006,18570.7527,8.691992811,,,,,,,,,,
101,207949.1806,0.113,388798.207,2.495699399,,,,,,,,,,
110,31733.5231,0.031,63693.77311,3.028629897,,,,,,,,,,
120,162339.881,0.138,313287.3217,2.724218845,,,,,,,,,,
130,40956.39526,0.062,69145.12479,1.850228499,,,,,,,,,,
140,158226.0055,0.097,324675.8243,3.210601834,,,,,,,,,,
150,146532.4401,0.171,306355.8938,3.371041363,,,,,,,,,,
160,105450.7244,0.103,223679.7158,3.499394458,,,,,,,,,,
170,324043.4299,0.163,730076.3093,4.076098853,,,,,,,,,,
180,46414.30243,0.05,87896.89042,2.586273166,,,,,,,,,,
190,144205.3977,0.105,284872.728,2.902462294,,,,,,,,,,
200,224772.4098,0.243,541705.8394,4.808192889,,,,,,,,,,
210,189677.6751,0.115,409420.7609,3.659156371,,,,,,,,,,
220,134415.4357,0.186,306690.5435,4.205979845,,,,,,,,,,
230,187327.7068,0.29,462065.2594,5.084187662,,,,,,,,,,
240,174629.5451,0.294,386928.0944,3.909362302,,,,,,,,,,
250,213338.8821,0.231,479425.8961,4.050134527,,,,,,,,,,
260,191061.2063,0.1,390724.193,3.182111187,,,,,,,,,,
270,260941.3638,0.237,542139.92,3.316551422,,,,,,,,,,
280,399815.2777,0.471,937130.6035,4.493909116,,,,,,,,,,
290,236741.1256,0.473,457172.9485,2.729182461,,,,,,,,,,
300,379117.9625,0.379,779196.6766,3.224209605,,,,,,,,,,
310,281485.9418,0.162,491000.1736,2.042635105,,,,,,,,,,
320,194337.7826,0.258,348854.2034,2.222355373,,,,,,,,,,
330,253725.7834,0.167,548084.1853,3.666221363,,,,,,,,,,
340,617771.9498,0.545,1626989.137,5.93606152,,,,,,,,,,
350,438403.361,0.54,1333061.915,8.24597877,,,,,,,,,,
360,457977.9674,0.196,966480.1203,3.453451019,,,,,,,,,,
370,272341.4124,0.441,620612.7522,4.192948546,,,,,,,,,,
380,217060.963,0.201,441828.9594,3.14328593,,,,,,,,,,
390,395636.5236,0.377,984963.5299,5.197942549,,,,,,,,,,
400,374917.7541,0.467,834053.5607,3.948981929,,,,,,,,,,
410,418090.7029,0.4,995704.8847,4.671791466,,,,,,,,,,
420,662771.3765,0.476,1363450.644,3.232055502,,,,,,,,,,
430,605182.0759,0.561,1793481.147,7.782567935,,,,,,,,,,
440,414114.8638,0.27,909473.4461,3.823234854,,,,,,,,,,
450,324045.2677,0.526,992892.3979,8.388430682,,,,,,,,,,
460,437337.5664,0.375,1035609.039,4.60735558,,,,,,,,,,
470,364574.6463,0.509,854399.5368,4.492234632,,,,,,,,,,
480,442889.5964,0.46,1022631.608,4.3314761,,,,,,,,,,
490,417046.8905,0.326,1105274.75,6.023777132,,,,,,,,,,
500,341067.2904,0.486,832656.2839,4.96007035,,,,,,,,,,
510,467544.6173,0.493,1379527.466,7.705918164,,,,,,,,,,
520,372356.2496,0.444,904613.9695,4.902136989,,,,,,,,,,
530,442424.0993,0.237,964209.6149,3.749691089,,,,,,,,,,
540,567222.1166,0.545,1387399.407,4.982692711,,,,,,,,,,
550,268517.8279,0.527,845038.0644,8.903901059,,,,,,,,,,
560,431225.4029,0.458,1270812.622,7.684690902,,,,,,,,,,
570,551873.9406,0.534,1944604.581,11.41603232,,,,,,,,,,
580,658938.3018,0.509,1688824.725,5.568703403,,,,,,,,,,
590,440540.5314,0.441,1102305.61,5.260835498,,,,,,,,,,
600,446170.2248,0.471,1061264.336,4.657778894,,,,,,,,,,
610,419665.3632,0.431,888581.0136,3.483196823,,,,,,,,,,
620,406632.7676,0.527,1066949.218,5.88466407,,,,,,,,,,
630,571580.7229,0.55,1835652.692,9.313970487,,,,,,,,,,
640,609096.1777,0.549,1749039.233,7.24569666,,,,,,,,,,
650,561409.7967,0.572,1854881.166,9.916218236,,,,,,,,,,
660,561324.0763,0.533,1613187.119,7.259279263,,,,,,,,,,
670,573189.1761,0.554,1607571.808,6.86583444,,,,,,,,,,
680,680371.5453,0.481,1971487.554,7.396451722,,,,,,,,,,
690,312614.4778,0.549,1096209.049,11.29613411,,,,,,,,,,
700,670401.7878,0.542,1970648.545,7.640682083,,,,,,,,,,
710,850976.0057,0.548,2664154.205,8.801309155,,,,,,,,,,
720,857905.0752,0.545,2279611.661,6.060626941,,,,,,,,,,
730,659209.3708,0.553,1757181.572,6.105367343,,,,,,,,,,
740,633029.1739,0.54,1594021.098,5.340750717,,,,,,,,,,
750,498167.3301,0.552,1896573.545,13.49402116,,,,,,,,,,
760,530628.6553,0.545,1675257.019,8.967390974,,,,,,,,,,
770,742100.9686,0.543,2381994.196,9.302803129,,,,,,,,,,
780,678610.0596,0.543,2124763.608,8.803488687,,,,,,,,,,
790,716790.307,0.556,1860464.053,5.736872352,,,,,,,,,,
800,547221.26,0.553,1661989.214,8.224237546,,,,,,,,,,
810,643917.7954,0.557,2230501.265,10.99897347,,,,,,,,,,
820,620638.3609,0.539,1746511.355,6.918913454,,,,,,,,,,
830,960778.0112,0.542,2760486.877,7.255155602,,,,,,,,,,
840,458420.7035,0.542,1589902.258,11.02852584,,,,,,,,,,
850,684089.7587,0.545,2328174.493,10.58256847,,,,,,,,,,
860,777004.6657,0.545,2508008.38,9.418632358,,,,,,,,,,
870,933081.2474,0.566,3090965.242,9.973604918,,,,,,,,,,
880,894542.5741,0.57,2611525.765,7.522884444,,,,,,,,,,
890,702869.8174,0.559,2234688.165,9.108438413,,,,,,,,,,
900,866181.6043,0.529,2644682.285,8.322429335,,,,,,,,,,
910,489651.5527,0.49,1406921.667,7.255921672,,,,,,,,,,
920,800356.8015,0.518,2491291.163,8.689061113,,,,,,,,,,
930,807329.1508,0.521,2506073.812,8.63577051,,,,,,,,,,
940,646001.4046,0.539,1791559.453,6.691225151,,,,,,,,,,
950,845174.76,0.526,2851771.978,10.38509232,,,,,,,,,,
960,971746.3398,0.496,2244049.361,4.332845286,,,,,,,,,,
970,712177.2597,0.511,1951695.446,6.510137582,,,,,,,,,,
980,1039167.348,0.541,3006522.626,7.370626595,,,,,,,,,,
990,1365827.679,0.542,4179213.766,8.36261903,,,,,,,,,,
1000,961375.5213,0.535,2680367.522,6.773248905,,,,,,,,,,
1001,3994620.955,3.1,6980325.459,2.053515947,,,,,,,,,,
1020,4442040.859,4.293,8486804.91,2.650256139,,,,,,,,,,
1040,3099168.967,5.047,6286661.537,3.114808699,,,,,,,,,,
1060,5539956.936,8.659,1.24E+07,3.994114832,,,,,,,,,,
1080,3066103.141,2.66,5977299.86,2.800463509,,,,,,,,,,
1100,4304953.393,6.6,8866485.637,3.241955633,,,,,,,,,,
