id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,25.69012309,0.035,25.6574542,-0.002541686,,10,-0.002541686,4.582164496,10.78855496,45.82164496,0,0.0039,0.035,0.039
2,26.36711132,0.001,53.23658464,3.076573399,,100,2.107487113,5.041888231,7.695874622,95.79587639,0.003,0.006157895,0.009,0.117
3,80.00761559,0,170.7624759,3.555355038,,1000,1.850996815,5.332600259,11.50052736,485.2666235,0.055,0.413516484,0.554,37.63
4,118.7931955,0,195.1771969,1.699448356,,5000,1.719037888,7.357397745,16.42980163,1478.836947,2.157,12.34234826,22.384,2480.812
5,74.41891254,0.001,184.2524866,5.129994378,,,,,,,,,,
6,68.00947763,0,131.4305161,2.734681313,,,,,,,,,,
7,55.8240203,0.001,101.4080714,2.299915555,,,,,,,,,,
8,35.95231669,0,123.4403564,10.78855496,,,,,,,,,,
9,61.78775401,0.001,192.1779249,8.673913095,,,,,,,,,,
10,16.42555965,0,48.90777772,7.865750554,,,,,,,,,,
11,1130.323363,0.003,2499.303244,3.889140266,,,,,,,,,,
15,1453.150907,0.004,3571.498662,5.040592636,,,,,,,,,,
20,1933.789308,0.005,3722.741427,2.706017238,,,,,,,,,,
25,5336.56471,0.005,9407.331499,2.107487113,,,,,,,,,,
30,2451.412527,0.004,5299.416339,3.673295884,,,,,,,,,,
35,2536.672603,0.006,7137.354226,6.916726938,,,,,,,,,,
40,2822.241024,0.007,8322.441194,7.695874622,,,,,,,,,,
45,2788.301983,0.005,5885.624263,3.45559237,,,,,,,,,,
50,4644.909113,0.006,11034.89356,4.643933076,,,,,,,,,,
55,6343.386082,0.006,12242.36872,2.724677036,,,,,,,,,,
60,5853.982896,0.007,14941.50875,5.514573809,,,,,,,,,,
65,6095.156782,0.009,16950.41873,6.733767289,,,,,,,,,,
70,3663.692642,0.007,10088.58671,6.582677719,,,,,,,,,,
75,9178.52534,0.008,23000.23772,5.279409807,,,,,,,,,,
80,10343.14701,0.007,26795.67605,5.711568731,,,,,,,,,,
85,15472.81359,0.007,36287.89832,4.500283126,,,,,,,,,,
90,4516.176353,0.007,12969.49116,7.247153728,,,,,,,,,,
95,3628.806896,0.007,8621.074408,4.644104818,,,,,,,,,,
100,6679.867502,0.007,18570.7527,6.729000179,,,,,,,,,,
101,212379.7466,0.133,388798.207,2.35136948,,,,,,,,,,
110,32357.43399,0.055,63693.77311,2.874768898,,,,,,,,,,
120,163761.3955,0.14,313287.3217,2.65984404,,,,,,,,,,
130,40600.86754,0.072,69145.12479,1.900363977,,,,,,,,,,
140,174482.3881,0.163,324675.8243,2.462555235,,,,,,,,,,
150,152063.2005,0.142,306355.8938,3.05886144,,,,,,,,,,
160,110044.7647,0.111,223679.7158,3.131563501,,,,,,,,,,
170,350072.4187,0.17,730076.3093,3.349313586,,,,,,,,,,
180,52056.52156,0.055,87896.89042,1.850996815,,,,,,,,,,
190,155650.7502,0.117,284872.728,2.349649089,,,,,,,,,,
200,233288.3215,0.246,541705.8394,4.391890172,,,,,,,,,,
210,200841.0785,0.131,409420.7609,3.155608564,,,,,,,,,,
220,143540.862,0.204,306690.5435,3.565093434,,,,,,,,,,
230,202144.3915,0.305,462065.2594,4.224963269,,,,,,,,,,
240,179432.3937,0.293,386928.0944,3.650062899,,,,,,,,,,
250,216918.2554,0.355,479425.8961,3.884844818,,,,,,,,,,
260,189593.9646,0.108,390724.193,3.247091222,,,,,,,,,,
270,274340.3476,0.24,542139.92,2.905201125,,,,,,,,,,
280,423608.2273,0.456,937130.6035,3.894084558,,,,,,,,,,
290,236742.5444,0.465,457172.9485,2.729137764,,,,,,,,,,
300,375640.4298,0.408,779196.6766,3.302783807,,,,,,,,,,
310,281173.4421,0.162,491000.1736,2.049402108,,,,,,,,,,
320,186125.1825,0.233,348854.2034,2.512995934,,,,,,,,,,
330,271748.0048,0.179,548084.1853,3.067820807,,,,,,,,,,
340,656393.9415,0.524,1626989.137,5.143843987,,,,,,,,,,
350,449709.3247,0.538,1333061.915,7.786923723,,,,,,,,,,
360,488991.6484,0.205,966480.1203,2.906456271,,,,,,,,,,
370,286636.4384,0.423,620612.7522,3.687902736,,,,,,,,,,
380,212894.6895,0.207,441828.9594,3.307037959,,,,,,,,,,
390,412321.9822,0.353,984963.5299,4.706467162,,,,,,,,,,
400,383589.5872,0.468,834053.5607,3.72774738,,,,,,,,,,
410,421808.3119,0.383,995704.8847,4.572255332,,,,,,,,,,
420,679409.125,0.458,1363450.644,3.027319563,,,,,,,,,,
430,665887.6662,0.535,1793481.147,6.254236158,,,,,,,,,,
440,431212.079,0.508,909473.4461,3.448342432,,,,,,,,,,
450,338442.5486,0.491,992892.3979,7.606656248,,,,,,,,,,
460,472145.5275,0.259,1035609.039,3.811050378,,,,,,,,,,
470,389095.0585,0.475,854399.5368,3.821815381,,,,,,,,,,
480,473233.1602,0.458,1022631.608,3.669690387,,,,,,,,,,
490,420023.3433,0.327,1105274.75,5.924583277,,,,,,,,,,
500,371593.3978,0.476,832656.2839,4.021061601,,,,,,,,,,
