id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,25.69012309,0.001,25.6574542,-0.002541686,,10,-0.002541686,5.705792996,13.59478241,57.05792996,0,0.0004,0.001,0.004
2,25.87545912,0,53.23658464,3.232960764,,100,1.845491795,4.991898549,7.826336895,94.84607242,0.002,0.004736842,0.007,0.09
3,69.90035973,0,170.7624759,4.967962214,,1000,2.020965404,5.377596549,11.98057001,489.3612859,0.03,0.394131868,0.535,35.866
4,85.11780666,0,195.1771969,4.257960325,,5000,1.727188382,7.371371775,16.72260408,1481.645727,2.049,11.22363682,13.989,2255.951
5,86.1102183,0,184.2524866,3.578437972,,,,,,,,,,
6,44.22652003,0,131.4305161,7.831345801,,,,,,,,,,
7,38.57675311,0.001,101.4080714,5.910249101,,,,,,,,,,
8,41.92116749,0.001,123.4403564,7.670568937,,,,,,,,,,
9,50.30425105,0.001,192.1779249,13.59478241,,,,,,,,,,
10,18.46404381,0,48.90777772,6.016204124,,,,,,,,,,
11,1002.93305,0.002,2499.303244,5.210034593,,,,,,,,,,
15,1555.95825,0.002,3571.498662,4.268719819,,,,,,,,,,
20,2206.90787,0.002,3722.741427,1.845491795,,,,,,,,,,
25,5096.011334,0.007,9407.331499,2.407784519,,,,,,,,,,
30,2196.387889,0.003,5299.416339,4.821541531,,,,,,,,,,
35,2640.969784,0.005,7137.354226,6.303779238,,,,,,,,,,
40,3007.781242,0.005,8322.441194,6.656124327,,,,,,,,,,
45,2862.241261,0.003,5885.624263,3.228366182,,,,,,,,,,
50,4608.630413,0.004,11034.89356,4.733139822,,,,,,,,,,
55,6371.459148,0.006,12242.36872,2.691927003,,,,,,,,,,
60,5951.529707,0.006,14941.50875,5.302773435,,,,,,,,,,
65,6066.616274,0.006,16950.41873,6.806705759,,,,,,,,,,
70,3496.596111,0.005,10088.58671,7.324721671,,,,,,,,,,
75,9003.334797,0.006,23000.23772,5.526161987,,,,,,,,,,
80,10873.54292,0.006,26795.67605,5.072776407,,,,,,,,,,
85,14723.52474,0.006,36287.89832,5.074353345,,,,,,,,,,
90,4365.48688,0.005,12969.49116,7.826336895,,,,,,,,,,
95,3737.461543,0.005,8621.074408,4.320706726,,,,,,,,,,
100,7326.651513,0.006,18570.7527,5.424627368,,,,,,,,,,
101,210506.0983,0.109,388798.207,2.411293945,,,,,,,,,,
110,33332.86553,0.03,63693.77311,2.651309544,,,,,,,,,,
120,159725.856,0.129,313287.3217,2.8471152,,,,,,,,,,
130,39745.02531,0.062,69145.12479,2.026617743,,,,,,,,,,
140,164960.0578,0.095,324675.8243,2.873845565,,,,,,,,,,
150,153231.4373,0.129,306355.8938,2.997207828,,,,,,,,,,
160,107816.4668,0.093,223679.7158,3.30410654,,,,,,,,,,
170,347441.2138,0.152,730076.3093,3.415438546,,,,,,,,,,
180,50570.89446,0.045,87896.89042,2.020965404,,,,,,,,,,
190,149875.6297,0.1,284872.728,2.612764952,,,,,,,,,,
200,228323.7936,0.224,541705.8394,4.628915004,,,,,,,,,,
210,199794.9386,0.11,409420.7609,3.199240591,,,,,,,,,,
220,145175.2766,0.176,306690.5435,3.462882433,,,,,,,,,,
230,210097.687,0.261,462065.2594,3.836866402,,,,,,,,,,
240,179434.6714,0.272,386928.0944,3.649944843,,,,,,,,,,
250,217757.322,0.34,479425.8961,3.847272591,,,,,,,,,,
260,195316.2692,0.106,390724.193,3.001877269,,,,,,,,,,
270,264740.514,0.226,542139.92,3.193551293,,,,,,,,,,
280,419506.4026,0.462,937130.6035,3.990258631,,,,,,,,,,
290,230649.2381,0.435,457172.9485,2.928773582,,,,,,,,,,
300,392151.9493,0.378,779196.6766,2.948075296,,,,,,,,,,
310,280016.8883,0.121,491000.1736,2.074644022,,,,,,,,,,
320,180807.4738,0.211,348854.2034,2.722675352,,,,,,,,,,
330,272642.2244,0.171,548084.1853,3.04118106,,,,,,,,,,
340,642967.0586,0.506,1626989.137,5.403123236,,,,,,,,,,
350,455782.9671,0.51,1333061.915,7.554299652,,,,,,,,,,
360,483139.2428,0.194,966480.1203,3.001669546,,,,,,,,,,
370,282596.3562,0.437,620612.7522,3.822900194,,,,,,,,,,
380,217964.9761,0.196,441828.9594,3.108988519,,,,,,,,,,
390,413502.1424,0.341,984963.5299,4.673940436,,,,,,,,,,
400,386228.7502,0.451,834053.5607,3.663357216,,,,,,,,,,
410,419792.9198,0.371,995704.8847,4.625887667,,,,,,,,,,
420,697236.8964,0.441,1363450.644,2.824002086,,,,,,,,,,
430,667506.1873,0.513,1793481.147,6.219099704,,,,,,,,,,
440,433685.1049,0.254,909473.4461,3.397755033,,,,,,,,,,
450,335896.7039,0.498,992892.3979,7.737614634,,,,,,,,,,
460,476983.8666,0.245,1035609.039,3.713942548,,,,,,,,,,
470,389619.2178,0.442,854399.5368,3.808850418,,,,,,,,,,
480,485601.5247,0.442,1022631.608,3.434843929,,,,,,,,,,
490,441827.9177,0.302,1105274.75,5.257980266,,,,,,,,,,
500,361210.935,0.452,832656.2839,4.313855606,,,,,,,,,,
510,488687.3984,0.458,1379527.466,6.968900845,,,,,,,,,,
520,384058.8215,0.421,904613.9695,4.5479315,,,,,,,,,,
530,463287.7076,0.223,964209.6149,3.331530346,,,,,,,,,,
540,589034.2741,0.5,1387399.407,4.54781381,,,,,,,,,,
550,289218.0994,0.485,845038.0644,7.536927795,,,,,,,,,,
560,453887.2946,0.479,1270812.622,6.839114128,,,,,,,,,,
570,581259.1375,0.5,1944604.581,10.19239484,,,,,,,,,,
580,711640.8144,0.477,1688824.725,4.631803082,,,,,,,,,,
590,475741.7006,0.42,1102305.61,4.368606763,,,,,,,,,,
600,479507.473,0.48,1061264.336,3.898424063,,,,,,,,,,
610,434239.2069,0.476,888581.0136,3.187318474,,,,,,,,,,
620,428066.8428,0.492,1066949.218,5.21247022,,,,,,,,,,
630,617220.7431,0.516,1835652.692,7.845044149,,,,,,,,,,
640,663723.325,0.518,1749039.233,5.944243516,,,,,,,,,,
650,593211.5449,0.51,1854881.166,8.777166119,,,,,,,,,,
660,571533.6117,0.495,1613187.119,6.966837133,,,,,,,,,,
670,597171.1593,0.51,1607571.808,6.246747219,,,,,,,,,,
680,694664.6137,0.459,1971487.554,7.054484063,,,,,,,,,,
690,322959.4761,0.519,1096209.049,10.52101392,,,,,,,,,,
700,699239.9999,0.516,1970648.545,6.942657324,,,,,,,,,,
710,900833.8386,0.519,2664154.205,7.746399993,,,,,,,,,,
720,956346.1049,0.527,2279611.661,4.6818734,,,,,,,,,,
730,706772.1348,0.515,1757181.572,5.18122344,,,,,,,,,,
740,693494.3027,0.517,1594021.098,4.283264278,,,,,,,,,,
750,526408.3948,0.525,1896573.545,11.98057001,,,,,,,,,,
760,557911.9961,0.535,1675257.019,8.016365183,,,,,,,,,,
770,796125.6997,0.519,2381994.196,7.951959544,,,,,,,,,,
780,706770.0083,0.513,2124763.608,8.037847617,,,,,,,,,,
790,760858.8916,0.521,1860464.053,4.97907947,,,,,,,,,,
800,587493.4207,0.523,1661989.214,7.002955229,,,,,,,,,,
810,679101.4508,0.516,2230501.265,9.787868188,,,,,,,,,,
820,649436.5972,0.515,1746511.355,6.232181391,,,,,,,,,,
830,1024071.967,0.512,2760486.877,6.266251368,,,,,,,,,,
840,480681.6941,0.503,1589902.258,9.94021069,,,,,,,,,,
850,728872.8211,0.506,2328174.493,9.202991887,,,,,,,,,,
860,879091.717,0.515,2508008.38,7.139347499,,,,,,,,,,
870,993655.8678,0.513,3090965.242,8.676454076,,,,,,,,,,
880,986125.807,0.52,2611525.765,6.013325261,,,,,,,,,,
890,752318.9854,0.507,2234688.165,7.823274983,,,,,,,,,,
900,922189.8957,0.52,2644682.285,7.224439181,,,,,,,,,,
910,521931.4174,0.463,1406921.667,6.266293841,,,,,,,,,,
920,860668.2871,0.512,2491291.163,7.378714135,,,,,,,,,,
930,850387.6656,0.513,2506073.812,7.684679817,,,,,,,,,,
940,676564.1939,0.509,1791559.453,6.012040731,,,,,,,,,,
950,898619.8517,0.507,2851771.978,9.071115519,,,,,,,,,,
960,1050607.979,0.485,2244049.361,3.562295614,,,,,,,,,,
970,748535.3245,0.506,1951695.446,5.798287035,,,,,,,,,,
980,1134687.571,0.513,3006522.626,6.020634396,,,,,,,,,,
990,1416990.477,0.514,4179213.766,7.698719132,,,,,,,,,,
1000,1021119.479,0.517,2680367.522,5.890259395,,,,,,,,,,
1001,3860491.154,4.165,6980325.459,2.26938617,,,,,,,,,,
1020,4611440.149,3.941,8486804.91,2.38700069,,,,,,,,,,
1040,3228794.659,4.682,6286661.537,2.791048201,,,,,,,,,,
1060,5921052.248,8.017,1.24E+07,3.371933173,,,,,,,,,,
1080,3162358.875,2.364,5977299.86,2.572627853,,,,,,,,,,
1100,4342194.345,5.887,8866485.637,3.169505153,,,,,,,,,,
1120,4995874.692,3.478,9181844.075,2.377821949,,,,,,,,,,
1140,3287717.896,2.362,6507533.802,2.91781364,,,,,,,,,,
1160,8261532.283,10.505,1.36E+07,1.727188382,,,,,,,,,,
1180,2697375.161,2.795,5060466.117,2.51964073,,,,,,,,,,
1200,3751788.799,2.2,7375648.495,2.864770037,,,,,,,,,,
1220,5677957.958,4.954,1.18E+07,3.335042907,,,,,,,,,,
1240,5559747.761,3.322,1.06E+07,2.654679633,,,,,,,,,,
