id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,16.87510117,0.002,25.6574542,1.311715336,,10,0.868828301,5.068827643,16.63889215,50.68827643,0,0.0004,0.002,0.004
2,38.9426485,0.001,53.23658464,0.868828301,,100,3.197602248,7.340537351,11.50315916,139.4702097,0.002,0.004842105,0.006,0.092
3,98.07443319,0,170.7624759,2.031609592,,1000,1.745937,7.083937826,13.88805855,644.6383422,0.033,0.394186813,0.519,35.871
4,65.78188962,0,195.1771969,7.803299218,,5000,2.168864497,8.787744079,19.0039382,1766.33656,2.178,12.06212935,15.313,2424.488
5,74.62931809,0,184.2524866,5.095478005,,,,,,,,,,
6,31.29396273,0,131.4305161,16.63889215,,,,,,,,,,
7,48.73582102,0,101.4080714,3.329606959,,,,,,,,,,
8,49.36123897,0.001,123.4403564,5.25377468,,,,,,,,,,
9,84.75669389,0,192.1779249,4.141134711,,,,,,,,,,
10,21.41879431,0,48.90777772,4.213937475,,,,,,,,,,
11,1176.716021,0.002,2499.303244,3.511225881,,,,,,,,,,
15,1539.349188,0.003,3571.498662,4.383028628,,,,,,,,,,
20,1817.030554,0.003,3722.741427,3.197602248,,,,,,,,,,
25,3931.594497,0.006,9407.331499,4.725263232,,,,,,,,,,
30,1978.350127,0.004,5299.416339,6.175460373,,,,,,,,,,
35,2654.299161,0.005,7137.354226,6.230607093,,,,,,,,,,
40,2952.283138,0.004,8322.441194,6.946675115,,,,,,,,,,
45,2626.683063,0.004,5885.624263,4.020762976,,,,,,,,,,
50,3931.016824,0.004,11034.89356,6.880004973,,,,,,,,,,
55,4882.006948,0.005,12242.36872,5.288312631,,,,,,,,,,
60,4700.916167,0.006,14941.50875,9.102384515,,,,,,,,,,
65,4908.184003,0.006,16950.41873,10.92666967,,,,,,,,,,
70,2853.122716,0.006,10088.58671,11.50315916,,,,,,,,,,
75,6759.357044,0.005,23000.23772,10.57854198,,,,,,,,,,
80,8534.225136,0.006,26795.67605,8.858282205,,,,,,,,,,
85,10963.94749,0.006,36287.89832,9.954428839,,,,,,,,,,
90,4095.696974,0.005,12969.49116,9.027443887,,,,,,,,,,
95,3053.638132,0.006,8621.074408,6.970538181,,,,,,,,,,
100,5319.011077,0.006,18570.7527,11.18981808,,,,,,,,,,
101,190778.0842,0.111,388798.207,3.153283151,,,,,,,,,,
110,31982.87916,0.033,63693.77311,2.966055969,,,,,,,,,,
120,146202.1121,0.148,313287.3217,3.591751183,,,,,,,,,,
130,41726.9153,0.067,69145.12479,1.745937,,,,,,,,,,
140,151151.7195,0.159,324675.8243,3.613958877,,,,,,,,,,
150,137290.959,0.171,306355.8938,3.979303549,,,,,,,,,,
160,96297.7804,0.108,223679.7158,4.395362763,,,,,,,,,,
170,300977.2569,0.154,730076.3093,4.883952425,,,,,,,,,,
180,43742.68471,0.05,87896.89042,3.037719575,,,,,,,,,,
190,137598.3539,0.164,284872.728,3.286228032,,,,,,,,,,
200,231149.4632,0.235,541705.8394,4.492135656,,,,,,,,,,
210,176727.5133,0.11,409420.7609,4.366997448,,,,,,,,,,
220,123156.5088,0.18,306690.5435,5.201346984,,,,,,,,,,
230,204860.0908,0.254,462065.2594,4.087353458,,,,,,,,,,
240,164207.636,0.253,386928.0944,4.5523116,,,,,,,,,,
250,206772.9011,0.348,479425.8961,4.375956365,,,,,,,,,,
260,178721.5674,0.108,390724.193,3.779546337,,,,,,,,,,
270,243930.1555,0.23,542139.92,3.939600087,,,,,,,,,,
280,384645.638,0.428,937130.6035,4.935791231,,,,,,,,,,
290,226498.7993,0.427,457172.9485,3.074077079,,,,,,,,,,
300,351312.3912,0.366,779196.6766,3.919344609,,,,,,,,,,
310,251947.4887,0.142,491000.1736,2.79789736,,,,,,,,,,
320,162774.3197,0.211,348854.2034,3.593208315,,,,,,,,,,
330,231089.2241,0.17,548084.1853,4.625163536,,,,,,,,,,
340,580404.1369,0.506,1626989.137,6.857932759,,,,,,,,,,
350,411669.1771,0.511,1333061.915,9.485857206,,,,,,,,,,
360,420848.9389,0.194,966480.1203,4.273918057,,,,,,,,,,
370,269939.1397,0.439,620612.7522,4.285787156,,,,,,,,,,
