id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,16.03841295,0,25.6574542,1.559200677,,10,0.437918738,4.784561238,12.11003626,47.84561238,0,0.0004,0.001,0.004
2,44.39591531,0.001,53.23658464,0.437918738,,100,2.462611656,5.573056582,9.219141712,105.8880751,0.002,0.004631579,0.006,0.088
3,98.0617096,0,170.7624759,2.032396351,,1000,1.455330341,5.753577545,11.92875946,523.5755566,0.031,0.372835165,0.513,33.928
4,105.8759504,0,195.1771969,2.398314036,,5000,1.542060729,7.288023318,14.92084921,1464.892687,1.846,10.71743781,13.511,2154.205
5,70.62957952,0.001,184.2524866,5.805397132,,,,,,,,,,
6,40.80047973,0,131.4305161,9.376762763,,,,,,,,,,
7,46.52581679,0.001,101.4080714,3.750693742,,,,,,,,,,
8,34.09221515,0.001,123.4403564,12.11003626,,,,,,,,,,
9,63.76376499,0,192.1779249,8.083622856,,,,,,,,,,
10,26.95852866,0,48.90777772,2.291269825,,,,,,,,,,
11,1278.545102,0.002,2499.303244,2.821253064,,,,,,,,,,
15,1428.728086,0.002,3571.498662,5.248874737,,,,,,,,,,
20,1806.912266,0.003,3722.741427,3.244745065,,,,,,,,,,
25,5055.505123,0.006,9407.331499,2.462611656,,,,,,,,,,
30,2043.116903,0.003,5299.416339,5.72774694,,,,,,,,,,
35,2593.386809,0.006,7137.354226,6.574254745,,,,,,,,,,
40,3071.477217,0.004,8322.441194,6.3418731,,,,,,,,,,
45,2864.413671,0.003,5885.624263,3.221954914,,,,,,,,,,
50,4335.482761,0.004,11034.89356,5.478304676,,,,,,,,,,
55,5431.917436,0.006,12242.36872,4.079542415,,,,,,,,,,
60,5295.106197,0.005,14941.50875,6.962318725,,,,,,,,,,
65,6637.627182,0.005,16950.41873,5.52131459,,,,,,,,,,
70,3522.960747,0.005,10088.58671,7.200589146,,,,,,,,,,
75,7923.978327,0.006,23000.23772,7.425158725,,,,,,,,,,
80,9292.93974,0.006,26795.67605,7.314252223,,,,,,,,,,
85,12967.62322,0.006,36287.89832,6.830741091,,,,,,,,,,
90,5366.726941,0.005,12969.49116,4.840188664,,,,,,,,,,
95,3414.934023,0.005,8621.074408,5.37320887,,,,,,,,,,
100,5809.27982,0.006,18570.7527,9.219141712,,,,,,,,,,
101,189191.7631,0.104,388798.207,3.223223424,,,,,,,,,,
110,34284.1182,0.031,63693.77311,2.451500857,,,,,,,,,,
120,148916.8104,0.14,313287.3217,3.425865265,,,,,,,,,,
130,44127.22321,0.053,69145.12479,1.455330341,,,,,,,,,,
140,181145.6837,0.149,324675.8243,2.212505819,,,,,,,,,,
150,159680.4383,0.124,306355.8938,2.680857866,,,,,,,,,,
160,104903.6652,0.09,223679.7158,3.546444353,,,,,,,,,,
170,360177.2559,0.143,730076.3093,3.108695364,,,,,,,,,,
180,45513.79137,0.042,87896.89042,2.729589155,,,,,,,,,,
190,151849.4295,0.092,284872.728,2.519455024,,,,,,,,,,
200,220639.1558,0.215,541705.8394,5.027841996,,,,,,,,,,
210,196057.9779,0.099,409420.7609,3.360845335,,,,,,,,,,
220,128315.9667,0.169,306690.5435,4.712673064,,,,,,,,,,
230,189053.4935,0.265,462065.2594,4.973614881,,,,,,,,,,
240,169001.9628,0.243,386928.0944,4.241758788,,,,,,,,,,
250,229629.166,0.22,479425.8961,3.359020189,,,,,,,,,,
260,195269.8786,0.1,390724.193,3.00377896,,,,,,,,,,
270,268950.7195,0.207,542139.92,3.063285644,,,,,,,,,,
280,409222.3369,0.379,937130.6035,4.244228171,,,,,,,,,,
290,235348.9851,0.406,457172.9485,2.773430799,,,,,,,,,,
300,402594.0951,0.325,779196.6766,2.745927619,,,,,,,,,,
310,274800.9205,0.133,491000.1736,2.192470737,,,,,,,,,,
320,162015.8411,0.21,348854.2034,3.636315275,,,,,,,,,,
330,275694.7646,0.151,548084.1853,2.952187169,,,,,,,,,,
340,631152.6184,0.467,1626989.137,5.645084841,,,,,,,,,,
350,445397.9822,0.513,1333061.915,7.957857541,,,,,,,,,,
360,461876.6261,0.186,966480.1203,3.378585972,,,,,,,,,,
370,286757.3813,0.382,620612.7522,3.683949226,,,,,,,,,,
380,223152.5154,0.161,441828.9594,2.920168934,,,,,,,,,,
390,401786.3187,0.314,984963.5299,5.009661516,,,,,,,,,,
400,383458.856,0.436,834053.5607,3.730971555,,,,,,,,,,
410,379214.5258,0.344,995704.8847,5.894318551,,,,,,,,,,
420,693310.3772,0.41,1363450.644,2.867438725,,,,,,,,,,
430,629244.3187,0.492,1793481.147,7.123721477,,,,,,,,,,
440,461353.3079,0.24,909473.4461,2.886089238,,,,,,,,,,
450,340648.2066,0.48,992892.3979,7.495562854,,,,,,,,,,
460,452667.103,0.331,1035609.039,4.234000948,,,,,,,,,,
470,393851.4746,0.452,854399.5368,3.706055632,,,,,,,,,,
480,461075.5044,0.453,1022631.608,3.919198233,,,,,,,,,,
490,421830.8521,0.293,1105274.75,5.865367932,,,,,,,,,,
500,393129.2689,0.408,832656.2839,3.486015506,,,,,,,,,,
510,484303.9061,0.438,1379527.466,7.113808618,,,,,,,,,,
520,398685.5478,0.364,904613.9695,4.148320724,,,,,,,,,,
530,432971.725,0.325,964209.6149,3.959339549,,,,,,,,,,
540,527359.4274,0.472,1387399.407,5.921330386,,,,,,,,,,
550,287741.8748,0.458,845038.0644,7.624747833,,,,,,,,,,
560,490753.5891,0.44,1270812.622,5.705575708,,,,,,,,,,
570,574240.8947,0.474,1944604.581,10.46764853,,,,,,,,,,
580,665966.319,0.452,1688824.725,5.430794421,,,,,,,,,,
590,473733.7573,0.388,1102305.61,4.414213408,,,,,,,,,,
600,470257.0774,0.424,1061264.336,4.093032633,,,,,,,,,,
610,463897.7006,0.407,888581.0136,2.669016113,,,,,,,,,,
620,444309.2045,0.469,1066949.218,4.766560837,,,,,,,,,,
630,603670.7827,0.492,1835652.692,8.246571189,,,,,,,,,,
640,617900.4158,0.5,1749039.233,7.01239087,,,,,,,,,,
650,578951.2287,0.487,1854881.166,9.264746377,,,,,,,,,,
660,567174.0298,0.486,1613187.119,7.089781986,,,,,,,,,,
670,578795.5762,0.488,1607571.808,6.714190448,,,,,,,,,,
680,744444.5599,0.41,1971487.554,6.013315204,,,,,,,,,,
690,331437.3773,0.483,1096209.049,9.939155558,,,,,,,,,,
700,662517.9878,0.491,1970648.545,7.847549594,,,,,,,,,,
710,864095.3312,0.489,2664154.205,8.50594726,,,,,,,,,,
720,877794.5353,0.489,2279611.661,5.744286235,,,,,,,,,,
730,661249.4258,0.485,1757181.572,6.061592695,,,,,,,,,,
740,629898.8994,0.486,1594021.098,5.403927866,,,,,,,,,,
750,527462.1014,0.484,1896573.545,11.92875946,,,,,,,,,,
760,515361.5405,0.487,1675257.019,9.566687925,,,,,,,,,,
770,737583.4186,0.485,2381994.196,9.42939481,,,,,,,,,,
780,684964.2699,0.487,2124763.608,8.622444235,,,,,,,,,,
790,658844.4484,0.485,1860464.053,6.974010159,,,,,,,,,,
800,579655.5555,0.486,1661989.214,7.220843808,,,,,,,,,,
810,667965.4008,0.49,2230501.265,10.15056857,,,,,,,,,,
820,662117.1246,0.477,1746511.355,5.957819955,,,,,,,,,,
830,965014.1519,0.491,2760486.877,7.182839053,,,,,,,,,,
840,471976.314,0.48,1589902.258,10.34750659,,,,,,,,,,
850,702302.2665,0.489,2328174.493,9.989626024,,,,,,,,,,
860,825995.5936,0.493,2508008.38,8.219396765,,,,,,,,,,
870,934999.605,0.486,3090965.242,9.928621578,,,,,,,,,,
880,916790.9704,0.491,2611525.765,7.114242363,,,,,,,,,,
890,716518.4626,0.483,2234688.165,8.727003838,,,,,,,,,,
900,888318.2351,0.496,2644682.285,7.863594059,,,,,,,,,,
910,496302.4786,0.433,1406921.667,7.036129889,,,,,,,,,,
920,828716.7513,0.481,2491291.163,8.037259232,,,,,,,,,,
930,791115.4096,0.489,2506073.812,9.034783997,,,,,,,,,,
940,693024.4043,0.476,1791559.453,5.682906624,,,,,,,,,,
950,851212.0666,0.492,2851771.978,10.22416524,,,,,,,,,,
960,887491.9514,0.457,2244049.361,5.393460185,,,,,,,,,,
970,714930.4867,0.484,1951695.446,6.452405259,,,,,,,,,,
980,1080303.449,0.491,3006522.626,6.74528545,,,,,,,,,,
