id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,16.03841295,0.001,25.6574542,1.559200677,,10,1.029867488,6.603359792,17.75565918,66.03359792,0,0.0002,0.001,0.002
2,37.36597699,0,53.23658464,1.029867488,,100,2.423402201,6.163710805,9.549023751,117.1105053,0.001,0.004578947,0.006,0.087
3,91.35559612,0,170.7624759,2.493933015,,1000,1.932666416,6.299166241,13.4899726,573.2241279,0.029,0.395538462,0.545,35.994
4,105.8759504,0,195.1771969,2.398314036,,5000,2.035295912,8.024069074,18.59074876,1612.837884,1.816,11.72008955,14.912,2355.738
5,67.19376541,0,184.2524866,6.519150154,,,,,,,,,,
6,30.34799804,0,131.4305161,17.75565918,,,,,,,,,,
7,46.52581679,0,101.4080714,3.750693742,,,,,,,,,,
8,34.09221515,0,123.4403564,12.11003626,,,,,,,,,,
9,49.28804865,0.001,192.1779249,14.20280589,,,,,,,,,,
10,21.41879431,0,48.90777772,4.213937475,,,,,,,,,,
11,962.2796468,0.001,2499.303244,5.745828649,,,,,,,,,,
15,1235.376813,0.003,3571.498662,7.35799471,,,,,,,,,,
20,2012.027487,0.002,3722.741427,2.423402201,,,,,,,,,,
25,4141.843251,0.006,9407.331499,4.158763026,,,,,,,,,,
30,2268.951644,0.003,5299.416339,4.455136226,,,,,,,,,,
35,2197.511296,0.004,7137.354226,9.549023751,,,,,,,,,,
40,3294.410647,0.005,8322.441194,5.381841363,,,,,,,,,,
45,2473.562319,0.004,5885.624263,4.661602231,,,,,,,,,,
50,4196.426219,0.005,11034.89356,5.914760031,,,,,,,,,,
55,5254.99414,0.005,12242.36872,4.427332627,,,,,,,,,,
60,5606.863587,0.006,14941.50875,6.101480965,,,,,,,,,,
65,5766.407329,0.006,16950.41873,7.640725895,,,,,,,,,,
70,3303.253631,0.005,10088.58671,8.327748341,,,,,,,,,,
75,8249.967154,0.005,23000.23772,6.77249069,,,,,,,,,,
80,9941.944903,0.005,26795.67605,6.264182277,,,,,,,,,,
85,13204.1048,0.006,36287.89832,6.552760386,,,,,,,,,,
90,4257.795072,0.005,12969.49116,8.278469935,,,,,,,,,,
95,3216.187768,0.005,8621.074408,6.185218762,,,,,,,,,,
100,6602.272034,0.006,18570.7527,6.911743234,,,,,,,,,,
101,211446.4648,0.107,388798.207,2.381019301,,,,,,,,,,
110,32780.27537,0.029,63693.77311,2.775450302,,,,,,,,,,
120,163949.5755,0.143,313287.3217,2.651447384,,,,,,,,,,
130,40376.64522,0.057,69145.12479,1.932666416,,,,,,,,,,
140,131083.7574,0.133,324675.8243,5.134824461,,,,,,,,,,
150,148870.5228,0.146,306355.8938,3.234820949,,,,,,,,,,
160,106895.6949,0.096,223679.7158,3.378574817,,,,,,,,,,
170,315025.2986,0.157,730076.3093,4.37088246,,,,,,,,,,
180,48417.71339,0.048,87896.89042,2.295630182,,,,,,,,,,
190,145049.404,0.146,284872.728,2.857179516,,,,,,,,,,
200,234589.3214,0.24,541705.8394,4.332250656,,,,,,,,,,
210,200394.8771,0.108,409420.7609,3.174135011,,,,,,,,,,
220,142721.7896,0.18,306690.5435,3.617641416,,,,,,,,,,
230,195227.0967,0.275,462065.2594,4.601785083,,,,,,,,,,
240,185854.9875,0.283,386928.0944,3.334231348,,,,,,,,,,
250,189205.6409,0.328,479425.8961,5.420588208,,,,,,,,,,
260,186363.0023,0.104,390724.193,3.395630813,,,,,,,,,,
270,244523.5034,0.229,542139.92,3.915656824,,,,,,,,,,
280,404177.6511,0.422,937130.6035,4.375955313,,,,,,,,,,
290,228882.672,0.422,457172.9485,2.989653876,,,,,,,,,,
300,360187.9856,0.378,779196.6766,3.679891002,,,,,,,,,,
310,261214.9614,0.142,491000.1736,2.533191649,,,,,,,,,,
320,173236.2155,0.185,348854.2034,3.05518382,,,,,,,,,,
330,238980.5301,0.251,548084.1853,4.259803279,,,,,,,,,,
340,604266.0377,0.527,1626989.137,6.249581477,,,,,,,,,,
350,429121.29,0.545,1333061.915,8.65029342,,,,,,,,,,
360,470747.4892,0.202,966480.1203,3.215118866,,,,,,,,,,
370,280861.462,0.433,620612.7522,3.882666771,,,,,,,,,,
380,211890.0581,0.17,441828.9594,3.347976578,,,,,,,,,,
390,371838.3338,0.359,984963.5299,6.016684995,,,,,,,,,,
400,359883.145,0.445,834053.5607,4.371120148,,,,,,,,,,
410,402066.1965,0.377,995704.8847,5.132903795,,,,,,,,,,
420,626125.5967,0.417,1363450.644,3.741938591,,,,,,,,,,
430,623330.2673,0.516,1793481.147,7.278605736,,,,,,,,,,
440,369460.5994,0.258,909473.4461,5.059597614,,,,,,,,,,
450,325933.6564,0.491,992892.3979,8.279956782,,,,,,,,,,
460,447664.8594,0.241,1035609.039,4.351624773,,,,,,,,,,
470,356212.9641,0.412,854399.5368,4.753108519,,,,,,,,,,
480,491442.9632,0.437,1022631.608,3.33004273,,,,,,,,,,
490,390414.2281,0.312,1105274.75,7.014736054,,,,,,,,,,
500,331475.0034,0.486,832656.2839,5.310008734,,,,,,,,,,
510,456299.8923,0.475,1379527.466,8.140289912,,,,,,,,,,
520,359113.556,0.429,904613.9695,5.345458108,,,,,,,,,,
530,445538.7138,0.214,964209.6149,3.68351615,,,,,,,,,,
540,582740.6351,0.502,1387399.407,4.668294458,,,,,,,,,,
550,281923.6225,0.492,845038.0644,7.984410974,,,,,,,,,,
560,419020.2919,0.488,1270812.622,8.197989914,,,,,,,,,,
570,539279.7997,0.496,1944604.581,12.00272278,,,,,,,,,,
580,665848.7445,0.483,1688824.725,5.433065699,,,,,,,,,,
590,436375.6464,0.444,1102305.61,5.380915968,,,,,,,,,,
600,408907.634,0.418,1061264.336,5.735916619,,,,,,,,,,
610,365515.2326,0.471,888581.0136,4.909940352,,,,,,,,,,
620,399491.4696,0.482,1066949.218,6.133004181,,,,,,,,,,
630,544839.8303,0.497,1835652.692,10.35124071,,,,,,,,,,
640,627305.8405,0.503,1749039.233,6.773926681,,,,,,,,,,
650,578587.9628,0.52,1854881.166,9.277639849,,,,,,,,,,
660,533309.4754,0.51,1613187.119,8.14978505,,,,,,,,,,
670,561388.7973,0.493,1607571.808,7.199989173,,,,,,,,,,
680,657093.5389,0.502,1971487.554,8.001889668,,,,,,,,,,
690,289685.4289,0.459,1096209.049,13.31968497,,,,,,,,,,
700,623757.1023,0.511,1970648.545,8.981305461,,,,,,,,,,
710,854837.4099,0.509,2664154.205,8.712961742,,,,,,,,,,
720,853202.4084,0.523,2279611.661,6.138674733,,,,,,,,,,
730,661404.3726,0.505,1757181.572,6.058284454,,,,,,,,,,
740,623858.913,0.522,1594021.098,5.528529368,,,,,,,,,,
750,498236.9201,0.514,1896573.545,13.4899726,,,,,,,,,,
760,526852.9765,0.515,1675257.019,9.110765004,,,,,,,,,,
770,746704.6549,0.517,2381994.196,9.176154232,,,,,,,,,,
780,645155.4642,0.498,2124763.608,9.846571382,,,,,,,,,,
790,752547.2528,0.519,1860464.053,5.111882788,,,,,,,,,,
800,551922.0256,0.503,1661989.214,8.067779488,,,,,,,,,,
810,662569.063,0.521,2230501.265,10.33294133,,,,,,,,,,
820,581669.9765,0.515,1746511.355,8.015494057,,,,,,,,,,
830,938262.8687,0.513,2760486.877,7.656100985,,,,,,,,,,
840,447170.8501,0.493,1589902.258,11.6413624,,,,,,,,,,
850,681241.1918,0.52,2328174.493,10.67963453,,,,,,,,,,
860,765150.6222,0.515,2508008.38,9.743952885,,,,,,,,,,
870,934654.2069,0.515,3090965.242,9.936700335,,,,,,,,,,
880,927618.2178,0.522,2611525.765,6.925927424,,,,,,,,,,
890,729188.3433,0.515,2234688.165,8.39192083,,,,,,,,,,
900,834539.9229,0.523,2644682.285,9.042752908,,,,,,,,,,
910,500987.5785,0.475,1406921.667,6.886529274,,,,,,,,,,
920,789002.2922,0.509,2491291.163,8.96993772,,,,,,,,,,
930,848513.8724,0.51,2506073.812,7.723079335,,,,,,,,,,
940,614576.4564,0.522,1791559.453,7.49788034,,,,,,,,,,
950,815920.8102,0.512,2851771.978,11.216128,,,,,,,,,,
960,993236.4418,0.509,2244049.361,4.104574192,,,,,,,,,,
970,724778.6175,0.504,1951695.446,6.251257926,,,,,,,,,,
980,1039349.564,0.505,3006522.626,7.367691825,,,,,,,,,,
990,1359278.261,0.518,4179213.766,8.453060323,,,,,,,,,,
1000,904035.7455,0.527,2680367.522,7.790579147,,,,,,,,,,
1001,3916095.552,4.272,6980325.459,2.177201686,,,,,,,,,,
1020,4529252.158,4.508,8486804.91,2.511037258,,,,,,,,,,
1040,3134886.61,4.386,6286661.537,3.021577893,,,,,,,,,,
1060,5919417.483,7.491,1.24E+07,3.3743483,,,,,,,,,,
1080,3089150.19,1.816,5977299.86,2.743967237,,,,,,,,,,
1100,3668622.187,5.678,8866485.637,4.841132437,,,,,,,,,,
1120,4975637.871,2.658,9181844.075,2.405354251,,,,,,,,,,
1140,3396402.825,6.002,6507533.802,2.671085323,,,,,,,,,,
1160,7270892.793,11.082,1.36E+07,2.52095816,,,,,,,,,,
1180,2753185.817,2.685,5060466.117,2.378391652,,,,,,,,,,
1200,3611321.491,4.59,7375648.495,3.171268229,,,,,,,,,,
1220,5085033.732,4.476,1.18E+07,4.404929942,,,,,,,,,,
1240,5542708.927,3.587,1.06E+07,2.677183863,,,,,,,,,,
1260,8321956.445,4.335,1.58E+07,2.596502155,,,,,,,,,,
1280,1979078.962,2.241,3981796.839,3.047920277,,,,,,,,,,
1300,4546945.882,2.275,9659310.184,3.512868248,,,,,,,,,,
1320,5147083.832,4.049,1.05E+07,3.159738434,,,,,,,,,,
1340,5055203.726,4.996,1.51E+07,7.922752025,,,,,,,,,,
1360,4363617.25,8.002,8658899.244,2.937604317,,,,,,,,,,
1380,5397280.47,2.77,9403196.361,2.035295912,,,,,,,,,,
1400,6499332.211,11.749,1.28E+07,2.889461198,,,,,,,,,,
1420,4474086.736,3.51,1.01E+07,4.145390637,,,,,,,,,,
1440,4831045.315,4.389,9378419.03,2.76857397,,,,,,,,,,
1460,5828365.494,6.602,1.23E+07,3.451603735,,,,,,,,,,
1480,4220434.538,6.972,8117617.141,2.699497958,,,,,,,,,,
1500,6657879.277,7.329,1.63E+07,5.000987083,,,,,,,,,,
1520,4273107.844,5.982,8816856.109,3.25735435,,,,,,,,,,
1540,4081895.933,4.559,8093298.636,2.931219334,,,,,,,,,,
1560,1.12E+07,11.872,2.18E+07,2.827685659,,,,,,,,,,
1580,9356842.936,10.034,2.08E+07,3.939431757,,,,,,,,,,
1600,5273986.546,9.631,1.11E+07,3.414856171,,,,,,,,,,
1620,4517052.921,8.372,1.03E+07,4.151846966,,,,,,,,,,
1640,5288042.332,3.949,1.06E+07,2.993461246,,,,,,,,,,
1660,1.01E+07,11.123,3.27E+07,9.496005994,,,,,,,,,,
1680,5220665.411,12.36,1.19E+07,4.181973599,,,,,,,,,,
1700,8529296.415,8.714,2.03E+07,4.687289661,,,,,,,,,,
1720,6105193.651,4,1.16E+07,2.629469272,,,,,,,,,,
1740,8895631.003,12.945,2.72E+07,8.363166126,,,,,,,,,,
1760,1.05E+07,7.839,2.53E+07,4.785173529,,,,,,,,,,
1780,7792383.97,11.916,1.53E+07,2.837315297,,,,,,,,,,
1800,7275331.619,9.484,1.50E+07,3.241471148,,,,,,,,,,
1820,5339643.414,7.447,1.20E+07,4.017553155,,,,,,,,,,
1840,5537188.636,12.816,1.78E+07,9.334399276,,,,,,,,,,
1860,4686828.099,9.832,9408373.242,3.029684327,,,,,,,,,,
1880,1.37E+07,11.916,4.16E+07,8.269191588,,,,,,,,,,
1900,7940665.554,13.126,2.06E+07,5.7061293,,,,,,,,,,
1920,6717835.023,6.175,1.46E+07,3.747843273,,,,,,,,,,
1940,1.08E+07,9.28,2.37E+07,3.850423645,,,,,,,,,,
1960,6076804.21,7.288,1.55E+07,5.493463255,,,,,,,,,,
1980,1.16E+07,12.698,3.22E+07,6.704017306,,,,,,,,,,
2000,1.40E+07,11.632,3.51E+07,5.296585072,,,,,,,,,,
2020,8106708.533,5.58,1.65E+07,3.163880184,,,,,,,,,,
2040,1.39E+07,10.728,3.51E+07,5.340436752,,,,,,,,,,
2060,1.03E+07,12.545,2.32E+07,4.117137652,,,,,,,,,,
2080,1.28E+07,14.313,4.19E+07,9.719553787,,,,,,,,,,
2100,8571693.058,12.038,2.52E+07,7.634741086,,,,,,,,,,
2120,5645393.785,8.225,1.97E+07,11.15650658,,,,,,,,,,
2140,9530667.807,12.481,3.42E+07,11.9036623,,,,,,,,,,
2160,9618970.089,10.806,2.33E+07,4.85138083,,,,,,,,,,
2180,5278611.255,12.132,1.42E+07,6.190075428,,,,,,,,,,
2200,8759496.071,7.773,2.15E+07,4.996723506,,,,,,,,,,
2220,6821847.771,12.712,1.89E+07,6.674852393,,,,,,,,,,
2240,1.33E+07,12.826,3.19E+07,4.777075813,,,,,,,,,,
2260,9289161.84,6.545,1.81E+07,2.816122706,,,,,,,,,,
2280,9946198.631,11.658,2.63E+07,5.994456348,,,,,,,,,,
2300,1.21E+07,13.557,3.32E+07,6.477927011,,,,,,,,,,
2320,7490956.261,12.434,2.21E+07,7.703524652,,,,,,,,,,
2340,1.19E+07,6.961,2.96E+07,5.221569848,,,,,,,,,,
2360,1.01E+07,11.667,2.00E+07,2.895614282,,,,,,,,,,
2380,4953914.444,11.163,1.27E+07,5.537498392,,,,,,,,,,
2400,7447233.255,11.223,1.62E+07,3.725224251,,,,,,,,,,
2420,1.20E+07,13.159,3.85E+07,9.224666556,,,,,,,,,,
2440,7901495.747,13.042,2.69E+07,10.58217241,,,,,,,,,,
2460,8745978.184,11.946,2.27E+07,5.730497496,,,,,,,,,,
2480,1.28E+07,12.323,3.54E+07,6.602628739,,,,,,,,,,
2500,1.35E+07,12.825,3.42E+07,5.372439191,,,,,,,,,,
2520,1.05E+07,10.596,2.32E+07,3.890716865,,,,,,,,,,
2540,8781214.683,9.317,2.09E+07,4.68888495,,,,,,,,,,
2560,7921822.11,11.989,1.90E+07,4.761721104,,,,,,,,,,
2580,1.76E+07,14.132,6.09E+07,10.93479749,,,,,,,,,,
2600,6462479.025,13.35,2.12E+07,9.767799536,,,,,,,,,,
2620,1.34E+07,12.722,3.11E+07,4.345520435,,,,,,,,,,
2640,1.58E+07,13.4,4.66E+07,7.701146795,,,,,,,,,,
2660,1.21E+07,12.517,3.63E+07,7.91501357,,,,,,,,,,
2680,1.43E+07,12.299,3.72E+07,5.779770037,,,,,,,,,,
2700,1.59E+07,13.293,3.91E+07,5.053265643,,,,,,,,,,
2720,8044593.907,12.834,2.55E+07,9.019004978,,,,,,,,,,
2740,1.48E+07,13.055,3.53E+07,4.706681724,,,,,,,,,,
2760,1.59E+07,13.728,5.52E+07,11.1223095,,,,,,,,,,
2780,1.67E+07,13.466,5.42E+07,9.5532042,,,,,,,,,,
2800,8447558.298,11.757,2.06E+07,4.953757718,,,,,,,,,,
2820,8269580.042,13.779,2.27E+07,6.565687615,,,,,,,,,,
2840,1.43E+07,13.976,3.41E+07,4.704530653,,,,,,,,,,
2860,1.57E+07,14.715,5.83E+07,12.72380514,,,,,,,,,,
2880,1.01E+07,12.92,2.98E+07,7.755858323,,,,,,,,,,
2900,9861146.065,14.24,2.94E+07,7.915362134,,,,,,,,,,
2920,1.31E+07,11.82,3.68E+07,6.927969224,,,,,,,,,,
2940,1.55E+07,14.701,5.11E+07,9.804998579,,,,,,,,,,
2960,1.28E+07,14.912,4.60E+07,11.8446255,,,,,,,,,,
2980,1.09E+07,14.022,3.49E+07,9.220670205,,,,,,,,,,
3000,1.25E+07,13.521,4.16E+07,10.0576521,,,,,,,,,,
3020,1.95E+07,14.685,6.28E+07,9.336756995,,,,,,,,,,
3040,1.27E+07,14.56,3.89E+07,8.445432617,,,,,,,,,,
3060,1.38E+07,13.82,4.71E+07,10.705386,,,,,,,,,,
3080,1.21E+07,13.951,3.20E+07,5.990895839,,,,,,,,,,
3100,1.21E+07,13.124,4.79E+07,14.63830528,,,,,,,,,,
3120,1.53E+07,13.91,5.27E+07,10.92067586,,,,,,,,,,
3140,2.09E+07,13.499,6.57E+07,8.848507668,,,,,,,,,,
3160,1.37E+07,13.352,3.98E+07,7.414929899,,,,,,,,,,
3180,1.69E+07,13.657,5.96E+07,11.42412425,,,,,,,,,,
3200,1.39E+07,13.384,5.10E+07,12.44941933,,,,,,,,,,
3220,1.09E+07,13.374,4.73E+07,17.67776464,,,,,,,,,,
3240,1.16E+07,11.358,3.49E+07,8.1289368,,,,,,,,,,
3260,1.70E+07,13.654,6.34E+07,12.93863906,,,,,,,,,,
3280,1.49E+07,11.962,4.67E+07,8.858383712,,,,,,,,,,
3300,1.68E+07,13.942,6.09E+07,12.11109234,,,,,,,,,,
3320,1.48E+07,13.242,4.72E+07,9.117396026,,,,,,,,,,
3340,1.46E+07,12.662,4.82E+07,9.833483082,,,,,,,,,,
3360,1.72E+07,13.642,4.41E+07,5.523373505,,,,,,,,,,
3380,1.46E+07,13.402,4.76E+07,9.553356235,,,,,,,,,,
3400,1.27E+07,13.859,4.56E+07,11.95140589,,,,,,,,,,
3420,1.19E+07,12.709,3.13E+07,5.947340222,,,,,,,,,,
3440,1.68E+07,13.114,5.70E+07,10.51948422,,,,,,,,,,
3460,3.02E+07,14.267,8.63E+07,7.190339163,,,,,,,,,,
3480,1.62E+07,14.241,5.84E+07,12.00029879,,,,,,,,,,
3500,1.69E+07,13.712,5.66E+07,10.25730684,,,,,,,,,,
3520,1.51E+07,13.979,5.81E+07,13.85668857,,,,,,,,,,
3540,1.47E+07,13.896,5.38E+07,12.30989881,,,,,,,,,,
3560,1.80E+07,13.766,5.68E+07,9.01062602,,,,,,,,,,
3580,1.24E+07,10.85,3.87E+07,8.703913463,,,,,,,,,,
3600,1.30E+07,13.679,4.74E+07,12.38027194,,,,,,,,,,
3620,1.94E+07,13.729,6.92E+07,11.70902687,,,,,,,,,,
3640,1.66E+07,12.91,5.56E+07,10.25379897,,,,,,,,,,
3660,1.92E+07,13.651,6.49E+07,10.42762105,,,,,,,,,,
3680,1.80E+07,13.498,5.25E+07,7.462903517,,,,,,,,,,
3700,1.76E+07,14.213,6.14E+07,11.19864825,,,,,,,,,,
3720,2.15E+07,13.723,7.19E+07,10.15573369,,,,,,,,,,
3740,2.07E+07,13.658,6.37E+07,8.482012689,,,,,,,,,,
3760,2.69E+07,13.643,8.32E+07,8.553192259,,,,,,,,,,
3780,1.75E+07,13.371,5.03E+07,7.268928023,,,,,,,,,,
3800,2.06E+07,13.722,7.26E+07,11.42226462,,,,,,,,,,
3820,1.68E+07,13.479,5.63E+07,10.18662913,,,,,,,,,,
3840,1.61E+07,12.706,4.24E+07,5.946610167,,,,,,,,,,
3860,2.29E+07,13.807,7.94E+07,11.00533978,,,,,,,,,,
3880,1.97E+07,12.482,6.97E+07,11.46117749,,,,,,,,,,
3900,1.55E+07,13.619,5.93E+07,13.66384325,,,,,,,,,,
3920,1.42E+07,13.685,5.74E+07,15.3089857,,,,,,,,,,
3940,1.78E+07,13.785,6.37E+07,11.85688494,,,,,,,,,,
