id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,16.03841295,0.116,25.6574542,1.559200677,,10,1.494604233,5.324983466,15.11687317,53.24983466,0.002,0.0145,0.116,0.145
2,21.16443176,0.005,53.23658464,5.327135663,,100,0.592792461,4.976747891,8.284014799,94.55820993,0.007,0.011578947,0.02,0.22
3,107.510679,0.004,170.7624759,1.522793346,,1000,1.62728274,4.682954075,8.392186502,426.1488208,0.041,0.367142857,0.495,33.41
4,123.5743256,0.003,195.1771969,1.494604233,,5000,0.869152,5.155817646,9.187226564,1036.319347,1.931,11.10769652,16.759,2232.647
5,80.92477577,0.004,184.2524866,4.183984637,,,,,,,,,,
6,38.37107315,0.002,131.4305161,10.73233717,,,,,,,,,,
7,55.00258892,0.003,101.4080714,2.399216161,,,,,,,,,,
8,30.74799294,0.004,123.4403564,15.11687317,,,,,,,,,,
9,79.81116173,0.002,192.1779249,4.798020339,,,,,,,,,,
10,18.33454145,0.002,48.90777772,6.115669267,,,,,,,,,,
11,1980.338165,0.017,2499.303244,0.592792461,,,,,,,,,,
15,1892.416241,0.02,3571.498662,2.561784589,,,,,,,,,,
20,1831.792017,0.012,3722.741427,3.130222236,,,,,,,,,,
25,4933.197075,0.015,9407.331499,2.636436142,,,,,,,,,,
30,2383.24951,0.011,5299.416339,3.944439375,,,,,,,,,,
35,2535.600782,0.013,7137.354226,6.923421296,,,,,,,,,,
40,3527.715435,0.01,8322.441194,4.565630622,,,,,,,,,,
45,3170.027106,0.008,5885.624263,2.447141535,,,,,,,,,,
50,4351.067218,0.015,11034.89356,5.431980385,,,,,,,,,,
55,5629.132708,0.011,12242.36872,3.729856193,,,,,,,,,,
60,5308.021182,0.01,14941.50875,6.92361951,,,,,,,,,,
65,6137.029275,0.01,16950.41873,6.628593481,,,,,,,,,,
70,3873.278494,0.009,10088.58671,5.784271404,,,,,,,,,,
75,9105.898173,0.013,23000.23772,5.379976374,,,,,,,,,,
80,8954.964331,0.012,26795.67605,7.953683046,,,,,,,,,,
85,13607.90321,0.01,36287.89832,6.111172417,,,,,,,,,,
90,4722.9065,0.007,12969.49116,6.540969409,,,,,,,,,,
95,3523.003513,0.009,8621.074408,4.988204654,,,,,,,,,,
100,6094.829975,0.008,18570.7527,8.284014799,,,,,,,,,,
101,163913.6086,0.146,388798.207,4.626242975,,,,,,,,,,
110,33718.27672,0.041,63693.77311,2.568315216,,,,,,,,,,
120,169062.6386,0.195,313287.3217,2.433921432,,,,,,,,,,
130,40535.4123,0.061,69145.12479,1.909738363,,,,,,,,,,
140,200307.1932,0.149,324675.8243,1.62728274,,,,,,,,,,
150,157195.1643,0.232,306355.8938,2.798167522,,,,,,,,,,
160,102198.4413,0.082,223679.7158,3.790321478,,,,,,,,,,
170,364496.1957,0.153,730076.3093,3.011903813,,,,,,,,,,
180,50903.42363,0.045,87896.89042,1.981625105,,,,,,,,,,
190,159833.6965,0.09,284872.728,2.176618507,,,,,,,,,,
200,243352.4042,0.209,541705.8394,3.955137975,,,,,,,,,,
210,217291.1159,0.102,409420.7609,2.550224213,,,,,,,,,,
220,132313.1472,0.169,306690.5435,4.372726968,,,,,,,,,,
230,200519.3646,0.217,462065.2594,4.309993566,,,,,,,,,,
240,180020.2928,0.31,386928.0944,3.61974072,,,,,,,,,,
250,254641.8929,0.326,479425.8961,2.544730886,,,,,,,,,,
260,199682.6387,0.164,390724.193,2.828776289,,,,,,,,,,
270,319945.4,0.334,542139.92,1.871250169,,,,,,,,,,
280,447289.1331,0.344,937130.6035,3.389585849,,,,,,,,,,
290,234488.1909,0.242,457172.9485,2.801185793,,,,,,,,,,
