id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,33.18619711,0.002,25.6574542,-0.402260236,,10,-0.402260236,7.959019389,27.58805552,79.59019389,0,0.001,0.002,0.01
2,28.30934258,0.001,53.23658464,2.536395292,,100,2.33522006,5.127034261,7.716127013,97.41365097,0.003,0.004842105,0.006,0.092
3,103.7959256,0.001,170.7624759,1.706601228,,1000,2.981215147,5.761015072,8.528645548,524.2523716,0.029,0.361230769,0.482,32.872
4,76.02543567,0.001,195.1771969,5.590833154,,5000,4.15368493,5.993201494,8.413906277,1204.6335,1.913,10.36789055,13.521,2083.946
5,70.03044211,0.001,184.2524866,5.922340838,,,,,,,,,,
6,35.22108908,0.001,131.4305161,12.92473264,,,,,,,,,,
7,45.58575279,0.001,101.4080714,3.94865052,,,,,,,,,,
8,37.40993468,0,123.4403564,9.887807505,,,,,,,,,,
9,58.24365782,0.001,192.1779249,9.887037427,,,,,,,,,,
10,9.147146215,0.001,48.90777772,27.58805552,,,,,,,,,,
11,1029.708167,0.003,2499.303244,4.891279007,,,,,,,,,,
15,1398.875209,0.003,3571.498662,5.518430454,,,,,,,,,,
20,2038.452636,0.003,3722.741427,2.33522006,,,,,,,,,,
25,3530.257809,0.005,9407.331499,6.101008809,,,,,,,,,,
30,2128.092379,0.004,5299.416339,5.201191286,,,,,,,,,,
35,3291.910103,0.005,7137.354226,3.700873547,,,,,,,,,,
40,3710.37873,0.005,8322.441194,4.031123602,,,,,,,,,,
45,2738.441374,0.005,5885.624263,3.619321304,,,,,,,,,,
50,4623.408873,0.005,11034.89356,4.696547095,,,,,,,,,,
55,5082.175356,0.006,12242.36872,4.80272006,,,,,,,,,,
60,5234.877198,0.006,14941.50875,7.146590956,,,,,,,,,,
65,6403.957412,0.005,16950.41873,6.005900938,,,,,,,,,,
70,3872.169863,0.006,10088.58671,5.788156735,,,,,,,,,,
75,8852.406875,0.005,23000.23772,5.750592863,,,,,,,,,,
80,11911.3095,0.005,26795.67605,4.06069797,,,,,,,,,,
85,13522.69136,0.005,36287.89832,6.201075435,,,,,,,,,,
90,4889.277363,0.005,12969.49116,6.036497292,,,,,,,,,,
95,3930.75041,0.005,8621.074408,3.81029654,,,,,,,,,,
100,6290.247469,0.006,18570.7527,7.716127013,,,,,,,,,,
101,160778.8565,0.123,388798.207,4.847774754,,,,,,,,,,
110,29545.51448,0.029,63693.77311,3.647408407,,,,,,,,,,
120,131153.2225,0.136,313287.3217,4.705946673,,,,,,,,,,
130,34478.94159,0.051,69145.12479,3.021751923,,,,,,,,,,
140,129385.2481,0.165,324675.8243,5.296951929,,,,,,,,,,
150,127255.466,0.183,306355.8938,4.795615809,,,,,,,,,,
160,99140.06127,0.108,223679.7158,4.090434322,,,,,,,,,,
170,268365.6208,0.156,730076.3093,6.400869617,,,,,,,,,,
180,44052.00575,0.045,87896.89042,2.981215147,,,,,,,,,,
190,111656.6993,0.098,284872.728,5.50926838,,,,,,,,,,
200,219124.4531,0.294,541705.8394,5.111465211,,,,,,,,,,
210,158280.0684,0.116,409420.7609,5.690941974,,,,,,,,,,
220,125242.4571,0.152,306690.5435,4.996496876,,,,,,,,,,
230,184947.3335,0.177,462065.2594,5.241809156,,,,,,,,,,
240,170197.4093,0.246,386928.0944,4.168382397,,,,,,,,,,
250,198781.9545,0.248,479425.8961,4.816866072,,,,,,,,,,
260,145739.2353,0.14,390724.193,6.187661778,,,,,,,,,,
270,223389.7324,0.278,542139.92,4.889743193,,,,,,,,,,
280,354500.9663,0.328,937130.6035,5.98820111,,,,,,,,,,
290,186305.0021,0.322,457172.9485,5.021601602,,,,,,,,,,
300,338216.7259,0.349,779196.6766,4.307671317,,,,,,,,,,
310,190745.1373,0.128,491000.1736,5.626074903,,,,,,,,,,
320,142282.0536,0.251,348854.2034,5.011566707,,,,,,,,,,
330,213817.9883,0.268,548084.1853,5.570615644,,,,,,,,,,
340,577371.9148,0.419,1626989.137,6.940685533,,,,,,,,,,
350,538986.6517,0.444,1333061.915,5.117086507,,,,,,,,,,
360,337281.575,0.302,966480.1203,7.211086292,,,,,,,,,,
370,232750.861,0.33,620612.7522,6.109823145,,,,,,,,,,
380,200105.5398,0.25,441828.9594,3.875174126,,,,,,,,,,
390,403444.7911,0.308,984963.5299,4.960354288,,,,,,,,,,
400,325561.9886,0.401,834053.5607,5.563273412,,,,,,,,,,
410,418099.5738,0.361,995704.8847,4.67155079,,,,,,,,,,
420,524018.5201,0.356,1363450.644,5.769951699,,,,,,,,,,
430,724324.3262,0.444,1793481.147,5.130945974,,,,,,,,,,
440,375617.9939,0.408,909473.4461,4.862559579,,,,,,,,,,
450,374365.9655,0.424,992892.3979,6.034150447,,,,,,,,,,
460,391511.3824,0.351,1035609.039,5.996855085,,,,,,,,,,
470,311118.1891,0.388,854399.5368,6.541733886,,,,,,,,,,
480,392739.407,0.411,1022631.608,5.779996412,,,,,,,,,,
490,392518.8167,0.307,1105274.75,6.929020408,,,,,,,,,,
500,318860.4372,0.429,832656.2839,5.819150153,,,,,,,,,,
510,532867.7509,0.387,1379527.466,5.702268593,,,,,,,,,,
520,365226.308,0.338,904613.9695,5.13482917,,,,,,,,,,
530,400276.4067,0.33,964209.6149,4.80260397,,,,,,,,,,
540,490699.8158,0.413,1387399.407,6.994130232,,,,,,,,,,
550,364037.6254,0.424,845038.0644,4.388402121,,,,,,,,,,
560,474602.8301,0.391,1270812.622,6.169723243,,,,,,,,,,
570,629963.9804,0.433,1944604.581,8.528645548,,,,,,,,,,
580,676896.016,0.43,1688824.725,5.224797692,,,,,,,,,,
590,406349.9521,0.34,1102305.61,6.358742562,,,,,,,,,,
600,373787.2023,0.41,1061264.336,7.061173785,,,,,,,,,,
610,353672.7482,0.391,888581.0136,5.312346997,,,,,,,,,,
620,446896.3712,0.422,1066949.218,4.699986703,,,,,,,,,,
630,641311.2926,0.46,1835652.692,7.193005692,,,,,,,,,,
640,636354.9858,0.448,1749039.233,6.554403888,,,,,,,,,,
650,696200.5432,0.458,1854881.166,6.09844902,,,,,,,,,,
660,611460.9065,0.458,1613187.119,5.960366365,,,,,,,,,,
670,607444.3529,0.418,1607571.808,6.003703703,,,,,,,,,,
680,745579.4518,0.452,1971487.554,5.991980666,,,,,,,,,,
690,444953.3951,0.409,1096209.049,5.069567082,,,,,,,,,,
700,803663.2107,0.459,1970648.545,5.012708893,,,,,,,,,,
710,928018.9456,0.475,2664154.205,7.241476655,,,,,,,,,,
720,814751.0361,0.476,2279611.661,6.828379963,,,,,,,,,,
730,687552.1493,0.467,1757181.572,5.531636273,,,,,,,,,,
740,606469.2346,0.407,1594021.098,5.908290334,,,,,,,,,,
750,687155.8382,0.446,1896573.545,6.617788232,,,,,,,,,,
760,619786.5064,0.445,1675257.019,6.305983028,,,,,,,,,,
770,855250.9409,0.481,2381994.196,6.757008668,,,,,,,,,,
780,794557.703,0.46,2124763.608,6.151058879,,,,,,,,,,
790,679976.8732,0.46,1860464.053,6.486076866,,,,,,,,,,
800,595699.5397,0.46,1661989.214,6.783982897,,,,,,,,,,
810,822353.7106,0.47,2230501.265,6.356777734,,,,,,,,,,
820,630929.3885,0.464,1746511.355,6.662690999,,,,,,,,,,
830,1012149.373,0.471,2760486.877,6.438444941,,,,,,,,,,
840,603506.4794,0.453,1589902.258,5.940279771,,,,,,,,,,
850,864512.3215,0.475,2328174.493,6.252515718,,,,,,,,,,
860,869613.3092,0.478,2508008.38,7.317745171,,,,,,,,,,
870,1204007.191,0.477,3090965.242,5.590677809,,,,,,,,,,
880,957653.9928,0.465,2611525.765,6.436547947,,,,,,,,,,
890,837664.6163,0.466,2234688.165,6.11694347,,,,,,,,,,
900,980234.5195,0.473,2644682.285,6.279256577,,,,,,,,,,
910,506776.6175,0.422,1406921.667,6.70737871,,,,,,,,,,
920,929501.9926,0.479,2491291.163,6.183702275,,,,,,,,,,
930,907996.5498,0.465,2506073.812,6.61762027,,,,,,,,,,
940,664401.6078,0.444,1791559.453,6.271116449,,,,,,,,,,
950,1072991.968,0.475,2851771.978,6.063771674,,,,,,,,,,
960,801656.8321,0.449,2244049.361,6.835880692,,,,,,,,,,
970,680452.3914,0.448,1951695.446,7.22675584,,,,,,,,,,
980,1147294.29,0.475,3006522.626,5.867193567,,,,,,,,,,
990,1662482.615,0.469,4179213.766,5.319386916,,,,,,,,,,
1000,1039055.542,0.482,2680367.522,5.654434701,,,,,,,,,,
1001,2770872.273,4.81,6980325.459,5.346266866,,,,,,,,,,
1020,3399716.051,5.274,8486804.91,5.231651341,,,,,,,,,,
1040,2532354.289,3.594,6286661.537,5.162986659,,,,,,,,,,
1060,5149398.81,7.032,1.24E+07,4.780404695,,,,,,,,,,
1080,2295609.229,1.913,5977299.86,5.77975754,,,,,,,,,,
1100,3633759.033,5.272,8866485.637,4.953752556,,,,,,,,,,
1120,3574154.976,3.242,9181844.075,5.59953091,,,,,,,,,,
1140,2664334.816,4.363,6507533.802,4.965615594,,,,,,,,,,
1160,5133683.064,8.747,1.36E+07,6.062821658,,,,,,,,,,
1180,2084847.409,3.36,5060466.117,4.891589699,,,,,,,,,,
1200,3049319.165,3.881,7375648.495,4.850522525,,,,,,,,,,
1220,4447034.165,4.302,1.18E+07,6.067028023,,,,,,,,,,
1240,3963060.55,3.655,1.06E+07,6.19280149,,,,,,,,,,
1260,5980635.98,4.267,1.58E+07,5.963642437,,,,,,,,,,
1280,1741006.887,3.397,3981796.839,4.230668742,,,,,,,,,,
1300,3773219.307,2.584,9659310.184,5.553421916,,,,,,,,,,
1320,4242934.533,6.324,1.05E+07,5.121471682,,,,,,,,,,
1340,5943679.35,6.232,1.51E+07,5.454541602,,,,,,,,,,
1360,3630126.131,7.232,8658899.244,4.689602715,,,,,,,,,,
1380,3731163.845,3.348,9403196.361,5.351296239,,,,,,,,,,
1400,4986546.987,8.529,1.28E+07,5.607346531,,,,,,,,,,
1420,4163491.456,3.306,1.01E+07,4.941714702,,,,,,,,,,
1440,3672489.324,4.446,9378419.03,5.521360108,,,,,,,,,,
1460,4891878.249,7.23,1.23E+07,5.319151617,,,,,,,,,,
1480,3241656.464,6.435,8117617.141,5.270802922,,,,,,,,,,
1500,6514190.837,6.577,1.63E+07,5.268643463,,,,,,,,,,
1520,3217600.514,6.083,8816856.109,6.508674206,,,,,,,,,,
1540,3243089.499,3.781,8093298.636,5.227780015,,,,,,,,,,
1560,8851663.878,10.109,2.18E+07,5.091879794,,,,,,,,,,
1580,8210730.405,8.462,2.08E+07,5.414636979,,,,,,,,,,
1600,4603035.383,6.903,1.11E+07,4.795700947,,,,,,,,,,
1620,4094010.359,6.22,1.03E+07,5.271557911,,,,,,,,,,
1640,4118396.214,5.881,1.06E+07,5.583897615,,,,,,,,,,
1660,1.22E+07,9.272,3.27E+07,6.144568059,,,,,,,,,,
1680,4577486.837,9.205,1.19E+07,5.740509244,,,,,,,,,,
1700,7604639.31,7.615,2.03E+07,6.154421496,,,,,,,,,,
1720,4325978.781,6.674,1.16E+07,6.228917061,,,,,,,,,,
1740,9543638.698,11.001,2.72E+07,7.134826028,,,,,,,,,,
1760,9233721.715,8.453,2.53E+07,6.512993009,,,,,,,,,,
1780,6318939.511,9.444,1.53E+07,4.835522897,,,,,,,,,,
1800,5815735.301,8.91,1.50E+07,5.637626966,,,,,,,,,,
1820,4729726.75,6.666,1.20E+07,5.395056575,,,,,,,,,,
1840,7420192.268,9.145,1.78E+07,4.754844026,,,,,,,,,,
1860,3865804.238,8.727,9408373.242,4.92310403,,,,,,,,,,
1880,1.56E+07,10.203,4.16E+07,6.074231225,,,,,,,,,,
1900,8389108.965,9.391,2.06E+07,5.008333923,,,,,,,,,,
1920,5479167.404,6.388,1.46E+07,6.137167737,,,,,,,,,,
1940,9139638.749,8.153,2.37E+07,5.73326939,,,,,,,,,,
1960,6060487.023,6.777,1.55E+07,5.528476181,,,,,,,,,,
1980,1.19E+07,10.205,3.22E+07,6.311804389,,,,,,,,,,
2000,1.31E+07,9.595,3.51E+07,6.152064392,,,,,,,,,,
2020,6312155.379,8.239,1.65E+07,5.86802678,,,,,,,,,,
2040,1.35E+07,9.303,3.51E+07,5.735483112,,,,,,,,,,
2060,9571547.955,10.839,2.32E+07,4.888253495,,,,,,,,,,
2080,1.63E+07,12.002,4.19E+07,5.621748787,,,,,,,,,,
2100,9472611.134,9.342,2.52E+07,6.070385987,,,,,,,,,,
2120,7994040.979,8.803,1.97E+07,5.062678394,,,,,,,,,,
2140,1.32E+07,9.743,3.42E+07,5.689612123,,,,,,,,,,
2160,8890094.39,8.287,2.33E+07,5.850192389,,,,,,,,,,
2180,5969342.933,9.111,1.42E+07,4.622374193,,,,,,,,,,
2200,8409851.098,8.475,2.15E+07,5.505724327,,,,,,,,,,
2220,7683119.462,9.728,1.89E+07,5.050606472,,,,,,,,,,
2240,1.19E+07,10.673,3.19E+07,6.163910042,,,,,,,,,,
2260,6789446.267,6.293,1.81E+07,6.143428111,,,,,,,,,,
2280,1.04E+07,9.74,2.63E+07,5.392073694,,,,,,,,,,
2300,1.24E+07,11.396,3.32E+07,6.127575147,,,,,,,,,,
2320,9109804.943,9.772,2.21E+07,4.885068607,,,,,,,,,,
2340,1.08E+07,10.349,2.96E+07,6.514130497,,,,,,,,,,
2360,7694446.244,9.925,2.00E+07,5.75977865,,,,,,,,,,
2380,5579501.096,8.186,1.27E+07,4.15368493,,,,,,,,,,
2400,6567602.372,9.591,1.62E+07,5.075732369,,,,,,,,,,
2420,1.50E+07,11.199,3.85E+07,5.58518665,,,,,,,,,,
2440,9612210.395,11.083,2.69E+07,6.826401256,,,,,,,,,,
2460,9030228.894,10.956,2.27E+07,5.3134454,,,,,,,,,,
2480,1.27E+07,10.628,3.54E+07,6.72581589,,,,,,,,,,
2500,1.28E+07,11.655,3.42E+07,6.132568695,,,,,,,,,,
2520,8933462.992,10.784,2.32E+07,5.754727922,,,,,,,,,,
2540,8066389.119,9.63,2.09E+07,5.741833208,,,,,,,,,,
2560,7250492.657,10.339,1.90E+07,5.878082329,,,,,,,,,,
2580,2.29E+07,11.673,6.09E+07,6.062908914,,,,,,,,,,
2600,9288914.282,10.254,2.12E+07,4.211891239,,,,,,,,,,
2620,1.18E+07,10.555,3.11E+07,5.921652829,,,,,,,,,,
2640,1.78E+07,11.375,4.66E+07,5.867174531,,,,,,,,,,
2660,1.38E+07,10.558,3.63E+07,5.878736638,,,,,,,,,,
2680,1.40E+07,10.43,3.72E+07,6.101458492,,,,,,,,,,
2700,1.50E+07,10.08,3.91E+07,5.763355412,,,,,,,,,,
2720,1.05E+07,10.537,2.55E+07,4.841808871,,,,,,,,,,
2740,1.30E+07,11.384,3.53E+07,6.432503394,,,,,,,,,,
2760,2.05E+07,11.069,5.52E+07,6.278265974,,,,,,,,,,
2780,2.03E+07,11.897,5.42E+07,6.112383003,,,,,,,,,,
2800,8087451.032,10.232,2.06E+07,5.495763797,,,,,,,,,,
2820,9707883.11,11.167,2.27E+07,4.489922818,,,,,,,,,,
2840,1.29E+07,11.136,3.41E+07,6.000018341,,,,,,,,,,
2860,2.10E+07,12.197,5.83E+07,6.666321794,,,,,,,,,,
2880,1.09E+07,10.051,2.98E+07,6.471518233,,,,,,,,,,
2900,1.06E+07,11.684,2.94E+07,6.779861604,,,,,,,,,,
2920,1.35E+07,10.959,3.68E+07,6.416319085,,,,,,,,,,
2940,1.85E+07,11.774,5.11E+07,6.641002935,,,,,,,,,,
2960,1.71E+07,11.967,4.60E+07,6.229721143,,,,,,,,,,
2980,1.41E+07,11.515,3.49E+07,5.074628981,,,,,,,,,,
3000,1.61E+07,11.282,4.16E+07,5.663614545,,,,,,,,,,
3020,2.29E+07,11.911,6.28E+07,6.507739346,,,,,,,,,,
3040,1.54E+07,11.656,3.89E+07,5.417739715,,,,,,,,,,
3060,1.77E+07,11.605,4.71E+07,6.073694706,,,,,,,,,,
3080,1.27E+07,11.276,3.20E+07,5.386757043,,,,,,,,,,
3100,1.76E+07,11.724,4.79E+07,6.378704729,,,,,,,,,,
3120,1.98E+07,11.612,5.27E+07,6.118214156,,,,,,,,,,
3140,2.42E+07,12.36,6.57E+07,6.372944803,,,,,,,,,,
3160,1.50E+07,11.543,3.98E+07,6.032184422,,,,,,,,,,
3180,2.29E+07,12.286,5.96E+07,5.763499746,,,,,,,,,,
3200,1.95E+07,11.874,5.10E+07,5.860861207,,,,,,,,,,
3220,1.83E+07,11.959,4.73E+07,5.652803285,,,,,,,,,,
3240,1.32E+07,10.168,3.49E+07,6.023914997,,,,,,,,,,
3260,2.34E+07,11.966,6.34E+07,6.354007739,,,,,,,,,,
3280,1.83E+07,11.693,4.67E+07,5.527892439,,,,,,,,,,
3300,2.28E+07,12.44,6.09E+07,6.103068952,,,,,,,,,,
3320,1.77E+07,11.232,4.72E+07,6.149672361,,,,,,,,,,
3340,1.74E+07,10.95,4.82E+07,6.622338161,,,,,,,,,,
3360,1.63E+07,11.654,4.41E+07,6.328672337,,,,,,,,,,
3380,1.76E+07,11.202,4.76E+07,6.260274045,,,,,,,,,,
3400,1.64E+07,12.334,4.56E+07,6.743775566,,,,,,,,,,
3420,1.20E+07,11.086,3.13E+07,5.82366173,,,,,,,,,,
3440,2.16E+07,12.127,5.70E+07,5.93125818,,,,,,,,,,
3460,3.12E+07,13.045,8.63E+07,6.635326476,,,,,,,,,,
3480,2.14E+07,12.939,5.84E+07,6.411715186,,,,,,,,,,
3500,2.08E+07,12.295,5.66E+07,6.415493194,,,,,,,,,,
3520,2.20E+07,13.011,5.81E+07,6.013207072,,,,,,,,,,
3540,1.93E+07,12.735,5.38E+07,6.793699574,,,,,,,,,,
3560,2.06E+07,12.701,5.68E+07,6.595109297,,,,,,,,,,
3580,1.36E+07,11.703,3.87E+07,7.07413003,,,,,,,,,,
3600,1.72E+07,11.329,4.74E+07,6.638533615,,,,,,,,,,
3620,2.62E+07,12.652,6.92E+07,5.992055275,,,,,,,,,,
3640,1.81E+07,11.782,5.56E+07,8.413906277,,,,,,,,,,
3660,2.41E+07,12.644,6.49E+07,6.276773956,,,,,,,,,,
3680,1.94E+07,11.524,5.25E+07,6.290120215,,,,,,,,,,
3700,2.13E+07,12.221,6.14E+07,7.277498839,,,,,,,,,,
3720,2.62E+07,13.371,7.19E+07,6.548663109,,,,,,,,,,
3740,2.40E+07,12.44,6.37E+07,6.038066216,,,,,,,,,,
3760,2.94E+07,12.729,8.32E+07,6.987426741,,,,,,,,,,
3780,1.76E+07,11.553,5.03E+07,7.167481895,,,,,,,,,,
3800,2.71E+07,12.793,7.26E+07,6.168331403,,,,,,,,,,
3820,2.17E+07,12.43,5.63E+07,5.744455531,,,,,,,,,,
3840,1.58E+07,11.469,4.24E+07,6.173328384,,,,,,,,,,
3860,2.85E+07,12.756,7.94E+07,6.744114509,,,,,,,,,,
3880,2.50E+07,11.819,6.97E+07,6.775131278,,,,,,,,,,
