id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,23.05807492,0.001,25.6574542,0.238172154,,10,0.238172154,5.064579049,9.795430324,50.64579049,0,0.0006,0.002,0.006
2,16.62258706,0,53.23658464,9.257065742,,100,1.855586535,3.07230663,4.783080827,58.37382597,0.003,0.004947368,0.007,0.094
3,76.23953794,0.001,170.7624759,4.01677213,,1000,1.345599406,2.414366619,4.007840548,219.7073623,0.036,0.423120879,0.569,38.504
4,88.68543703,0,195.1771969,3.843435625,,5000,1.029763849,2.286061251,3.80901905,459.4983115,2.146,12.35733333,15.022,2483.824
5,91.08944356,0.002,184.2524866,3.091575949,,,,,,,,,,
6,40.00149604,0,131.4305161,9.795430324,,,,,,,,,,
7,64.77225674,0.001,101.4080714,1.451133633,,,,,,,,,,
8,38.0143157,0,123.4403564,9.54435404,,,,,,,,,,
9,83.66393603,0,192.1779249,4.276311344,,,,,,,,,,
10,19.75118527,0.001,48.90777772,5.131539546,,,,,,,,,,
11,1345.206568,0.003,2499.303244,2.45191384,,,,,,,,,,
15,1713.273014,0.003,3571.498662,3.345580853,,,,,,,,,,
20,1715.703775,0.003,3722.741427,3.708050694,,,,,,,,,,
25,5249.996317,0.006,9407.331499,2.210812158,,,,,,,,,,
30,2447.967696,0.003,5299.416339,3.686457855,,,,,,,,,,
35,3537.843209,0.007,7137.354226,3.070027455,,,,,,,,,,
40,3460.756984,0.004,8322.441194,4.783080827,,,,,,,,,,
45,3482.930999,0.004,5885.624263,1.855586535,,,,,,,,,,
50,5816.317226,0.004,11034.89356,2.599482995,,,,,,,,,,
55,5305.052479,0.005,12242.36872,4.325391522,,,,,,,,,,
60,7488.917092,0.006,14941.50875,2.980621294,,,,,,,,,,
65,8242.090644,0.006,16950.41873,3.22947137,,,,,,,,,,
70,4909.697382,0.007,10088.58671,3.222320673,,,,,,,,,,
75,10395.83314,0.006,23000.23772,3.894925086,,,,,,,,,,
80,15108.76113,0.005,26795.67605,2.145369907,,,,,,,,,,
85,18753.23227,0.006,36287.89832,2.744306284,,,,,,,,,,
90,6774.291965,0.005,12969.49116,2.665371968,,,,,,,,,,
95,4666.362604,0.006,8621.074408,2.413232096,,,,,,,,,,
100,9237.211444,0.005,18570.7527,3.041822561,,,,,,,,,,
101,186563.778,0.122,388798.207,3.343040221,,,,,,,,,,
110,31022.28093,0.036,63693.77311,3.215474826,,,,,,,,,,
120,173404.9921,0.325,313287.3217,2.264092429,,,,,,,,,,
130,39964.34879,0.052,69145.12479,1.993488873,,,,,,,,,,
140,183301.6915,0.22,324675.8243,2.137378803,,,,,,,,,,
150,160149.7425,0.13,306355.8938,2.659316638,,,,,,,,,,
160,118728.5439,0.112,223679.7158,2.549301735,,,,,,,,,,
170,331275.8407,0.176,730076.3093,3.856875626,,,,,,,,,,
180,44077.38795,0.051,87896.89042,2.976631258,,,,,,,,,,
190,138417.9967,0.115,284872.728,3.235616485,,,,,,,,,,
200,302803.5287,0.322,541705.8394,2.200406696,,,,,,,,,,
210,202645.8654,0.127,409420.7609,3.081917545,,,,,,,,,,
220,151341.4696,0.133,306690.5435,3.106623392,,,,,,,,,,
230,278925.0057,0.274,462065.2594,1.744300931,,,,,,,,,,
240,191349.0514,0.224,386928.0944,3.0889133,,,,,,,,,,
250,268106.2597,0.357,479425.8961,2.197636328,,,,,,,,,,
260,212850.0656,0.262,390724.193,2.369713895,,,,,,,,,,
270,297145.471,0.256,542139.92,2.328775791,,,,,,,,,,
280,523138.2604,0.446,937130.6035,2.208981946,,,,,,,,,,
290,270161.8406,0.496,457172.9485,1.863604502,,,,,,,,,,
300,401155.8395,0.476,779196.6766,2.772836162,,,,,,,,,,
310,265229.8686,0.151,491000.1736,2.427034143,,,,,,,,,,
320,196980.5355,0.23,348854.2034,2.136471119,,,,,,,,,,
330,300605.293,0.393,548084.1853,2.324308309,,,,,,,,,,
340,874143.1564,0.501,1626989.137,2.464209776,,,,,,,,,,
350,765542.2386,0.513,1333061.915,2.032231299,,,,,,,,,,
360,551655.1889,0.394,966480.1203,2.069378422,,,,,,,,,,
370,307980.4891,0.357,620612.7522,3.06064461,,,,,,,,,,
380,250242.5858,0.383,441828.9594,2.117352532,,,,,,,,,,
390,534962.5089,0.356,984963.5299,2.389952451,,,,,,,,,,
400,491477.9039,0.399,834053.5607,1.879916438,,,,,,,,,,
410,525978.8185,0.502,995704.8847,2.583643214,,,,,,,,,,
420,637222.8375,0.436,1363450.644,3.578214942,,,,,,,,,,
430,1040309.544,0.525,1793481.147,1.972134548,,,,,,,,,,
440,509275.5804,0.363,909473.4461,2.189145563,,,,,,,,,,
450,552940.6724,0.518,992892.3979,2.224388016,,,,,,,,,,
460,676190.2601,0.249,1035609.039,1.345599406,,,,,,,,,,
470,479006.8992,0.444,854399.5368,2.181547937,,,,,,,,,,
480,609253.2676,0.493,1022631.608,1.817362241,,,,,,,,,,
490,593059.1678,0.321,1105274.75,2.473317224,,,,,,,,,,
500,475736.7432,0.515,832656.2839,2.063360707,,,,,,,,,,
510,778452.2274,0.399,1379527.466,2.140485352,,,,,,,,,,
520,476530.7809,0.488,904613.9695,2.603667085,,,,,,,,,,
530,526740.8887,0.514,964209.6149,2.35080266,,,,,,,,,,
