id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,13.88918387,0.025,25.6574542,2.412507935,,10,2.412507935,6.592835195,13.55911692,65.92835195,0.002,0.0055,0.025,0.055
2,25.38187615,0.005,53.23658464,3.399192136,,100,1.478042386,6.538865608,10.49349311,124.2384466,0.006,0.008947368,0.016,0.17
3,72.61839557,0.004,170.7624759,4.529572893,,1000,1.516840374,7.16328532,12.64977229,651.8589641,0.033,0.282978022,0.411,25.751
4,73.78462717,0.004,195.1771969,5.997233691,,5000,1.371719203,7.304669467,13.64271739,1468.238563,1.72,7.359671642,10.331,1479.294
5,79.58717885,0.003,184.2524866,4.35970016,,,,,,,,,,
6,34.98042473,0.003,131.4305161,13.1169953,,,,,,,,,,
7,45.58173137,0.002,101.4080714,3.949523741,,,,,,,,,,
8,32.35114454,0.005,123.4403564,13.55911692,,,,,,,,,,
9,56.45944845,0.002,192.1779249,10.58600567,,,,,,,,,,
10,21.83186382,0.002,48.90777772,4.018503507,,,,,,,,,,
11,1313.564467,0.016,2499.303244,2.620221321,,,,,,,,,,
15,1588.637627,0.007,3571.498662,4.05418686,,,,,,,,,,
20,1541.328998,0.007,3722.741427,4.833578492,,,,,,,,,,
25,2958.768944,0.009,9407.331499,9.109060436,,,,,,,,,,
30,1929.320869,0.007,5299.416339,6.544790013,,,,,,,,,,
35,3344.546874,0.01,7137.354226,3.554072377,,,,,,,,,,
40,3839.254116,0.01,8322.441194,3.699024975,,,,,,,,,,
45,3738.851086,0.01,5885.624263,1.478042386,,,,,,,,,,
50,4259.294676,0.01,11034.89356,5.712138691,,,,,,,,,,
55,4098.060838,0.014,12242.36872,7.924298916,,,,,,,,,,
60,4966.523833,0.008,14941.50875,8.050735215,,,,,,,,,,
65,6994.168914,0.01,16950.41873,4.873387155,,,,,,,,,,
70,3418.236355,0.008,10088.58671,7.710768757,,,,,,,,,,
75,7646.222314,0.008,23000.23772,8.048379507,,,,,,,,,,
80,7903.850168,0.009,26795.67605,10.49349311,,,,,,,,,,
85,10743.94895,0.008,36287.89832,10.40763875,,,,,,,,,,
90,4307.587766,0.007,12969.49116,8.065204489,,,,,,,,,,
95,3133.623415,0.006,8621.074408,6.56883747,,,,,,,,,,
100,5478.458641,0.006,18570.7527,10.49058763,,,,,,,,,,
101,148884.7248,0.122,388798.207,5.819432293,,,,,,,,,,
110,34123.33718,0.033,63693.77311,2.48410278,,,,,,,,,,
120,132128.8053,0.192,313287.3217,4.62199718,,,,,,,,,,
130,43584.66665,0.048,69145.12479,1.516840374,,,,,,,,,,
140,132047.583,0.143,324675.8243,5.045594176,,,,,,,,,,
150,135550.3063,0.199,306355.8938,4.108006875,,,,,,,,,,
160,106524.6759,0.099,223679.7158,3.409128552,,,,,,,,,,
170,241816.5409,0.127,730076.3093,8.115164335,,,,,,,,,,
180,50652.98275,0.045,87896.89042,2.011181777,,,,,,,,,,
190,115193.2195,0.102,284872.728,5.11572454,,,,,,,,,,
200,256976.8973,0.199,541705.8394,3.443640044,,,,,,,,,,
210,151328.7048,0.101,409420.7609,6.319764221,,,,,,,,,,
220,140854.8377,0.132,306690.5435,3.740861142,,,,,,,,,,
230,190239.3898,0.157,462065.2594,4.899371501,,,,,,,,,,
240,162007.5494,0.184,386928.0944,4.704137994,,,,,,,,,,
250,209621.6509,0.192,479425.8961,4.230831172,,,,,,,,,,
260,146656.7891,0.124,390724.193,6.098004349,,,,,,,,,,
270,234993.3178,0.238,542139.92,4.322451941,,,,,,,,,,
280,342583.3906,0.248,937130.6035,6.482860256,,,,,,,,,,
290,231631.4625,0.252,457172.9485,2.895524598,,,,,,,,,,
300,321511.23,0.288,779196.6766,4.873566489,,,,,,,,,,
310,187788.7893,0.138,491000.1736,5.836344937,,,,,,,,,,
320,183412.4057,0.196,348854.2034,2.617682973,,,,,,,,,,
330,203794.9474,0.231,548084.1853,6.232820992,,,,,,,,,,
340,511201.2739,0.301,1626989.137,9.129440363,,,,,,,,,,
350,553929.9194,0.347,1333061.915,4.791499128,,,,,,,,,,
360,315632.0629,0.246,966480.1203,8.376130068,,,,,,,,,,
370,228020.8526,0.251,620612.7522,6.407851365,,,,,,,,,,
380,263289.0845,0.231,441828.9594,1.81606482,,,,,,,,,,
390,432181.1858,0.253,984963.5299,4.194079433,,,,,,,,,,
400,317427.5059,0.295,834053.5607,5.903967971,,,,,,,,,,
410,434983.8736,0.268,995704.8847,4.239803041,,,,,,,,,,
420,435427.5924,0.263,1363450.644,8.804985379,,,,,,,,,,
430,672539.012,0.344,1793481.147,6.111458307,,,,,,,,,,
440,408625.7941,0.306,909473.4461,3.953686198,,,,,,,,,,
450,388317.7305,0.307,992892.3979,5.53777439,,,,,,,,,,
460,329708.4371,0.258,1035609.039,8.865782646,,,,,,,,,,
470,265337.7959,0.245,854399.5368,9.368687224,,,,,,,,,,
480,368360.0664,0.294,1022631.608,6.707141612,,,,,,,,,,
490,367290.729,0.263,1105274.75,8.055669524,,,,,,,,,,
500,352782.3944,0.312,832656.2839,4.570801973,,,,,,,,,,
510,545785.4912,0.305,1379527.466,5.388762304,,,,,,,,,,
520,408144.7407,0.297,904613.9695,3.912450315,,,,,,,,,,
530,385076.1438,0.252,964209.6149,5.269742255,,,,,,,,,,
540,457537.283,0.309,1387399.407,8.194963957,,,,,,,,,,
550,402405.5539,0.317,845038.0644,3.409858068,,,,,,,,,,
560,478029.9117,0.293,1270812.622,6.067289702,,,,,,,,,,
570,594963.8767,0.326,1944604.581,9.682709347,,,,,,,,,,
580,549260.5881,0.328,1688824.725,8.453927817,,,,,,,,,,
590,355434.1777,0.262,1102305.61,8.618019718,,,,,,,,,,
600,386275.6333,0.291,1061264.336,6.548358414,,,,,,,,,,
610,325822.9605,0.292,888581.0136,6.43756352,,,,,,,,,,
620,484844.3577,0.297,1066949.218,3.842646936,,,,,,,,,,
630,557995.9547,0.35,1835652.692,9.822284093,,,,,,,,,,
640,501535.6567,0.359,1749039.233,11.16173324,,,,,,,,,,
650,642858.4556,0.346,1854881.166,7.325330093,,,,,,,,,,
660,507309.0951,0.372,1613187.119,9.111700426,,,,,,,,,,
670,571792.971,0.343,1607571.808,6.904294957,,,,,,,,,,
680,594821.0793,0.34,1971487.554,9.985387429,,,,,,,,,,
690,470048.6048,0.298,1096209.049,4.438776716,,,,,,,,,,
700,642676.7541,0.364,1970648.545,8.402279795,,,,,,,,,,
710,737721.4172,0.389,2664154.205,12.04169183,,,,,,,,,,
720,634203.0203,0.367,2279611.661,11.92007776,,,,,,,,,,
730,580344.4894,0.356,1757181.572,8.167724423,,,,,,,,,,
740,540953.6303,0.314,1594021.098,7.682965014,,,,,,,,,,
750,681867.8408,0.327,1896573.545,6.736400791,,,,,,,,,,
760,604621.687,0.347,1675257.019,6.677069127,,,,,,,,,,
770,658919.9922,0.354,2381994.196,12.06820772,,,,,,,,,,
780,693097.3468,0.375,2124763.608,8.397942118,,,,,,,,,,
790,594387.5145,0.339,1860464.053,8.797227883,,,,,,,,,,
800,494887.6817,0.328,1661989.214,10.27828628,,,,,,,,,,
810,738615.9352,0.362,2230501.265,8.119428062,,,,,,,,,,
820,584942.9009,0.369,1746511.355,7.914887725,,,,,,,,,,
830,805311.9837,0.383,2760486.877,10.75014024,,,,,,,,,,
840,601735.1251,0.336,1589902.258,5.981200731,,,,,,,,,,
850,719644.2133,0.372,2328174.493,9.46635301,,,,,,,,,,
860,702847.1018,0.372,2508008.38,11.73316157,,,,,,,,,,
