id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,16.03841295,0.029,25.6574542,1.559200677,,10,-0.02782638,2.908805026,9.632510824,29.08805026,0.002,0.0061,0.029,0.061
2,27.42300114,0.005,53.23658464,2.768689939,,100,1.39128862,2.201188062,3.039486219,41.82257318,0.008,0.011578947,0.019,0.22
3,109.1586905,0.005,170.7624759,1.447193172,,1000,0.557092432,1.955379149,2.567444202,177.9395026,0.043,0.419769231,0.515,38.199
4,197.950754,0.005,195.1771969,-0.02782638,,5000,0.837015388,1.991604142,2.467736029,400.3124326,2.276,12.25978109,14.912,2464.216
5,93.73505368,0.003,184.2524866,2.863871283,,,,,,,,,,
6,59.02690806,0.004,131.4305161,3.957838292,,,,,,,,,,
7,47.79517931,0.003,101.4080714,3.501703174,,,,,,,,,,
8,78.0586393,0.003,123.4403564,1.500762112,,,,,,,,,,
9,58.9366685,0.002,192.1779249,9.632510824,,,,,,,,,,
10,28.79865683,0.002,48.90777772,1.884107168,,,,,,,,,,
11,1243.528913,0.017,2499.303244,3.039486219,,,,,,,,,,
15,2171.609963,0.011,3571.498662,1.704813544,,,,,,,,,,
20,2407.392336,0.01,3722.741427,1.39128862,,,,,,,,,,
25,5461.227906,0.015,9407.331499,1.967237403,,,,,,,,,,
30,2992.767368,0.013,5299.416339,2.135524231,,,,,,,,,,
35,3893.911694,0.013,7137.354226,2.359713974,,,,,,,,,,
40,4183.546275,0.019,8322.441194,2.957421565,,,,,,,,,,
45,3469.303086,0.009,5885.624263,1.878064892,,,,,,,,,,
50,5953.24496,0.011,11034.89356,2.435807241,,,,,,,,,,
55,6454.091008,0.012,12242.36872,2.597996539,,,,,,,,,,
60,7839.709821,0.015,14941.50875,2.63236039,,,,,,,,,,
65,9290.893039,0.014,16950.41873,2.328479924,,,,,,,,,,
70,6386.875029,0.009,10088.58671,1.495076269,,,,,,,,,,
75,12850.63915,0.009,23000.23772,2.20342966,,,,,,,,,,
80,16807.32611,0.008,26795.67605,1.541746205,,,,,,,,,,
85,20612.82668,0.008,36287.89832,2.099192332,,,,,,,,,,
90,7321.93936,0.008,12969.49116,2.137571413,,,,,,,,,,
95,4898.329285,0.008,8621.074408,2.097610683,,,,,,,,,,
100,9501.932021,0.011,18570.7527,2.819752075,,,,,,,,,,
101,211930.3888,0.186,388798.207,2.36559642,,,,,,,,,,
110,34947.14706,0.043,63693.77311,2.321777185,,,,,,,,,,
120,217969.0932,0.381,313287.3217,1.065835827,,,,,,,,,,
130,40460.00944,0.071,69145.12479,1.920593873,,,,,,,,,,
140,174869.601,0.18,324675.8243,2.447237973,,,,,,,,,,
150,186369.9937,0.271,306355.8938,1.702094284,,,,,,,,,,
160,121668.117,0.126,223679.7158,2.379867159,,,,,,,,,,
170,392363.2203,0.151,730076.3093,2.462262017,,,,,,,,,,
180,52006.05463,0.049,87896.89042,1.856532742,,,,,,,,,,
190,163862.1524,0.132,284872.728,2.02234779,,,,,,,,,,
200,312325.1635,0.372,541705.8394,2.00824416,,,,,,,,,,
210,228556.1433,0.111,409420.7609,2.208883306,,,,,,,,,,
220,175970.7291,0.165,306690.5435,2.037525295,,,,,,,,,,
230,264722.6363,0.256,462065.2594,2.046663405,,,,,,,,,,
240,233849.0765,0.274,386928.0944,1.737721148,,,,,,,,,,
250,269126.2858,0.333,479425.8961,2.173443291,,,,,,,,,,
260,264349.8998,0.166,390724.193,1.184652195,,,,,,,,,,
270,325520.6776,0.435,542139.92,1.773739129,,,,,,,,,,
280,543250.7676,0.452,937130.6035,1.975771254,,,,,,,,,,
290,262385.4943,0.458,457172.9485,2.035857662,,,,,,,,,,
300,477126.3205,0.452,779196.6766,1.667027128,,,,,,,,,,
310,305663.5672,0.148,491000.1736,1.580334071,,,,,,,,,,
320,193146.9922,0.324,348854.2034,2.262210803,,,,,,,,,,
330,300334.1991,0.401,548084.1853,2.33031233,,,,,,,,,,
340,902590.2312,0.488,1626989.137,2.249286821,,,,,,,,,,
350,867498.7398,0.496,1333061.915,1.361363994,,,,,,,,,,
360,555469.0272,0.338,966480.1203,2.027374547,,,,,,,,,,
370,347960.8877,0.468,620612.7522,2.1811235,,,,,,,,,,
380,269437.4291,0.332,441828.9594,1.689010538,,,,,,,,,,
390,604113.8432,0.396,984963.5299,1.658292251,,,,,,,,,,
400,567441.2514,0.482,834053.5607,1.160459215,,,,,,,,,,
410,568321.4155,0.369,995704.8847,2.069539542,,,,,,,,,,
420,778739.0371,0.405,1363450.644,2.065455042,,,,,,,,,,
430,1197368.88,0.507,1793481.147,1.24356005,,,,,,,,,,
440,516697.6424,0.493,909473.4461,2.098183146,,,,,,,,,,
450,795691.9945,0.499,992892.3979,0.557092432,,,,,,,,,,
460,585613.0943,0.407,1035609.039,2.127304046,,,,,,,,,,
470,459530.0341,0.486,854399.5368,2.456958816,,,,,,,,,,
480,638186.9905,0.483,1022631.608,1.567689649,,,,,,,,,,
490,609106.9726,0.319,1105274.75,2.292709036,,,,,,,,,,
500,481085.3715,0.483,832656.2839,1.995623473,,,,,,,,,,
510,787352.0363,0.467,1379527.466,2.069889853,,,,,,,,,,
520,490035.078,0.456,904613.9695,2.407785431,,,,,,,,,,
530,558373.6958,0.453,964209.6149,1.981899578,,,,,,,,,,
540,742331.5291,0.504,1387399.407,2.493069248,,,,,,,,,,
550,466715.3837,0.478,845038.0644,2.278297115,,,,,,,,,,
560,754619.8884,0.505,1270812.622,1.83600208,,,,,,,,,,
570,1137157.917,0.493,1944604.581,1.924294117,,,,,,,,,,
580,919401.8736,0.487,1688824.725,2.374103407,,,,,,,,,,
590,631170.5201,0.429,1102305.61,2.050075734,,,,,,,,,,
600,622905.1121,0.496,1061264.336,1.902707998,,,,,,,,,,
610,490431.8641,0.473,888581.0136,2.282741613,,,,,,,,,,
620,612624.8553,0.495,1066949.218,2.033180625,,,,,,,,,,
