id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,23.9300958,0.001,25.6574542,0.149577487,,10,0.149577487,2.934135923,8.853580024,29.34135923,0,0.0004,0.001,0.004
2,36.29157923,0.001,53.23658464,1.151833368,,100,1.303668128,2.490235477,4.096902867,47.31447406,0.002,0.004947368,0.007,0.094
3,83.17314093,0,170.7624759,3.215204813,,1000,1.269698027,2.049421719,3.435510738,186.4973764,0.032,0.416516484,0.529,37.903
4,149.1594431,0.001,195.1771969,0.712208492,,5000,1.103491245,1.910535962,3.125912659,384.0177283,2.771,12.18604975,14.467,2449.396
5,103.2368957,0.001,184.2524866,2.185347671,,,,,,,,,,
6,52.7755716,0,131.4305161,5.201925362,,,,,,,,,,
7,83.53047357,0,101.4080714,0.473856358,,,,,,,,,,
8,51.89538371,0,123.4403564,4.657920995,,,,,,,,,,
9,61.22185377,0,192.1779249,8.853580024,,,,,,,,,,
10,25.28993214,0,48.90777772,2.739904662,,,,,,,,,,
11,1429.879454,0.003,2499.303244,2.05519584,,,,,,,,,,
15,1880.907345,0.003,3571.498662,2.605505635,,,,,,,,,,
20,1854.448376,0.002,3722.741427,3.029918363,,,,,,,,,,
25,5068.617482,0.006,9407.331499,2.444719487,,,,,,,,,,
30,2803.737525,0.005,5299.416339,2.572575144,,,,,,,,,,
35,3662.808875,0.005,7137.354226,2.797047122,,,,,,,,,,
40,4439.436568,0.004,8322.441194,2.51435606,,,,,,,,,,
45,3877.774733,0.004,5885.624263,1.303668128,,,,,,,,,,
50,6393.483574,0.004,11034.89356,1.978936111,,,,,,,,,,
55,5422.658776,0.005,12242.36872,4.096902867,,,,,,,,,,
60,7959.779987,0.006,14941.50875,2.523601447,,,,,,,,,,
65,8382.157671,0.005,16950.41873,3.089302243,,,,,,,,,,
70,5609.05406,0.006,10088.58671,2.235053081,,,,,,,,,,
75,13000.61929,0.006,23000.23772,2.129944005,,,,,,,,,,
80,16274.6401,0.006,26795.67605,1.710857261,,,,,,,,,,
85,18817.22341,0.007,36287.89832,2.718883294,,,,,,,,,,
90,6803.269219,0.006,12969.49116,2.63421453,,,,,,,,,,
95,4720.375216,0.005,8621.074408,2.335567579,,,,,,,,,,
100,9872.717962,0.006,18570.7527,2.538225862,,,,,,,,,,
101,191112.3271,0.12,388798.207,3.138768216,,,,,,,,,,
110,36167.90135,0.032,63693.77311,2.101325386,,,,,,,,,,
120,175516.1284,0.348,313287.3217,2.186042603,,,,,,,,,,
130,39400.54351,0.062,69145.12479,2.079772977,,,,,,,,,,
140,207052.2688,0.221,324675.8243,1.458894617,,,,,,,,,,
150,171634.0884,0.264,306355.8938,2.185997159,,,,,,,,,,
160,132656.1257,0.183,223679.7158,1.843142229,,,,,,,,,,
170,352710.426,0.172,730076.3093,3.28449773,,,,,,,,,,
180,50550.45589,0.051,87896.89042,2.023408772,,,,,,,,,,
190,150025.9862,0.152,284872.728,2.605527136,,,,,,,,,,
200,310915.5195,0.37,541705.8394,2.035583846,,,,,,,,,,
210,202240.6422,0.119,409420.7609,3.09829155,,,,,,,,,,
220,181584.0264,0.175,306690.5435,1.852630271,,,,,,,,,,
230,250087.4614,0.239,462065.2594,2.413679923,,,,,,,,,,
240,210333.6026,0.355,386928.0944,2.384100158,,,,,,,,,,
250,285548.6489,0.25,479425.8961,1.818920047,,,,,,,,,,
260,198636.4242,0.142,390724.193,2.869214695,,,,,,,,,,
270,315138.8965,0.464,542139.92,1.959502797,,,,,,,,,,
280,509579.3667,0.459,937130.6035,2.382023118,,,,,,,,,,
290,278905.0119,0.398,457172.9485,1.686880876,,,,,,,,,,
300,441615.9563,0.424,779196.6766,2.113183138,,,,,,,,,,
310,295598.6415,0.161,491000.1736,1.759042711,,,,,,,,,,
320,190136.0131,0.318,348854.2034,2.366349122,,,,,,,,,,
330,282119.5203,0.258,548084.1853,2.774229182,,,,,,,,,,
340,843182.2848,0.441,1626989.137,2.723285677,,,,,,,,,,
350,873421.9985,0.502,1333061.915,1.329444618,,,,,,,,,,
360,458903.223,0.452,966480.1203,3.435510738,,,,,,,,,,
370,361147.0324,0.369,620612.7522,1.953066922,,,,,,,,,,
380,256574.8083,0.361,441828.9594,1.965379833,,,,,,,,,,
390,618412.6642,0.39,984963.5299,1.536784358,,,,,,,,,,
400,483296.5556,0.356,834053.5607,1.978245413,,,,,,,,,,
410,660916.505,0.334,995704.8847,1.269698027,,,,,,,,,,
420,858965.4167,0.416,1363450.644,1.519576129,,,,,,,,,,
430,1082899.858,0.498,1793481.147,1.742944613,,,,,,,,,,
440,548547.4129,0.442,909473.4461,1.748854196,,,,,,,,,,
450,633545.2109,0.514,992892.3979,1.456117539,,,,,,,,,,
460,655843.6102,0.309,1035609.039,1.493394985,,,,,,,,,,
470,452492.0573,0.527,854399.5368,2.565332908,,,,,,,,,,
480,667286.5683,0.366,1022631.608,1.348624883,,,,,,,,,,
490,579114.9329,0.275,1105274.75,2.642595697,,,,,,,,,,
500,460840.4616,0.487,832656.2839,2.264602598,,,,,,,,,,
510,743966.0605,0.45,1379527.466,2.438384625,,,,,,,,,,
520,566646.3704,0.37,904613.9695,1.548603984,,,,,,,,,,
530,542411.381,0.454,964209.6149,2.159987239,,,,,,,,,,
540,767269.7455,0.508,1387399.407,2.269692126,,,,,,,,,,
550,452524.7531,0.46,845038.0644,2.487127797,,,,,,,,,,
560,686344.0181,0.507,1270812.622,2.428304063,,,,,,,,,,
570,1060113.507,0.499,1944604.581,2.36478929,,,,,,,,,,
580,890406.7514,0.512,1688824.725,2.597429309,,,,,,,,,,
590,618254.5237,0.464,1102305.61,2.178845569,,,,,,,,,,
600,630744.2288,0.496,1061264.336,1.831004559,,,,,,,,,,
610,573458.8929,0.503,888581.0136,1.400985155,,,,,,,,,,
620,677612.7211,0.508,1066949.218,1.479273268,,,,,,,,,,
630,1081588.425,0.524,1835652.692,1.880427638,,,,,,,,,,
640,1090670.981,0.485,1749039.233,1.571648372,,,,,,,,,,
650,1040002.966,0.501,1854881.166,2.180995297,,,,,,,,,,
660,1054065.214,0.529,1613187.119,1.34225691,,,,,,,,,,
670,997112.1134,0.507,1607571.808,1.599278282,,,,,,,,,,
680,1297179.459,0.518,1971487.554,1.309872207,,,,,,,,,,
