id, d, s,c,score,,point count,min score,avg score,max score,total score,min time,avg time,max time,total time
1,21.60171981,0.001,25.6574542,0.410751327,,10,0.410751327,4.878926046,11.1637744,48.78926046,0,0.0004,0.001,0.004
2,21.75227239,0,53.23658464,4.989783231,,100,1.479562182,3.121460463,5.381521271,59.30774879,0.002,0.004736842,0.006,0.09
3,73.69905882,0,170.7624759,4.368599454,,1000,1.300891352,2.175070468,3.536687607,197.9314126,0.03,0.399923077,0.497,36.393
4,80.91955859,0.001,195.1771969,4.817697594,,5000,1.213984157,1.986903297,3.29920888,399.3675628,2.075,10.95354726,12.713,2201.663
5,82.49828467,0.001,184.2524866,3.988119829,,,,,,,,,,
6,42.00241362,0,131.4305161,8.791380596,,,,,,,,,,
7,60.32345655,0.001,101.4080714,1.826002937,,,,,,,,,,
8,59.83156736,0,123.4403564,3.256509177,,,,,,,,,,
9,55.10224854,0,192.1779249,11.1637744,,,,,,,,,,
10,19.67894073,0,48.90777772,5.176641911,,,,,,,,,,
11,989.3656826,0.002,2499.303244,5.381521271,,,,,,,,,,
15,1811.105209,0.003,3571.498662,2.888782235,,,,,,,,,,
20,2117.224873,0.003,3722.741427,2.091660302,,,,,,,,,,
25,5334.396468,0.006,9407.331499,2.110013793,,,,,,,,,,
30,2210.022705,0.004,5299.416339,4.749930692,,,,,,,,,,
35,3481.401182,0.006,7137.354226,3.203067432,,,,,,,,,,
40,3738.91965,0.003,8322.441194,3.954606931,,,,,,,,,,
45,3737.705085,0.004,5885.624263,1.479562182,,,,,,,,,,
50,5754.030437,0.005,11034.89356,2.677832844,,,,,,,,,,
55,5506.607354,0.006,12242.36872,3.942682233,,,,,,,,,,
60,8073.555487,0.005,14941.50875,2.424989453,,,,,,,,,,
65,9093.199885,0.006,16950.41873,2.474780589,,,,,,,,,,
70,6053.637135,0.005,10088.58671,1.777332603,,,,,,,,,,
75,11659.03277,0.006,23000.23772,2.891702233,,,,,,,,,,
80,11144.51724,0.005,26795.67605,4.78105254,,,,,,,,,,
85,17143.3781,0.005,36287.89832,3.480544807,,,,,,,,,,
90,6931.613883,0.005,12969.49116,2.500879391,,,,,,,,,,
95,4333.69725,0.005,8621.074408,2.957360823,,,,,,,,,,
100,8716.217501,0.006,18570.7527,3.539446434,,,,,,,,,,
101,204372.6534,0.119,388798.207,2.619119638,,,,,,,,,,
110,33058.87305,0.03,63693.77311,2.712084583,,,,,,,,,,
120,162243.1829,0.298,313287.3217,2.728659493,,,,,,,,,,
130,36596.19874,0.063,69145.12479,2.569859917,,,,,,,,,,
140,175455.6586,0.161,324675.8243,2.424247485,,,,,,,,,,
150,143832.4249,0.217,306355.8938,3.536687607,,,,,,,,,,
160,128460.4356,0.146,223679.7158,2.031896864,,,,,,,,,,
170,345242.726,0.144,730076.3093,3.471852165,,,,,,,,,,
180,43263.64339,0.043,87896.89042,3.127630774,,,,,,,,,,
190,155435.9515,0.129,284872.728,2.35891332,,,,,,,,,,
200,307734.0894,0.364,541705.8394,2.0986735,,,,,,,,,,
210,221402.1672,0.117,409420.7609,2.419605343,,,,,,,,,,
220,169785.8722,0.153,306690.5435,2.26285422,,,,,,,,,,
230,258198.7033,0.279,462065.2594,2.202569184,,,,,,,,,,
240,208433.0002,0.309,386928.0944,2.446097568,,,,,,,,,,
250,233814.0155,0.315,479425.8961,3.20437937,,,,,,,,,,
260,222842.2605,0.181,390724.193,2.074294692,,,,,,,,,,
270,340331.1845,0.383,542139.92,1.537577321,,,,,,,,,,
280,521648.7214,0.436,937130.6035,2.22733425,,,,,,,,,,
290,243596.8861,0.463,457172.9485,2.522228968,,,,,,,,,,
300,431417.2786,0.445,779196.6766,2.262113842,,,,,,,,,,
310,274203.2869,0.194,491000.1736,2.206402058,,,,,,,,,,
320,189460.2088,0.311,348854.2034,2.390407478,,,,,,,,,,
330,295832.0907,0.278,548084.1853,2.432448076,,,,,,,,,,
340,998451.886,0.472,1626989.137,1.65530873,,,,,,,,,,
350,718330.9025,0.453,1333061.915,2.443908003,,,,,,,,,,
360,547690.1664,0.369,966480.1203,2.11398104,,,,,,,,,,
370,366586.4259,0.376,620612.7522,1.866082126,,,,,,,,,,
380,274013.7501,0.408,441828.9594,1.5999419,,,,,,,,,,
390,562851.673,0.321,984963.5299,2.062332743,,,,,,,,,,
400,487768.802,0.427,834053.5607,1.92388201,,,,,,,,,,
410,650375.6782,0.452,995704.8847,1.343865528,,,,,,,,,,
420,811191.3048,0.398,1363450.644,1.825089878,,,,,,,,,,
430,1010772.206,0.485,1793481.147,2.148379301,,,,,,,,,,
440,570182.6402,0.446,909473.4461,1.544204789,,,,,,,,,,
450,573201.7944,0.483,992892.3979,2.000469998,,,,,,,,,,
460,509804.5214,0.392,1035609.039,3.126523275,,,,,,,,,,
470,434433.7732,0.419,854399.5368,2.867896532,,,,,,,,,,
480,540107.2143,0.431,1022631.608,2.584911736,,,,,,,,,,
490,627975.0553,0.328,1105274.75,2.097816666,,,,,,,,,,
500,456209.9562,0.482,832656.2839,2.331209987,,,,,,,,,,
510,704173.728,0.425,1379527.466,2.837965509,,,,,,,,,,
520,504182.8388,0.457,904613.9695,2.219218551,,,,,,,,,,
530,514094.6265,0.429,964209.6149,2.517683704,,,,,,,,,,
540,733604.2989,0.471,1387399.407,2.576673308,,,,,,,,,,
550,470877.1613,0.451,845038.0644,2.220603724,,,,,,,,,,
560,617663.9328,0.445,1270812.622,3.233100257,,,,,,,,,,
570,1035281.092,0.481,1944604.581,2.528141905,,,,,,,,,,
580,1001605.499,0.388,1688824.725,1.84299278,,,,,,,,,,
590,618724.4683,0.405,1102305.61,2.174018496,,,,,,,,,,
600,562769.7332,0.48,1061264.336,2.556195887,,,,,,,,,,
610,504376.7547,0.47,888581.0136,2.103729991,,,,,,,,,,
620,686064.5225,0.455,1066949.218,1.41856395,,,,,,,,,,
630,1074126.304,0.477,1835652.692,1.920588206,,,,,,,,,,
640,978285.9304,0.482,1749039.233,2.196446848,,,,,,,,,,
650,1077798.481,0.488,1854881.166,1.961809002,,,,,,,,,,
660,985000.2961,0.473,1613187.119,1.682234655,,,,,,,,,,
670,968770.3675,0.479,1607571.808,1.753588696,,,,,,,,,,
680,1136809.564,0.482,1971487.554,2.007548516,,,,,,,,,,
690,571162.3306,0.477,1096209.049,2.683559178,,,,,,,,,,
700,1029203.962,0.483,1970648.545,2.666194107,,,,,,,,,,
710,1733186.553,0.484,2664154.205,1.362806169,,,,,,,,,,
720,1278172.272,0.489,2279611.661,2.180848286,,,,,,,,,,
730,1132533.706,0.487,1757181.572,1.407304388,,,,,,,,,,
740,996061.4719,0.431,1594021.098,1.561036965,,,,,,,,,,
750,1179076.466,0.476,1896573.545,1.58735151,,,,,,,,,,
760,1046289.854,0.482,1675257.019,1.563650778,,,,,,,,,,
770,1405516.131,0.483,2381994.196,1.872167273,,,,,,,,,,
780,1144884.207,0.478,2124763.608,2.444277297,,,,,,,,,,
790,1051549.448,0.484,1860464.053,2.130279857,,,,,,,,,,
800,977884.2576,0.469,1661989.214,1.888560663,,,,,,,,,,
810,1401186.918,0.489,2230501.265,1.534036116,,,,,,,,,,
820,1064030.36,0.48,1746511.355,1.69423074,,,,,,,,,,
830,1527219.916,0.487,2760486.877,2.267143545,,,,,,,,,,
840,988140.4491,0.491,1589902.258,1.58882979,,,,,,,,,,
850,1225342.624,0.485,2328174.493,2.6100729,,,,,,,,,,
860,1653411.399,0.483,2508008.38,1.300891352,,,,,,,,,,
870,1899364.198,0.478,3090965.242,1.648327852,,,,,,,,,,
880,1538886.374,0.488,2611525.765,1.879887491,,,,,,,,,,
890,1410449.268,0.483,2234688.165,1.510261229,,,,,,,,,,
900,1299490.985,0.482,2644682.285,3.141908211,,,,,,,,,,
910,828037.5823,0.493,1406921.667,1.886953166,,,,,,,,,,
920,1418314.738,0.484,2491291.163,2.085345074,,,,,,,,,,
930,1444486.728,0.486,2506073.812,2.009959169,,,,,,,,,,
940,1050267.958,0.47,1791559.453,1.909793821,,,,,,,,,,
950,1682157.368,0.492,2851771.978,1.87406344,,,,,,,,,,
960,1412124.445,0.484,2244049.361,1.525334253,,,,,,,,,,
970,1030765.791,0.486,1951695.446,2.585123359,,,,,,,,,,
980,1745750.94,0.488,3006522.626,1.965953815,,,,,,,,,,
990,2179556.644,0.486,4179213.766,2.676654757,,,,,,,,,,
1000,1621116.202,0.497,2680367.522,1.733760107,,,,,,,,,,
1001,4012110.553,4.261,6980325.459,2.026952191,,,,,,,,,,
1020,4978561.171,7.647,8486804.91,1.90590052,,,,,,,,,,
1040,3551224.526,4.031,6286661.537,2.133891061,,,,,,,,,,
1060,6955874.573,6.168,1.24E+07,2.167873399,,,,,,,,,,
1080,3278004.472,2.464,5977299.86,2.324995052,,,,,,,,,,
1100,4815399.866,5.814,8866485.637,2.390301463,,,,,,,,,,
1120,4833852.424,3.802,9181844.075,2.608054193,,,,,,,,,,
1140,3720528.66,5.051,6507533.802,2.059310496,,,,,,,,,,
1160,8589850.248,10.099,1.36E+07,1.522697411,,,,,,,,,,
1180,2718685.1,4.982,5060466.117,2.464680794,,,,,,,,,,
1200,4071482.621,5.442,7375648.495,2.281672605,,,,,,,,,,
1220,7364313.797,4.49,1.18E+07,1.576992615,,,,,,,,,,
1240,6433525.371,3.258,1.06E+07,1.729363972,,,,,,,,,,
1260,8354810.388,4.255,1.58E+07,2.56827244,,,,,,,,,,
1280,2392096.599,2.402,3981796.839,1.770771856,,,,,,,,,,
1300,5559624.401,2.075,9659310.184,2.018570479,,,,,,,,,,
1320,5888774.084,9.804,1.05E+07,2.177888969,,,,,,,,,,
