id, d, s,c,score,,,
1,19.01702857,0.001,25.6574542,0.820295129,,,
2,25.87545912,0.001,53.23658464,3.232960764,,,
3,95.98338591,0.002,170.7624759,2.165138758,,,
4,89.67269792,0.002,195.1771969,3.737374089,,,
5,64.77362116,0.001,184.2524866,7.09152465,,,
6,40.6290887,0.002,131.4305161,9.464494739,,,
7,43.24460704,0.001,101.4080714,4.498967291,,,
8,30.74799294,0.001,123.4403564,15.11687318,,,
9,61.19925315,0.003,192.1779249,8.860859134,,,
10,21.57274178,0.001,48.90777772,4.139787564,,,
11,1667.256067,0.004,2499.303244,1.247156363,,,
15,3475.066132,0.003,3571.498662,0.056269734,,,
20,2729.67086,0.003,3722.741427,0.859966736,,,
25,5882.485932,0.004,9407.331499,1.557473261,,,
30,5550.733136,0.002,5299.416339,-0.088502704,,,
35,5282.235142,0.003,7137.354226,0.825740469,,,
40,6687.321778,0.002,8322.441194,0.548806022,,,
45,3210.862962,0.002,5885.624263,2.360017396,,,
50,7743.929467,0.002,11034.89356,1.030549212,,,
55,7230.546953,0.002,12242.36872,1.866742004,,,
60,13015.7614,0.002,14941.50875,0.317800747,,,
65,13595.18633,0.002,16950.41873,0.554499311,,,
70,5027.134042,0.002,10088.58671,3.027353315,,,
75,9822.452608,0.002,23000.23772,4.483082308,,,
80,11073.48973,0.002,26795.67605,4.855451972,,,
85,16472.33592,0.002,36287.89832,3.853033075,,,
90,8199.836352,0.003,12969.49116,1.501701592,,,
95,6487.668974,0.003,8621.074408,0.765815897,,,
100,9285.074338,0.002,18570.7527,3.000260217,,,
101,628041.5824,0.021,388798.207,-0.616759226,,,
110,132942.9835,0.022,63693.77311,-0.770457498,,,
120,1804814.118,0.019,313287.3217,-0.969868505,,,
130,185000.2774,0.021,69145.12479,-0.860305802,,,
140,1771213.197,0.02,324675.8243,-0.966398534,,,
150,2464098.801,0.019,306355.8938,-0.984542607,,,
160,1234151.095,0.02,223679.7158,-0.967151425,,,
170,875396.2322,0.018,730076.3093,-0.304451904,,,
180,179349.8532,0.023,87896.89042,-0.759815504,,,
190,1026871.475,0.018,284872.728,-0.923039201,,,
200,2738755.625,0.018,541705.8394,-0.960878052,,,
210,592190.6112,0.017,409420.7609,-0.522012338,,,
220,1115681.051,0.017,306690.5435,-0.924435005,,,
230,1026702.263,0.017,462065.2594,-0.797456833,,,
240,1671485.942,0.016,386928.0944,-0.946413539,,,
250,4034749.866,0.017,479425.8961,-0.985880811,,,
260,1155384.749,0.018,390724.193,-0.885636525,,,
270,2014030.021,0.016,542139.92,-0.92754124,,,
280,4465632.144,0.015,937130.6035,-0.955961314,,,
290,5461796.048,0.016,457172.9485,-0.992993678,,,
300,3023201.181,0.015,779196.6766,-0.933570637,,,
310,1113061.133,0.017,491000.1736,-0.805407877,,,
320,2379630.723,0.016,348854.2034,-0.978508398,,,
330,1792522.129,0.016,548084.1853,-0.906509929,,,
340,4118830.465,0.015,1626989.137,-0.843965198,,,
350,7117517.518,0.015,1333061.915,-0.964921295,,,
360,3089077.258,0.015,966480.1203,-0.902112258,,,
370,3841809.27,0.015,620612.7522,-0.97390425,,,
380,2556738.507,0.015,441828.9594,-0.970136842,,,
390,827949.4028,0.016,984963.5299,0.415248509,,,
400,5597220.109,0.015,834053.5607,-0.977795392,,,
410,2138941.402,0.015,995704.8847,-0.78329771,,,
420,2688754.185,0.015,1363450.644,-0.742855853,,,
430,6361548.389,0.014,1793481.147,-0.920518151,,,
440,3467770.629,0.016,909473.4461,-0.931217284,,,
450,5541139.647,0.015,992892.3979,-0.967892523,,,
460,2724719.815,0.015,1035609.039,-0.855539882,,,
470,5706515.729,0.015,854399.5368,-0.977582872,,,
480,5411518.425,0.015,1022631.608,-0.964289154,,,
490,4362662.431,0.016,1105274.75,-0.935814448,,,
500,8004153.602,0.015,832656.2839,-0.98917817,,,
510,2611825.087,0.015,1379527.466,-0.72102035,,,
520,2469582.433,0.015,904613.9695,-0.865822553,,,
530,4253631.53,0.015,964209.6149,-0.948616559,,,
540,5558360.74,0.014,1387399.407,-0.937696915,,,
550,6037261.395,0.015,845038.0644,-0.980408279,,,
560,4615422.886,0.015,1270812.622,-0.924187636,,,
570,2429612.89,0.016,1944604.581,-0.359397775,,,
580,3403710.611,0.015,1688824.725,-0.753813689,,,
590,3274307.603,0.015,1102305.61,-0.88666473,,,
600,5736867.242,0.016,1061264.336,-0.965778618,,,
610,5284788.013,0.014,888581.0136,-0.971729147,,,
620,5109318.367,0.015,1066949.218,-0.956392462,,,
630,7392410.226,0.014,1835652.692,-0.938339234,,,
640,6726457.182,0.015,1749039.233,-0.932387602,,,
650,5966305.121,0.015,1854881.166,-0.903345681,,,
660,6363621.244,0.014,1613187.119,-0.935737022,,,
670,4560035.916,0.014,1607571.808,-0.875719144,,,
680,2109082.978,0.014,1971487.554,-0.126222723,,,
690,4987177.721,0.016,1096209.049,-0.951685546,,,
700,4889237.592,0.014,1970648.545,-0.837543883,,,
710,5858793.011,0.014,2664154.205,-0.793222915,,,
720,6642781.631,0.014,2279611.661,-0.882233495,,,
730,5911298.164,0.013,1757181.572,-0.911637591,,,
740,5321534.765,0.016,1594021.098,-0.910274823,,,
750,3414004.96,0.016,1896573.545,-0.691389228,,,
760,7177114.024,0.015,1675257.019,-0.945516726,,,
770,6883300.161,0.014,2381994.196,-0.880246565,,,
780,7031511.726,0.014,2124763.608,-0.908688847,,,
790,7325608.046,0.014,1860464.053,-0.935500669,,,
800,9721378.239,0.014,1661989.214,-0.970771891,,,
810,4713132.415,0.016,2230501.265,-0.776032158,,,
820,8377187,0.015,1746511.355,-0.956534327,,,
830,2600863.372,0.014,2760486.877,0.12651323,,,
840,5913908.633,0.016,1589902.258,-0.927724412,,,
850,6408167.028,0.016,2328174.493,-0.868003198,,,
860,7937904.442,0.014,2508008.38,-0.900173411,,,
870,4439818.359,0.014,3090965.242,-0.515316944,,,
880,8598094.999,0.014,2611525.765,-0.907746224,,,
890,4264701.236,0.014,2234688.165,-0.725427755,,,
900,4324060.307,0.014,2644682.285,-0.625920828,,,
910,7642694.362,0.016,1406921.667,-0.966111929,,,
920,6236755.363,0.014,2491291.163,-0.840437234,,,
930,8962940.685,0.014,2506073.812,-0.921821619,,,
940,1.01E+07,0.015,1791559.453,-0.968650897,,,
950,2601989.12,0.016,2851771.978,0.201209179,,,
960,4029606.541,0.015,2244049.361,-0.689873037,,,
970,4863948.497,0.015,1951695.446,-0.838992479,,,
980,5498307.827,0.014,3006522.626,-0.701000232,,,
990,2828320.23,0.016,4179213.766,1.183393494,,,
1000,6318099.861,0.014,2680367.522,-0.820023533,,,
1001,2.47E+08,0.091,6980325.459,-0.999198466,,,
1020,1.27E+08,0.09,8486804.91,-0.995536605,,,
1040,1.96E+08,0.118,6286661.537,-0.998971408,,,
1060,3.88E+08,0.093,1.24E+07,-0.998976214,,,
1080,1.35E+08,0.096,5977299.86,-0.998044631,,,
1100,3.16E+08,0.094,8866485.637,-0.999213626,,,
1120,1.66E+08,0.093,9181844.075,-0.996925682,,,
1140,1.61E+08,0.096,6507533.802,-0.998365608,,,
1160,6.26E+08,0.091,1.36E+07,-0.999527715,,,
1180,1.52E+08,0.097,5060466.117,-0.998892815,,,
1200,1.74E+08,0.098,7375648.495,-0.998201482,,,
1220,3.73E+08,0.09,1.18E+07,-0.999001292,,,
1240,2.51E+08,0.09,1.06E+07,-0.99822106,,,
1260,3.66E+08,0.091,1.58E+07,-0.998140486,,,
1280,1.81E+08,0.094,3981796.839,-0.9995182,,,
1300,1.86E+08,0.094,9659310.184,-0.997311303,,,
1320,2.86E+08,0.092,1.05E+07,-0.998655915,,,
1340,3.35E+08,0.094,1.51E+07,-0.997974002,,,
1360,2.66E+08,0.093,8658899.244,-0.998944204,,,
1380,3.06E+08,0.094,9403196.361,-0.999054262,,,
1400,4.69E+08,0.088,1.28E+07,-0.999253898,,,
1420,2.06E+08,0.093,1.01E+07,-0.997591812,,,
1440,3.41E+08,0.095,9378419.03,-0.99924457,,,
1460,4.42E+08,0.095,1.23E+07,-0.999224641,,,
1480,5.50E+08,0.095,8117617.141,-0.999782257,,,
1500,3.88E+08,0.093,1.63E+07,-0.998236004,,,
1520,3.63E+08,0.091,8816856.109,-0.999408882,,,
1540,3.87E+08,0.096,8093298.636,-0.999563331,,,
1560,6.20E+08,0.091,2.18E+07,-0.998763028,,,
1580,4.94E+08,0.09,2.08E+07,-0.998229723,,,
1600,5.28E+08,0.092,1.11E+07,-0.999558304,,,
1620,2.74E+08,0.09,1.03E+07,-0.998591828,,,
1640,4.69E+08,0.089,1.06E+07,-0.999489923,,,
1660,5.22E+08,0.091,3.27E+07,-0.996075376,,,
1680,5.58E+08,0.09,1.19E+07,-0.999545385,,,
1700,5.25E+08,0.091,2.03E+07,-0.998506377,,,
1720,3.76E+08,0.091,1.16E+07,-0.999046993,,,
1740,3.05E+08,0.087,2.72E+07,-0.992055617,,,
1760,5.11E+08,0.089,2.53E+07,-0.997549412,,,
1780,4.07E+08,0.092,1.53E+07,-0.998589476,,,
1800,3.98E+08,0.091,1.50E+07,-0.998582001,,,
1820,4.17E+08,0.092,1.20E+07,-0.999173303,,,
1840,3.27E+08,0.089,1.78E+07,-0.997044133,,,
1860,6.73E+08,0.09,9408373.242,-0.999804354,,,
1880,3.57E+08,0.09,4.16E+07,-0.986455264,,,
1900,3.15E+08,0.089,2.06E+07,-0.995722306,,,
1920,5.37E+08,0.089,1.46E+07,-0.999261829,,,
1940,6.14E+08,0.088,2.37E+07,-0.998510281,,,
1960,5.68E+08,0.092,1.55E+07,-0.999255898,,,
1980,4.52E+08,0.093,3.22E+07,-0.994915674,,,
2000,6.99E+08,0.088,3.51E+07,-0.99747498,,,
2020,5.58E+08,0.102,1.65E+07,-0.999124119,,,
2040,4.16E+08,0.088,3.51E+07,-0.992897751,,,
2060,8.60E+08,0.091,2.32E+07,-0.999272308,,,
2080,5.10E+08,0.089,4.19E+07,-0.993257199,,,
2100,6.68E+08,0.091,2.52E+07,-0.998575326,,,
2120,4.30E+08,0.097,1.97E+07,-0.997898505,,,
2140,5.61E+08,0.099,3.42E+07,-0.996281755,,,
2160,8.55E+08,0.091,2.33E+07,-0.999257122,,,
2180,3.86E+08,0.096,1.42E+07,-0.998643671,,,
2200,6.04E+08,0.103,2.15E+07,-0.998731778,,,
2220,6.70E+08,0.09,1.89E+07,-0.999205104,,,
2240,9.61E+08,0.087,3.19E+07,-0.998897616,,,
2260,7.96E+08,0.094,1.81E+07,-0.999482867,,,
2280,7.63E+08,0.087,2.63E+07,-0.998810722,,,
2300,1.05E+09,0.093,3.32E+07,-0.998990813,,,
2320,7.99E+08,0.097,2.21E+07,-0.999234667,,,
2340,6.82E+08,0.089,2.96E+07,-0.998117479,,,
2360,8.07E+08,0.091,2.00E+07,-0.999386035,,,
2380,5.51E+08,0.09,1.27E+07,-0.999467928,,,
2400,6.44E+08,0.09,1.62E+07,-0.99936641,,,
2420,1.05E+09,0.091,3.85E+07,-0.998642685,,,
2440,6.82E+08,0.092,2.69E+07,-0.998445417,,,
2460,9.81E+08,0.089,2.27E+07,-0.999464857,,,
2480,7.23E+08,0.088,3.54E+07,-0.99759981,,,
2500,6.46E+08,0.096,3.42E+07,-0.99719663,,,
2520,1.18E+09,0.09,2.32E+07,-0.99961479,,,
2540,7.10E+08,0.087,2.09E+07,-0.999133985,,,
2560,7.94E+08,0.091,1.90E+07,-0.999428098,,,
2580,9.68E+08,0.091,6.09E+07,-0.996045716,,,
2600,5.57E+08,0.09,2.12E+07,-0.998549708,,,
2620,8.74E+08,0.089,3.11E+07,-0.998732706,,,
2640,6.41E+08,0.088,4.66E+07,-0.99471157,,,
2660,7.06E+08,0.092,3.63E+07,-0.997355145,,,
2680,7.52E+08,0.087,3.72E+07,-0.997555019,,,
2700,8.51E+08,0.088,3.91E+07,-0.997890793,,,
2720,7.70E+08,0.089,2.55E+07,-0.998903889,,,
2740,7.53E+08,0.086,3.53E+07,-0.997805189,,,
2760,9.73E+08,0.091,5.52E+07,-0.996779366,,,
2780,7.74E+08,0.087,5.42E+07,-0.995099921,,,
2800,7.67E+08,0.093,2.06E+07,-0.99927896,,,
