id, d, s,c,score,,,
1,17.39309871,0.001,25.6574542,1.176071701,,,
2,26.36711132,0.001,53.23658464,3.076573399,,,
3,84.69418987,0.002,170.7624759,3.065160057,,,
4,78.21791951,0.002,195.1771969,5.226523515,,,
5,87.04025124,0.002,184.2524866,3.481118652,,,
6,59.99867683,0.002,131.4305161,3.798539574,,,
7,63.56751069,0.002,101.4080714,1.544922944,,,
8,40.198686,0.002,123.4403564,8.429542439,,,
9,112.7144871,0.001,192.1779249,1.907016663,,,
10,29.03632111,0.002,48.90777772,1.837087159,,,
11,1699.96859,0.003,2499.303244,1.161504339,,,
15,2862.201734,0.002,3571.498662,0.557042628,,,
20,2588.481371,0.003,3722.741427,1.06840537,,,
25,6768.758624,0.002,9407.331499,0.931589525,,,
30,6489.052367,0.002,5299.416339,-0.333049622,,,
35,8666.673759,0.002,7137.354226,-0.321781542,,,
40,7047.268057,0.002,8322.441194,0.394632842,,,
45,4542.238814,0.002,5885.624263,0.678978514,,,
50,7392.822581,0.002,11034.89356,1.228002785,,,
55,10390.84195,0.002,12242.36872,0.38812774,,,
60,15339.31695,0.002,14941.50875,-0.051195219,,,
65,13876.63533,0.002,16950.41873,0.492081383,,,
70,5287.468619,0.002,10088.58671,2.640533706,,,
75,11236.25165,0.001,23000.23772,3.190074405,,,
80,13805.6205,0.002,26795.67605,2.767190439,,,
85,29392.16681,0.002,36287.89832,0.524264814,,,
90,11104.77821,0.002,12969.49116,0.36403683,,,
95,7062.622919,0.002,8621.074408,0.490015369,,,
100,11306.95929,0.002,18570.7527,1.697536665,,,
101,552079.6976,0.023,388798.207,-0.504041938,,,
110,124784.7913,0.024,63693.77311,-0.739462262,,,
120,1312964.073,0.022,313287.3217,-0.943064917,,,
130,162993.0748,0.023,69145.12479,-0.820036337,,,
140,1721390.952,0.025,324675.8243,-0.964425331,,,
150,2563324.556,0.024,306355.8938,-0.98571615,,,
160,981830.9288,0.021,223679.7158,-0.948098515,,,
170,1176354.758,0.019,730076.3093,-0.614823409,,,
180,427130.5861,0.022,87896.89042,-0.957652705,,,
190,1165335.063,0.019,284872.728,-0.94024144,,,
200,1838510.22,0.019,541705.8394,-0.913184966,,,
210,689410.2397,0.022,409420.7609,-0.647317214,,,
220,1448665.788,0.02,306690.5435,-0.955180773,,,
230,1094066.97,0.02,462065.2594,-0.821631229,,,
240,1539048.485,0.019,386928.0944,-0.936794347,,,
250,2484617.285,0.019,479425.8961,-0.962767348,,,
260,2341075.059,0.02,390724.193,-0.972144566,,,
270,2593987.94,0.019,542139.92,-0.956319574,,,
280,4429706.12,0.018,937130.6035,-0.955244088,,,
290,6407406.1,0.018,457172.9485,-0.994909077,,,
300,3696137.44,0.02,779196.6766,-0.955557553,,,
310,842612.0873,0.019,491000.1736,-0.660446726,,,
