id, d, s,c,score,,,
1,17.39309871,0.001,25.6574542,1.176071701,,,
2,25.87545912,0.001,53.23658464,3.232960764,,,
3,68.77322052,0.002,170.7624759,5.165185696,,,
4,92.9380007,0.002,195.1771969,3.410334216,,,
5,101.276703,0.001,184.2524866,2.309844619,,,
6,65.84588231,0.002,131.4305161,2.984145439,,,
7,66.31819797,0.002,101.4080714,1.338188999,,,
8,46.81071407,0.002,123.4403564,5.953825717,,,
9,61.28472746,0.002,192.1779249,8.833372275,,,
10,16.28655132,0.002,48.90777772,8.017737631,,,
11,1494.282273,0.003,2499.303244,1.797516244,,,
15,2618.110618,0.002,3571.498662,0.860908413,,,
20,3277.539497,0.002,3722.741427,0.290119313,,,
25,9232.681,0.002,9407.331499,0.038190942,,,
30,5714.316695,0.002,5299.416339,-0.139942536,,,
35,8999.61703,0.001,7137.354226,-0.371035049,,,
40,8381.47755,0.002,8322.441194,-0.014037725,,,
45,5778.841224,0.002,5885.624263,0.037298004,,,
50,7805.923372,0.002,11034.89356,0.998424427,,,
55,10482.85879,0.002,12242.36872,0.363865174,,,
60,20649.71075,0.002,14941.50875,-0.476446627,,,
65,12734.47228,0.002,16950.41873,0.771735788,,,
70,5909.493661,0.002,10088.58671,1.91447356,,,
75,10953.97115,0.002,23000.23772,3.408810822,,,
80,13571.05796,0.001,26795.67605,2.898540287,,,
85,18120.22748,0.002,36287.89832,3.01047987,,,
90,10395.50976,0.002,12969.49116,0.556518525,,,
95,8035.785931,0.002,8621.074408,0.150975474,,,
100,11892.90338,0.002,18570.7527,1.438278069,,,
101,627284.1143,0.02,388798.207,-0.615833113,,,
110,116647.1363,0.022,63693.77311,-0.701842464,,,
120,1077897.946,0.018,313287.3217,-0.915524582,,,
130,237975.9581,0.02,69145.12479,-0.915577742,,,
140,1317999.145,0.019,324675.8243,-0.939316636,,,
150,2484884.575,0.019,306355.8938,-0.984800124,,,
160,643376.8527,0.018,223679.7158,-0.879128937,,,
170,920104.3066,0.019,730076.3093,-0.370403384,,,
180,277747.7731,0.021,87896.89042,-0.899851177,,,
190,701969.725,0.017,284872.728,-0.835310851,,,
200,4787731.63,0.017,541705.8394,-0.987198306,,,
210,557152.1303,0.019,409420.7609,-0.460002025,,,
220,1445870.465,0.017,306690.5435,-0.955007306,,,
230,1014271.43,0.018,462065.2594,-0.792461703,,,
240,2404516.568,0.017,386928.0944,-0.974105652,,,
250,3246013.513,0.017,479425.8961,-0.978185647,,,
260,1776029.569,0.018,390724.193,-0.951600573,,,
270,3660397.024,0.017,542139.92,-0.978063548,,,
280,3583871.878,0.016,937130.6035,-0.931625323,,,
290,5647085.743,0.018,457172.9485,-0.993445912,,,
300,3072045.362,0.016,779196.6766,-0.93566624,,,
310,1042493.103,0.017,491000.1736,-0.77817172,,,
320,1184383.575,0.017,348854.2034,-0.913243271,,,
330,3559698.236,0.016,548084.1853,-0.97629346,,,
340,6132518.81,0.015,1626989.137,-0.92961315,,,
350,8413574.642,0.018,1333061.915,-0.974896196,,,
360,3170921.973,0.016,966480.1203,-0.907100208,,,
370,3943301.541,0.016,620612.7522,-0.975230262,,,
380,1479050.365,0.016,441828.9594,-0.91076352,,,
390,1973505.244,0.016,984963.5299,-0.750905734,,,
400,5531329.037,0.016,834053.5607,-0.977263223,,,
410,6003138.761,0.017,995704.8847,-0.972489118,,,
420,3551372.374,0.015,1363450.644,-0.852603755,,,
430,6409105.548,0.016,1793481.147,-0.921693325,,,
440,4450214.103,0.016,909473.4461,-0.958234447,,,
450,7451076.969,0.016,992892.3979,-0.982243136,,,
460,3449859.93,0.016,1035609.039,-0.909886732,,,
470,6919716.87,0.016,854399.5368,-0.984754371,,,
480,7216905.541,0.016,1022631.608,-0.979921263,,,
490,4076382.612,0.016,1105274.75,-0.926482519,,,
500,7239016.988,0.016,832656.2839,-0.986769619,,,
510,4300272.934,0.016,1379527.466,-0.897087374,,,
520,4614910.005,0.016,904613.9695,-0.961576218,,,
530,3733208.91,0.017,964209.6149,-0.933291937,,,
540,3872083.388,0.016,1387399.407,-0.871615201,,,
550,6178963.264,0.017,845038.0644,-0.981296567,,,
560,4791830.406,0.015,1270812.622,-0.929666835,,,
570,4401222.523,0.015,1944604.581,-0.804783755,,,
