id, d, s,c,score,,,
1,19.85371679,0.001,25.6574542,0.67010386,,,
2,20.07190609,0.001,53.23658464,6.034660439,,,
3,91.30973708,0.001,170.7624759,2.497443453,,,
4,70.9923504,0.001,195.1771969,6.558490004,,,
5,79.42634933,0.002,184.2524866,4.381427729,,,
6,42.91863264,0.002,131.4305161,8.37779365,,,
7,62.7810449,0.002,101.4080714,1.609083434,,,
8,45.72271284,0.002,123.4403564,6.288704669,,,
9,75.41942744,0.001,192.1779249,5.492927255,,,
10,21.18055836,0.002,48.90777772,4.331888391,,,
11,1284.714273,0.003,2499.303244,2.784642027,,,
15,3231.341364,0.003,3571.498662,0.221617663,,,
20,2788.697063,0.002,3722.741427,0.782063051,,,
25,5179.331724,0.001,9407.331499,2.299023744,,,
30,3785.345709,0.002,5299.416339,0.959949958,,,
35,7876.35116,0.002,7137.354226,-0.178846475,,,
40,7138.910049,0.002,8322.441194,0.359056934,,,
45,7220.44748,0.002,5885.624263,-0.335558362,,,
50,6129.504975,0.002,11034.89356,2.241048224,,,
55,13959.19902,0.002,12242.36872,-0.230852004,,,
60,12521.40414,0.002,14941.50875,0.423910986,,,
65,11590.85863,0.001,16950.41873,1.138600402,,,
70,5170.795242,0.001,10088.58671,2.806676587,,,
75,9490.109,0.001,23000.23772,4.873841836,,,
80,11293.47487,0.002,26795.67605,4.629557483,,,
85,17416.97665,0.002,36287.89832,3.340883123,,,
90,9662.3276,0.002,12969.49116,0.801699503,,,
95,6867.00133,0.002,8621.074408,0.576117256,,,
100,12925.29525,0.002,18570.7527,1.064324982,,,
101,705429.6197,0.02,388798.207,-0.696232627,,,
110,175535.6489,0.021,63693.77311,-0.868337137,,,
120,1981778.734,0.019,313287.3217,-0.975009479,,,
130,191610.3908,0.022,69145.12479,-0.869777804,,,
140,2356297.103,0.022,324675.8243,-0.981013723,,,
150,2143296.292,0.021,306355.8938,-0.979569074,,,
160,1090733.392,0.022,223679.7158,-0.95794516,,,
170,1617870.605,0.017,730076.3093,-0.796366633,,,
180,287318.0006,0.019,87896.89042,-0.906411745,,,
190,1472985.885,0.018,284872.728,-0.96259716,,,
200,2212735.206,0.018,541705.8394,-0.940066707,,,
210,690277.0849,0.018,409420.7609,-0.648202451,,,
220,1011016.302,0.018,306690.5435,-0.907979529,,,
230,1416072.319,0.017,462065.2594,-0.893527913,,,
240,2311678.291,0.017,386928.0944,-0.971984025,,,
250,4424019.531,0.018,479425.8961,-0.988256193,,,
260,2087685.605,0.018,390724.193,-0.964972398,,,
270,1786695.828,0.017,542139.92,-0.907929282,,,
280,5687914.507,0.016,937130.6035,-0.972854733,,,
290,6360002.445,0.017,457172.9485,-0.994832905,,,
300,4253187.825,0.016,779196.6766,-0.966436669,,,
310,1449430.093,0.016,491000.1736,-0.885245759,,,
320,1571784.154,0.018,348854.2034,-0.950739127,,,
330,2554837.34,0.018,548084.1853,-0.95397773,,,
340,3696864.071,0.015,1626989.137,-0.806312166,,,
350,8260087.558,0.016,1333061.915,-0.973954581,,,
360,4446763.231,0.016,966480.1203,-0.952761311,,,
370,4020692.766,0.016,620612.7522,-0.976174632,,,
380,2598915.854,0.016,441828.9594,-0.971098265,,,
390,2968660.082,0.016,984963.5299,-0.889917229,,,
400,5316330.736,0.018,834053.5607,-0.975387037,,,
410,5475684.886,0.016,995704.8847,-0.966933793,,,
420,3752816.898,0.016,1363450.644,-0.868002991,,,
430,5031751.855,0.016,1793481.147,-0.872955695,,,
440,5034629.772,0.016,909473.4461,-0.967367904,,,
450,8047282.308,0.016,992892.3979,-0.984776802,,,
460,3230442.115,0.036,1035609.039,-0.897229673,,,
470,5487040.881,0.016,854399.5368,-0.975753692,,,
480,5974746.551,0.016,1022631.608,-0.970704599,,,
490,5013403.952,0.017,1105274.75,-0.951395655,,,
500,8769088.65,0.016,832656.2839,-0.990983819,,,
510,3707209.531,0.016,1379527.466,-0.861526574,,,
520,4235291.481,0.015,904613.9695,-0.954379507,,,
530,4900958.54,0.017,964209.6149,-0.961293771,,,
540,5501107.245,0.016,1387399.407,-0.936393312,,,
550,4591711.27,0.016,845038.0644,-0.96613092,,,
560,5764922.09,0.016,1270812.622,-0.951406727,,,
570,4110959.054,0.016,1944604.581,-0.776243167,,,
580,3764140.375,0.016,1688824.725,-0.798702892,,,
590,2410384.396,0.016,1102305.61,-0.790862737,,,
600,8040568.748,0.016,1061264.336,-0.982578979,,,
610,4652052.531,0.016,888581.0136,-0.963515799,,,
620,6282218.689,0.015,1066949.218,-0.971155607,,,
630,8235461.062,0.015,1835652.692,-0.950317299,,,
640,5525222.606,0.015,1749039.233,-0.899792658,,,
650,4262380.642,0.016,1854881.166,-0.810622787,,,
660,9179048.433,0.016,1613187.119,-0.969113111,,,
670,6519899.532,0.016,1607571.808,-0.939206247,,,
680,2872705.888,0.015,1971487.554,-0.529016438,,,
690,6530581.669,0.017,1096209.049,-0.97182376,,,
700,5321533.088,0.016,1970648.545,-0.862866102,,,
710,6706239.103,0.017,2664154.205,-0.842180505,,,
720,7981901.83,0.015,2279611.661,-0.918434036,,,
730,9543543.699,0.015,1757181.572,-0.966098888,,,
740,5351964.317,0.016,1594021.098,-0.91129222,,,
750,6280995.681,0.015,1896573.545,-0.908823611,,,
760,7390043.22,0.015,1675257.019,-0.948611146,,,
770,9109795.825,0.015,2381994.196,-0.931630231,,,
780,8993899.475,0.015,2124763.608,-0.944188309,,,
790,7333688.068,0.016,1860464.053,-0.935642717,,,
800,8201891.242,0.015,1661989.214,-0.958939107,,,
810,5824780.674,0.015,2230501.265,-0.853362248,,,
820,5689594.997,0.017,1746511.355,-0.905771968,,,
