id, d, s,c,score,,,
1,19.01702857,0.124,25.6574542,0.820295129,,,
2,30.37727118,0.003,53.23658464,2.071304353,,,
3,97.74533755,0.002,170.7624759,2.052058015,,,
4,89.67269792,0.001,195.1771969,3.737374089,,,
5,78.77830419,0.002,184.2524866,4.470329163,,,
6,40.6290887,0.001,131.4305161,9.464494739,,,
7,43.24460704,0.002,101.4080714,4.498967291,,,
8,30.74799294,0.001,123.4403564,15.11687318,,,
9,61.62815281,0.002,192.1779249,8.72408391,,,
10,20.92089614,0.001,48.90777772,4.465064507,,,
11,2174.903972,0.006,2499.303244,0.320558768,,,
15,3697.067518,0.005,3571.498662,-0.066775311,,,
20,3038.486795,0.004,3722.741427,0.501104884,,,
25,6699.157646,0.005,9407.331499,0.97193457,,,
30,4520.350487,0.005,5299.416339,0.374395936,,,
35,13330.45372,0.005,7137.354226,-0.71332842,,,
40,9793.148001,0.004,8322.441194,-0.27780108,,,
45,8675.446933,0.005,5885.624263,-0.539741994,,,
50,6831.302692,0.003,11034.89356,1.609331388,,,
55,11429.51283,0.003,12242.36872,0.14729598,,,
60,18730.74966,0.003,14941.50875,-0.363675583,,,
65,20569.4717,0.003,16950.41873,-0.320929934,,,
70,5983.077566,0.004,10088.58671,1.84322609,,,
75,9656.09037,0.003,23000.23772,4.67364301,,,
80,11847.07768,0.003,26795.67605,4.115722348,,,
85,17293.63523,0.003,36287.89832,3.403023907,,,
90,11689.71334,0.002,12969.49116,0.230943593,,,
95,9616.47616,0.004,8621.074408,-0.196305737,,,
100,8821.689292,0.002,18570.7527,3.431548416,,,
101,574772.9361,0.026,388798.207,-0.542431746,,,
110,131364.5484,0.023,63693.77311,-0.764908136,,,
120,2019154.158,0.033,313287.3217,-0.975926087,,,
130,272260.5642,0.025,69145.12479,-0.935500901,,,
140,1885050.003,0.021,324675.8243,-0.97033433,,,
150,1560932.938,0.019,306355.8938,-0.961480203,,,
160,971119.0517,0.019,223679.7158,-0.946947207,,,
170,1294440.977,0.018,730076.3093,-0.681893893,,,
180,237464.4765,0.02,87896.89042,-0.862990803,,,
190,1142280.96,0.018,284872.728,-0.937804943,,,
200,1388934.415,0.017,541705.8394,-0.847887972,,,
210,884880.0856,0.02,409420.7609,-0.785922571,,,
220,1037854.378,0.018,306690.5435,-0.912677145,,,
230,1010040.949,0.018,462065.2594,-0.790719545,,,
240,1293658.386,0.018,386928.0944,-0.910541562,,,
250,4043804.894,0.017,479425.8961,-0.985943973,,,
260,2059531.992,0.018,390724.193,-0.964008204,,,
270,3331492.138,0.017,542139.92,-0.973518341,,,
280,4903614.568,0.016,937130.6035,-0.963476904,,,
290,5258918.103,0.016,457172.9485,-0.992442673,,,
300,3839025.81,0.016,779196.6766,-0.958804278,,,
310,1071006.071,0.018,491000.1736,-0.789825789,,,
320,2334196.817,0.018,348854.2034,-0.97766361,,,
330,3561556.089,0.02,548084.1853,-0.976318186,,,
340,3818286.616,0.015,1626989.137,-0.818434949,,,
350,7070384.25,0.015,1333061.915,-0.964452046,,,
360,1998443.372,0.016,966480.1203,-0.766115114,,,
370,2278202.011,0.016,620612.7522,-0.92579094,,,
380,2936110.903,0.017,441828.9594,-0.977355463,,,
390,2346082.78,0.016,984963.5299,-0.823740052,,,
400,4797289.316,0.022,834053.5607,-0.969772929,,,
410,4475181.263,0.016,995704.8847,-0.950496032,,,
420,1576567.41,0.015,1363450.644,-0.2520824,,,
430,6804673.884,0.016,1793481.147,-0.930532927,,,
440,3047396.358,0.017,909473.4461,-0.910931906,,,
450,3772278.75,0.016,992892.3979,-0.930721765,,,
460,2932814.01,0.016,1035609.039,-0.875312585,,,
470,5481119.364,0.015,854399.5368,-0.975701275,,,
480,5778354.59,0.016,1022631.608,-0.968679402,,,
490,3467832.627,0.023,1105274.75,-0.89841625,,,
500,7205722.76,0.015,832656.2839,-0.986647074,,,
510,3776219.431,0.016,1379527.466,-0.866541494,,,
520,3996357.762,0.015,904613.9695,-0.948761329,,,
530,4058825.429,0.016,964209.6149,-0.943565826,,,
540,5523354.963,0.018,1387399.407,-0.936904687,,,
550,5079049.902,0.016,845038.0644,-0.97231863,,,
560,5334605.72,0.015,1270812.622,-0.943250977,,,
570,2395054.998,0.014,1944604.581,-0.340778098,,,
580,3834493.912,0.015,1688824.725,-0.806021743,,,
590,2095238.105,0.017,1102305.61,-0.723218367,,,
600,6784638.632,0.015,1061264.336,-0.975532269,,,
610,5346602.128,0.016,888581.0136,-0.972379068,,,
620,4925797.183,0.017,1066949.218,-0.953082545,,,
630,9633919.901,0.015,1835652.692,-0.963694287,,,
640,9103126.069,0.016,1749039.233,-0.963083715,,,
650,3803737.78,0.015,1854881.166,-0.762200442,,,
660,7862795.054,0.014,1613187.119,-0.957906448,,,
670,4338848.976,0.014,1607571.808,-0.862724923,,,
680,1306702.768,0.017,1971487.554,1.27632599,,,
690,3954276.618,0.015,1096209.049,-0.923148443,,,
700,6228253.552,0.015,1970648.545,-0.899888081,,,
710,7059452.316,0.015,2664154.205,-0.857578125,,,
720,8779231.35,0.014,2279611.661,-0.932576894,,,
730,6128897.341,0.015,1757181.572,-0.917800612,,,
740,6751600.977,0.014,1594021.098,-0.944259021,,,
750,6592137.446,0.015,1896573.545,-0.917227348,,,
760,5662434.875,0.014,1675257.019,-0.912470096,,,
770,8837482.466,0.015,2381994.196,-0.927351899,,,
780,1.02E+07,0.015,2124763.608,-0.956239883,,,
790,9032147.636,0.015,1860464.053,-0.957571223,,,
800,8867601.403,0.015,1661989.214,-0.964872756,,,
810,6400530.894,0.015,2230501.265,-0.87855687,,,
820,7358709.557,0.015,1746511.355,-0.943670032,,,
830,1952617.045,0.015,2760486.877,0.998652181,,,
840,5546517.102,0.016,1589902.258,-0.917832488,,,
850,8778493.12,0.015,2328174.493,-0.929661823,,,
860,6540150.459,0.014,2508008.38,-0.852944089,,,
870,5336097.178,0.014,3090965.242,-0.664462718,,,
880,5834170.716,0.015,2611525.765,-0.799631077,,,
890,5160657.411,0.015,2234688.165,-0.812490274,,,
900,4697864.76,0.014,2644682.285,-0.683082668,,,
910,5451034.21,0.015,1406921.667,-0.933383468,,,
920,8349836.94,0.014,2491291.163,-0.910978894,,,
930,7128714.529,0.014,2506073.812,-0.87641514,,,
940,8244160.643,0.014,1791559.453,-0.952775262,,,
950,2929408.743,0.016,2851771.978,-0.05230269,,,
960,1975436.887,0.014,2244049.361,0.290442011,,,
970,7108829.579,0.014,1951695.446,-0.924624902,,,
980,2458906.123,0.015,3006522.626,0.4950133,,,
990,3554189.217,0.015,4179213.766,0.382636704,,,
1000,5039930.74,0.015,2680367.522,-0.717160828,,,
1001,2.35E+08,0.091,6980325.459,-0.999115928,,,
1020,2.31E+08,0.094,8486804.91,-0.998646984,,,
1040,1.16E+08,0.094,6286661.537,-0.997056059,,,
1060,3.17E+08,0.092,1.24E+07,-0.998467146,,,
1080,1.26E+08,0.103,5977299.86,-0.997740026,,,
1100,3.81E+08,0.094,8866485.637,-0.999458551,,,
1120,1.27E+08,0.095,9181844.075,-0.994744004,,,
1140,1.89E+08,0.094,6507533.802,-0.998810576,,,
1160,6.28E+08,0.099,1.36E+07,-0.999530471,,,
1180,3.13E+08,0.101,5060466.117,-0.999737847,,,
1200,3.60E+08,0.108,7375648.495,-0.999580008,,,
1220,2.74E+08,0.095,1.18E+07,-0.998143125,,,
1240,1.97E+08,0.089,1.06E+07,-0.997094089,,,
1260,1.90E+08,0.093,1.58E+07,-0.993088107,,,
1280,2.71E+08,0.094,3981796.839,-0.999784598,,,
1300,1.80E+08,0.105,9659310.184,-0.997119638,,,
1320,4.36E+08,0.095,1.05E+07,-0.999420438,,,
1340,3.29E+08,0.091,1.51E+07,-0.997896182,,,
1360,3.02E+08,0.098,8658899.244,-0.999180373,,,
1380,2.31E+08,0.091,9403196.361,-0.998346542,,,
