id, d, s,c,score,,,
1,19.01702857,0.001,25.6574542,0.820295129,,,
2,30.79625778,0.001,53.23658464,1.988301957,,,
3,102.473369,0.001,170.7624759,1.776916727,,,
4,89.67269792,0.001,195.1771969,3.737374089,,,
5,64.77362116,0.002,184.2524866,7.09152465,,,
6,39.35069795,0.002,131.4305161,10.15546164,,,
7,43.24460704,0.001,101.4080714,4.498967291,,,
8,30.74799294,0.002,123.4403564,15.11687318,,,
9,54.19743742,0.001,192.1779249,11.57330626,,,
10,21.57274178,0.002,48.90777772,4.139787564,,,
11,2019.585478,0.002,2499.303244,0.531487397,,,
15,3424.98169,0.003,3571.498662,0.087387848,,,
20,3842.599516,0.003,3722.741427,-0.061410921,,,
25,6168.483497,0.002,9407.331499,1.325819899,,,
30,4478.927154,0.003,5299.416339,0.39993568,,,
35,7251.240148,0.002,7137.354226,-0.031164763,,,
40,7147.27011,0.002,8322.441194,0.355879454,,,
45,5163.710805,0.003,5885.624263,0.299155821,,,
50,8248.589525,0.002,11034.89356,0.789686294,,,
55,13116.62803,0.002,12242.36872,-0.128862908,,,
60,21703.13027,0.002,14941.50875,-0.526037314,,,
65,14656.55421,0.002,16950.41873,0.337510207,,,
70,3885.17119,0.002,10088.58671,5.742801005,,,
75,9923.944494,0.003,23000.23772,4.371505149,,,
80,11671.57151,0.002,26795.67605,4.270729967,,,
85,17578.3961,0.002,36287.89832,3.261525967,,,
90,7142.583795,0.002,12969.49116,2.297123287,,,
95,10895.78619,0.002,8621.074408,-0.373954869,,,
100,14990.60389,0.002,18570.7527,0.534690328,,,
101,815204.276,0.021,388798.207,-0.772534462,,,
110,169882.0188,0.021,63693.77311,-0.859427902,,,
120,1776658.204,0.019,313287.3217,-0.968905909,,,
130,182159.5284,0.02,69145.12479,-0.85591481,,,
140,1445926.925,0.018,324675.8243,-0.949579492,,,
150,2761170.749,0.018,306355.8938,-0.987689776,,,
160,780362.8526,0.018,223679.7158,-0.917840076,,,
170,1034242.899,0.016,730076.3093,-0.501699392,,,
180,517905.6696,0.02,87896.89042,-0.971196472,,,
190,1704710.239,0.017,284872.728,-0.972074522,,,
200,2828276.195,0.016,541705.8394,-0.963315433,,,
210,600778.4027,0.019,409420.7609,-0.535579803,,,
220,1106654.472,0.017,306690.5435,-0.923197265,,,
230,2211251.947,0.018,462065.2594,-0.95633533,,,
240,1680233.459,0.018,386928.0944,-0.946970043,,,
250,3242260.533,0.017,479425.8961,-0.978135117,,,
260,1547762.883,0.019,390724.193,-0.936271786,,,
270,1818814.862,0.016,542139.92,-0.911152383,,,
280,4081107.995,0.015,937130.6035,-0.947271664,,,
290,2409277.591,0.016,457172.9485,-0.963992964,,,
300,3331045.098,0.015,779196.6766,-0.945281629,,,
310,1641340.065,0.017,491000.1736,-0.910511722,,,
320,2033618.427,0.017,348854.2034,-0.970572797,,,
330,2575346.584,0.016,548084.1853,-0.954707825,,,
340,3608681.301,0.015,1626989.137,-0.796730486,,,
350,7738362.677,0.015,1333061.915,-0.970324197,,,
360,2554550.654,0.015,966480.1203,-0.856861384,,,
370,3768615.917,0.015,620612.7522,-0.972880753,,,
380,2918840.23,0.019,441828.9594,-0.977086696,,,
390,2204770.331,0.017,984963.5299,-0.800421576,,,
400,5095242.603,0.016,834053.5607,-0.973204729,,,
410,4277775.812,0.016,995704.8847,-0.945821717,,,
420,4351433.394,0.016,1363450.644,-0.901822004,,,
430,5548957.745,0.015,1793481.147,-0.895535003,,,
440,5438009.377,0.016,909473.4461,-0.972029506,,,
450,5165370.152,0.017,992892.3979,-0.963051103,,,
460,4149482.045,0.016,1035609.039,-0.937712072,,,
470,4164038.724,0.016,854399.5368,-0.957898992,,,
480,4184639.008,0.015,1022631.608,-0.940279639,,,
490,2914445.947,0.016,1105274.75,-0.856176952,,,
500,8425054.023,0.015,832656.2839,-0.990232439,,,
510,4330552.277,0.015,1379527.466,-0.898521478,,,
520,4224987.049,0.016,904613.9695,-0.954156706,,,
530,5157298.541,0.016,964209.6149,-0.96504588,,,
540,6708430.589,0.015,1387399.407,-0.957227843,,,
550,4465882.922,0.018,845038.0644,-0.964195478,,,
560,4748418.734,0.015,1270812.622,-0.928374937,,,
570,3815205.42,0.016,1944604.581,-0.740207412,,,
