id, d, s,c,score,,,
1,19.01702857,0,25.6574542,0.820295129,,,
2,34.19943804,0.002,53.23658464,1.4231619,,,
3,99.829982,0.002,170.7624759,1.925923051,,,
4,86.9872375,0.001,195.1771969,4.034392538,,,
5,59.89778997,0.002,184.2524866,8.462483123,,,
6,46.26660093,0.002,131.4305161,7.06969718,,,
7,45.19498976,0.001,101.4080714,4.034594094,,,
8,34.82839758,0.002,123.4403564,11.56166904,,,
9,56.48873234,0.002,192.1779249,10.57399636,,,
10,23.46073817,0.002,48.90777772,3.345827804,,,
11,3267.267465,0.003,2499.303244,-0.414848221,,,
15,5163.449183,0.003,3571.498662,-0.521566954,,,
20,3341.835607,0.002,3722.741427,0.240953706,,,
25,16204.65643,0.002,9407.331499,-0.662981888,,,
30,11432.1992,0.002,5299.416339,-0.785119743,,,
35,14336.8485,0.002,7137.354226,-0.752162448,,,
40,15286.39046,0.002,8322.441194,-0.703590872,,,
45,8382.580005,0.002,5885.624263,-0.5070196,,,
50,11337.23206,0.002,11034.89356,-0.052624337,,,
55,13898.7971,0.002,12242.36872,-0.224152292,,,
60,9512.076374,0.002,14941.50875,1.467392553,,,
65,17271.83919,0.002,16950.41873,-0.036872706,,,
70,13089.83595,0.002,10088.58671,-0.405992054,,,
75,23569.50324,0.002,23000.23772,-0.047721913,,,
80,17739.84012,0.002,26795.67605,1.28155023,,,
85,25450.68721,0.002,36287.89832,1.032940205,,,
90,18163.96893,0.002,12969.49116,-0.490171189,,,
95,18728.45428,0.002,8621.074408,-0.788105874,,,
100,16113.45259,0.002,18570.7527,0.328256048,,,
101,1458406.987,0.021,388798.207,-0.928929228,,,
110,185295.9671,0.02,63693.77311,-0.881842303,,,
120,2939878.006,0.018,313287.3217,-0.988643957,,,
130,369845.544,0.02,69145.12479,-0.96504717,,,
140,3589698.062,0.018,324675.8243,-0.991819421,,,
150,3337442.365,0.017,306355.8938,-0.991573933,,,
160,1454137.967,0.018,223679.7158,-0.976338516,,,
170,2971587.066,0.016,730076.3093,-0.93963856,,,
180,488213.5077,0.017,87896.89042,-0.967586387,,,
190,1014993.033,0.017,284872.728,-0.921227319,,,
200,5889764.363,0.018,541705.8394,-0.991540763,,,
210,1789779.525,0.02,409420.7609,-0.947671215,,,
220,3923115.508,0.018,306690.5435,-0.99388863,,,
230,3655683.851,0.016,462065.2594,-0.984023951,,,
240,4042500.418,0.017,386928.0944,-0.990838631,,,
250,4539502.623,0.017,479425.8961,-0.988846108,,,
260,2098328.251,0.017,390724.193,-0.965326814,,,
270,7540829.513,0.018,542139.92,-0.994831262,,,
280,6764730.859,0.015,937130.6035,-0.98080893,,,
290,6671155.508,0.016,457172.9485,-0.995303667,,,
300,5307881.891,0.016,779196.6766,-0.978449781,,,
310,2115155.191,0.016,491000.1736,-0.946113644,,,
320,5024453.928,0.017,348854.2034,-0.995179299,,,
330,3885241.352,0.015,548084.1853,-0.98009975,,,
340,5672934.276,0.015,1626989.137,-0.917746611,,,
