id, d, s,c,score,,,
1,14.69279452,0.001,25.6574542,2.049427516,,,
2,28.61576057,0.001,53.23658464,2.461065233,,,
3,104.4132908,0.001,170.7624759,1.674689166,,,
4,96.93252056,0.001,195.1771969,3.05433043,,,
5,61.12094114,0.001,184.2524866,8.08754657,,,
6,60.44062188,0.002,131.4305161,3.728621779,,,
7,59.8386987,0.002,101.4080714,1.871975731,,,
8,44.08631604,0.002,123.4403564,6.83983125,,,
9,82.76012552,0.002,192.1779249,4.39218418,,,
10,36.19764882,0.002,48.90777772,0.825555895,,,
11,6125.135512,0.003,2499.303244,-0.833502965,,,
15,9096.585394,0.002,3571.498662,-0.845849768,,,
20,9617.907582,0.002,3722.741427,-0.85018181,,,
25,20012.84795,0.002,9407.331499,-0.779039266,,,
30,11229.52745,0.002,5299.416339,-0.777293384,,,
35,13146.99538,0.003,7137.354226,-0.705271942,,,
40,21406.05219,0.002,8322.441194,-0.848842984,,,
45,9481.082381,0.003,5885.624263,-0.614637699,,,
50,18117.69677,0.002,11034.89356,-0.629037232,,,
55,15198.60061,0.002,12242.36872,-0.351180781,,,
60,20912.13886,0.002,14941.50875,-0.489504405,,,
65,24069.15404,0.002,16950.41873,-0.504048499,,,
70,17006.11919,0.002,10088.58671,-0.648074915,,,
75,25720.07866,0.002,23000.23772,-0.200312948,,,
80,30256.55295,0.002,26795.67605,-0.215684965,,,
85,36276.68663,0.001,36287.89832,0.000618217,,,
90,17389.95589,0.002,12969.49116,-0.443777037,,,
95,15921.00938,0.002,8621.074408,-0.706788101,,,
100,17363.44156,0.002,18570.7527,0.143898245,,,
101,6022327.388,0.02,388798.207,-0.995832076,,,
110,525543.0502,0.02,63693.77311,-0.985311503,,,
120,6361069.929,0.018,313287.3217,-0.997574366,,,
130,1525143.918,0.021,69145.12479,-0.997944576,,,
140,6956629.184,0.019,324675.8243,-0.997821778,,,
150,5382223.862,0.017,306355.8938,-0.99676012,,,
160,4541565.233,0.018,223679.7158,-0.997574272,,,
170,7870548.896,0.016,730076.3093,-0.991395484,,,
180,2080079.073,0.018,87896.89042,-0.998214387,,,
190,5933987,0.017,284872.728,-0.997695331,,,
200,1.17E+07,0.016,541705.8394,-0.997853286,,,
210,3329699.612,0.017,409420.7609,-0.984880772,,,
220,6339797.239,0.018,306690.5435,-0.997659816,,,
230,7943566.547,0.017,462065.2594,-0.996616427,,,
240,6896249.385,0.016,386928.0944,-0.996852001,,,
250,9854321.521,0.017,479425.8961,-0.997633048,,,
260,3662187.855,0.02,390724.193,-0.988616931,,,
270,1.07E+07,0.016,542139.92,-0.997424182,,,
280,9499361.316,0.015,937130.6035,-0.990267791,,,
290,9181718.844,0.016,457172.9485,-0.997520791,,,
300,9316165.41,0.015,779196.6766,-0.993004483,,,
310,9895275.602,0.016,491000.1736,-0.99753789,,,
320,9513856.939,0.017,348854.2034,-0.998655457,,,
330,1.05E+07,0.016,548084.1853,-0.997275946,,,
340,1.15E+07,0.015,1626989.137,-0.979928725,,,
350,1.54E+07,0.015,1333061.915,-0.992539192,,,
360,8989504.325,0.016,966480.1203,-0.988441157,,,
370,1.12E+07,0.015,620612.7522,-0.996923743,,,
380,7697546.389,0.016,441828.9594,-0.996705392,,,
390,1.21E+07,0.015,984963.5299,-0.993358366,,,
400,1.05E+07,0.016,834053.5607,-0.993642495,,,
