id, d, s,c,score,,,
1,33.80754829,0.001,25.6574542,-0.424030123,,,
2,19.08472488,0.001,53.23658464,6.781235588,,,
3,118.4760637,0.001,170.7624759,1.077416864,,,
4,88.18349017,0.001,195.1771969,3.898730929,,,
5,97.21068334,0.001,184.2524866,2.592516101,,,
6,44.01237603,0.001,131.4305161,7.917493407,,,
7,37.9506532,0.002,101.4080714,6.140136854,,,
8,50.74486023,0.002,123.4403564,4.917390261,,,
9,96.13064026,0.001,192.1779249,2.996532321,,,
10,21.3541735,0.002,48.90777772,4.24554148,,,
11,5659.404598,0.002,2499.303244,-0.804972246,,,
15,6644.288214,0.002,3571.498662,-0.711062402,,,
20,8436.99839,0.002,3722.741427,-0.805307235,,,
25,11814.62709,0.002,9407.331499,-0.365994742,,,
30,6403.052738,0.002,5299.416339,-0.315013641,,,
35,12802.27399,0.002,7137.354226,-0.689186218,,,
40,12040.15447,0.001,8322.441194,-0.522209674,,,
45,11274.60531,0.002,5885.624263,-0.727490045,,,
50,10502.15278,0.002,11034.89356,0.104026844,,,
55,14203.98098,0.002,12242.36872,-0.257133546,,,
60,15595.6677,0.002,14941.50875,-0.082130453,,,
65,16476.03922,0.002,16950.41873,0.058413153,,,
70,12165.5022,0.002,10088.58671,-0.312297539,,,
75,15403.77843,0.001,23000.23772,1.229513586,,,
80,15861.2473,0.002,26795.67605,1.854005227,,,
85,13471.50802,0.002,36287.89832,6.255898582,,,
90,13344.54359,0.002,12969.49116,-0.055420696,,,
95,7838.007897,0.002,8621.074408,0.209793909,,,
100,15887.46436,0.001,18570.7527,0.36631185,,,
101,2622470.688,0.019,388798.207,-0.978020024,,,
110,506607.6434,0.02,63693.77311,-0.984192963,,,
120,3616155.267,0.019,313287.3217,-0.992494295,,,
130,1548145.91,0.019,69145.12479,-0.9980052,,,
140,3695540.087,0.019,324675.8243,-0.992281302,,,
150,4548707.119,0.018,306355.8938,-0.995463964,,,
160,2898302.833,0.018,223679.7158,-0.994043849,,,
