id, d, s,c,score,,,
1,19.01702857,0.001,25.6574542,0.820295129,,,
2,22.89121923,0.001,53.23658464,4.408570841,,,
3,87.74776653,0.001,170.7624759,2.787152068,,,
4,89.47734983,0.002,195.1771969,3.75808206,,,
5,90.70963719,0.002,184.2524866,3.125910999,,,
6,73.98965572,0.001,131.4305161,2.155370882,,,
7,57.52632417,0.002,101.4080714,2.107504728,,,
8,65.0984015,0.002,123.4403564,2.595619151,,,
9,185.0824234,0.001,192.1779249,0.078143688,,,
10,45.40033334,0.002,48.90777772,0.16048031,,,
11,8953.43996,0.002,2499.303244,-0.922078365,,,
15,9772.652259,0.003,3571.498662,-0.866440098,,,
20,8607.03519,0.002,3722.741427,-0.81292378,,,
25,19545.05205,0.002,9407.331499,-0.768335636,,,
30,31287.55545,0.002,5299.416339,-0.971311171,,,
35,20683.96603,0.002,7137.354226,-0.880928761,,,
40,29172.80959,0.002,8322.441194,-0.91861489,,,
45,15788.23182,0.002,5885.624263,-0.861030954,,,
50,33539.82824,0.002,11034.89356,-0.891753309,,,
55,26134.86487,0.002,12242.36872,-0.780572834,,,
60,23584.7355,0.002,14941.50875,-0.598646655,,,
65,19024.58717,0.002,16950.41873,-0.206164751,,,
70,34529.78064,0.002,10088.58671,-0.914636341,,,
75,26975.14303,0.002,23000.23772,-0.272995436,,,
80,38552.36,0.002,26795.67605,-0.516910609,,,
85,34088.51773,0.002,36287.89832,0.13320217,,,
90,29412.52603,0.002,12969.49116,-0.805561964,,,
95,17049.61089,0.002,8621.074408,-0.744321716,,,
100,22855.44398,0.002,18570.7527,-0.339793662,,,
101,5996947.316,0.019,388798.207,-0.995796723,,,
110,1465296.137,0.021,63693.77311,-0.998110516,,,
120,8531435.331,0.018,313287.3217,-0.99865153,,,
130,4455755.515,0.018,69145.12479,-0.999759187,,,
140,7291456.355,0.019,324675.8243,-0.998017235,,,
150,8157530.632,0.02,306355.8938,-0.998589624,,,
160,7881606.833,0.018,223679.7158,-0.999194578,,,
170,6377106.405,0.017,730076.3093,-0.986893426,,,
180,2836332.592,0.022,87896.89042,-0.999039643,,,
190,4985618.666,0.018,284872.728,-0.996735147,,,
200,1.56E+07,0.018,541705.8394,-0.998794233,,,
210,4672850.267,0.017,409420.7609,-0.992323275,,,
220,8560883.786,0.017,306690.5435,-0.998716595,,,
230,8746915.829,0.017,462065.2594,-0.997209405,,,
240,9767425.755,0.016,386928.0944,-0.998430721,,,
250,1.07E+07,0.017,479425.8961,-0.99799322,,,
260,5176538.42,0.017,390724.193,-0.994302797,,,
270,9832460.058,0.018,542139.92,-0.996959826,,,
280,1.27E+07,0.014,937130.6035,-0.994581317,,,
290,1.41E+07,0.015,457172.9485,-0.998944313,,,
300,1.19E+07,0.015,779196.6766,-0.995748007,,,
310,8629187.592,0.016,491000.1736,-0.996762398,,,
320,9189633.702,0.017,348854.2034,-0.998558909,,,
330,9672066.807,0.015,548084.1853,-0.996788884,,,
340,1.26E+07,0.013,1626989.137,-0.983226765,,,
350,1.67E+07,0.014,1333061.915,-0.993662554,,,
360,9200721.083,0.015,966480.1203,-0.988965768,,,
370,1.12E+07,0.015,620612.7522,-0.996910818,,,
380,9756998.25,0.016,441828.9594,-0.997949424,,,
390,1.31E+07,0.016,984963.5299,-0.994369879,,,
400,1.14E+07,0.017,834053.5607,-0.994622275,,,
410,1.36E+07,0.015,995704.8847,-0.994635499,,,
420,1.86E+07,0.014,1363450.644,-0.994623752,,,
430,1.37E+07,0.013,1793481.147,-0.982983742,,,
440,1.13E+07,0.016,909473.4461,-0.99350949,,,
450,1.23E+07,0.015,992892.3979,-0.993457284,,,
460,1.38E+07,0.015,1035609.039,-0.994369139,,,
470,9709329.398,0.014,854399.5368,-0.992256389,,,
480,1.46E+07,0.015,1022631.608,-0.995079709,,,
490,1.30E+07,0.015,1105274.75,-0.992763206,,,
500,1.31E+07,0.015,832656.2839,-0.99594254,,,
510,1.53E+07,0.016,1379527.466,-0.991860342,,,
520,1.28E+07,0.016,904613.9695,-0.995011286,,,
530,1.25E+07,0.015,964209.6149,-0.994046621,,,
540,1.13E+07,0.014,1387399.407,-0.9849498,,,
550,1.48E+07,0.015,845038.0644,-0.996726252,,,
560,1.17E+07,0.014,1270812.622,-0.988217091,,,
570,1.17E+07,0.014,1944604.581,-0.972412909,,,
580,1.27E+07,0.015,1688824.725,-0.982361132,,,
590,6714660.642,0.016,1102305.61,-0.973050178,,,
600,8690844.347,0.015,1061264.336,-0.985088436,,,
610,1.48E+07,0.015,888581.0136,-0.996404369,,,
620,1.38E+07,0.015,1066949.218,-0.994024766,,,
630,1.38E+07,0.014,1835652.692,-0.982427062,,,
640,9054974.354,0.015,1749039.233,-0.962690051,,,
650,9385394.574,0.016,1854881.166,-0.960940461,,,
660,1.15E+07,0.015,1613187.119,-0.980162825,,,
670,1.27E+07,0.015,1607571.808,-0.983883687,,,
680,1.62E+07,0.014,1971487.554,-0.98521974,,,
690,1.04E+07,0.014,1096209.049,-0.988962849,,,
700,1.07E+07,0.014,1970648.545,-0.965771618,,,
710,1.27E+07,0.014,2664154.205,-0.955676576,,,
720,7932123.428,0.014,2279611.661,-0.917407081,,,
730,1.34E+07,0.014,1757181.572,-0.982756625,,,
740,9204145.354,0.014,1594021.098,-0.970006911,,,
750,1.42E+07,0.015,1896573.545,-0.982044565,,,
760,1.11E+07,0.014,1675257.019,-0.977061003,,,
770,1.22E+07,0.014,2381994.196,-0.962026965,,,
780,1.51E+07,0.016,2124763.608,-0.980280541,,,
790,1.05E+07,0.014,1860464.053,-0.968694326,,,
800,1.02E+07,0.015,1661989.214,-0.973253803,,,
810,1.35E+07,0.014,2230501.265,-0.972526909,,,
820,1.18E+07,0.013,1746511.355,-0.978227537,,,
830,1.05E+07,0.014,2760486.877,-0.930537878,,,
840,1.20E+07,0.014,1589902.258,-0.982385371,,,
850,1.42E+07,0.015,2328174.493,-0.973082258,,,
860,9614858.503,0.016,2508008.38,-0.931958767,,,
870,1.10E+07,0.014,3090965.242,-0.920667944,,,
880,9596227.078,0.014,2611525.765,-0.925939337,,,
890,1.15E+07,0.014,2234688.165,-0.962549189,,,
