id, d, s,c,score,,,
1,13.06886467,0.001,25.6574542,2.854352259,,,
2,27.5707011,0.001,53.23658464,2.728419335,,,
3,100.9154594,0.001,170.7624759,1.863317335,,,
4,117.2301597,0.001,195.1771969,1.771912009,,,
5,106.0852738,0.001,184.2524866,2.016591564,,,
6,56.28728587,0.001,131.4305161,4.452200409,,,
7,59.8313376,0.002,101.4080714,1.872682458,,,
8,50.7354285,0.002,123.4403564,4.919590556,,,
9,95.43184436,0.002,192.1779249,3.055275508,,,
10,23.68253186,0.002,48.90777772,3.264809129,,,
11,3909.629033,0.002,2499.303244,-0.591335603,,,
15,2408.916452,0.003,3571.498662,1.198150927,,,
20,4042.093589,0.002,3722.741427,-0.151771198,,,
25,10507.29938,0.001,9407.331499,-0.198412967,,,
30,4801.810172,0.002,5299.416339,0.217996685,,,
35,9999.768113,0.002,7137.354226,-0.49055812,,,
40,8864.546207,0.002,8322.441194,-0.118568729,,,
45,6532.524092,0.002,5885.624263,-0.188248637,,,
50,14793.23839,0.002,11034.89356,-0.443570964,,,
55,12717.60448,0.002,12242.36872,-0.073340286,,,
60,18149.90412,0.002,14941.50875,-0.322295707,,,
65,13657.36731,0.002,16950.41873,0.540376494,,,
70,12255.85717,0.001,10088.58671,-0.322400183,,,
75,28056.44045,0.001,23000.23772,-0.327953215,,,
80,24953.28527,0.002,26795.67605,0.153118592,,,
85,24014.59068,0.002,36287.89832,1.283354037,,,
90,9112.43721,0.002,12969.49116,1.025707693,,,
95,12057.43875,0.002,8621.074408,-0.488774324,,,
100,15660.98183,0.002,18570.7527,0.406115651,,,
101,1986179.381,0.02,388798.207,-0.961681229,,,
110,105992.2864,0.023,63693.77311,-0.63888508,,,
120,2353653.76,0.02,313287.3217,-0.98228258,,,
130,484299.5462,0.021,69145.12479,-0.979615737,,,
140,3623811.723,0.021,324675.8243,-0.991972716,,,
150,1191409.31,0.019,306355.8938,-0.933880357,,,
160,1382970.836,0.019,223679.7158,-0.973840637,,,
170,2044527.812,0.017,730076.3093,-0.872488173,,,
180,174954.2524,0.021,87896.89042,-0.747594963,,,
190,1386666.629,0.015,284872.728,-0.957795611,,,
200,4546342.369,0.015,541705.8394,-0.985802798,,,
210,1702408.436,0.018,409420.7609,-0.942162143,,,
220,3701816.206,0.017,306690.5435,-0.993136098,,,
230,2594150.523,0.016,462065.2594,-0.968273929,,,
240,3315034.263,0.016,386928.0944,-0.986376632,,,
250,3070237.1,0.016,479425.8961,-0.975616326,,,
260,1384966.211,0.017,390724.193,-0.920409314,,,
270,4678833.87,0.016,542139.92,-0.986573973,,,
280,4489499.057,0.014,937130.6035,-0.956428303,,,
290,6216976.115,0.016,457172.9485,-0.994592424,,,
300,4867963.927,0.015,779196.6766,-0.974378799,,,
310,2920335.083,0.015,491000.1736,-0.971731815,,,
320,4003935.619,0.016,348854.2034,-0.992408742,,,
330,4960929.676,0.018,548084.1853,-0.98779414,,,
340,5750652.998,0.016,1626989.137,-0.919954858,,,
350,8310621.962,0.015,1333061.915,-0.974270367,,,
360,3477391.017,0.014,966480.1203,-0.922753503,,,
370,2378150.957,0.015,620612.7522,-0.931897579,,,
380,5297429.903,0.016,441828.9594,-0.993043706,,,
390,4962927.754,0.015,984963.5299,-0.960611958,,,
400,6647271.349,0.015,834053.5607,-0.984256508,,,
410,7101607.139,0.015,995704.8847,-0.980341608,,,
420,4712314.073,0.014,1363450.644,-0.91628363,,,
430,1.03E+07,0.014,1793481.147,-0.969598897,,,
440,4842341.569,0.015,909473.4461,-0.964724823,,,
450,6792186.159,0.015,992892.3979,-0.97863095,,,
460,5651068.878,0.014,1035609.039,-0.966416151,,,
470,5397127.85,0.015,854399.5368,-0.974939104,,,
480,6675185.55,0.016,1022631.608,-0.976530073,,,
490,5409076.57,0.015,1105274.75,-0.95824637,,,
500,8828539.755,0.016,832656.2839,-0.99110484,,,
510,4426153.01,0.015,1379527.466,-0.902857817,,,
520,8108163.343,0.015,904613.9695,-0.987552515,,,
530,5555992.125,0.015,964209.6149,-0.969882448,,,
540,4266935.75,0.014,1387399.407,-0.894276678,,,
550,7582912.26,0.017,845038.0644,-0.987581176,,,
560,8109640.608,0.013,1270812.622,-0.975443876,,,
570,5367783.515,0.014,1944604.581,-0.868758065,,,
580,7112525.063,0.015,1688824.725,-0.943620459,,,
590,6203212.279,0.015,1102305.61,-0.968423009,,,
600,7330972.791,0.015,1061264.336,-0.97904325,,,
610,8104557.103,0.015,888581.0136,-0.987979141,,,
620,7914320.364,0.015,1066949.218,-0.981825593,,,
630,8310665.449,0.016,1835652.692,-0.951212403,,,
640,9044931.162,0.014,1749039.233,-0.96260715,,,
650,9372881.914,0.014,1854881.166,-0.960836104,,,
660,8319906.021,0.015,1613187.119,-0.962404778,,,
670,7936057.009,0.015,1607571.808,-0.958967195,,,
680,9128387.697,0.015,1971487.554,-0.953355555,,,
690,9643027.223,0.015,1096209.049,-0.9870771,,,
700,7691444.662,0.014,1970648.545,-0.93435487,,,
710,9888059.221,0.014,2664154.205,-0.92740669,,,
720,7668082.631,0.014,2279611.661,-0.911621186,,,
730,8873312.484,0.015,1757181.572,-0.960784141,,,
740,6141079.112,0.014,1594021.098,-0.932625005,,,
750,1.01E+07,0.015,1896573.545,-0.964873354,,,
760,9043649.548,0.016,1675257.019,-0.965685676,,,
770,1.09E+07,0.017,2381994.196,-0.951902999,,,
780,5356156.587,0.016,2124763.608,-0.842632622,,,
790,9868827.514,0.015,1860464.053,-0.964460489,,,
800,9007894.026,0.014,1661989.214,-0.965958408,,,
810,8848103.702,0.014,2230501.265,-0.936451612,,,
820,8975102.906,0.014,1746511.355,-0.962132734,,,
830,7524758.385,0.014,2760486.877,-0.865418224,,,
840,8065944.414,0.015,1589902.258,-0.961146477,,,
850,8827234.931,0.014,2328174.493,-0.930436459,,,
860,1.29E+07,0.014,2508008.38,-0.962281519,,,
870,8680202.918,0.014,3090965.242,-0.873197304,,,
880,1.04E+07,0.014,2611525.765,-0.936969583,,,
890,9882400.357,0.015,2234688.165,-0.948866094,,,
900,5746453.941,0.014,2644682.285,-0.788189662,,,
910,6196648.292,0.015,1406921.667,-0.9484503,,,
920,1.11E+07,0.014,2491291.163,-0.949321019,,,
930,9734867.607,0.013,2506073.812,-0.933728375,,,
940,7653564.885,0.013,1791559.453,-0.945205759,,,
