id, d, s,c,score,,,
1,24.14048365,0.001,25.6574542,0.12962733,,,
2,26.46438587,0.002,53.23658464,3.046660136,,,
3,95.89775023,0.001,170.7624759,2.170794153,,,
4,68.34031306,0.002,195.1771969,7.156507222,,,
5,89.64762809,0.002,184.2524866,3.224245094,,,
6,51.64321704,0.001,131.4305161,5.476879993,,,
7,87.53391836,0.002,101.4080714,0.342122964,,,
8,53.61603196,0.002,123.4403564,4.300599548,,,
9,96.48937146,0.001,192.1779249,2.966870696,,,
10,19.25236821,0.002,48.90777772,5.453384494,,,
11,3304.674419,0.003,2499.303244,-0.428020389,,,
15,5242.383283,0.003,3571.498662,-0.535865936,,,
20,5184.028867,0.002,3722.741427,-0.484307373,,,
25,11309.32181,0.002,9407.331499,-0.308073806,,,
30,3923.955253,0.002,5299.416339,0.823929251,,,
35,7640.830984,0.002,7137.354226,-0.127443986,,,
40,6926.870179,0.002,8322.441194,0.443535184,,,
45,8894.647145,0.002,5885.624263,-0.562147717,,,
50,10201.35766,0.002,11034.89356,0.170092913,,,
55,11074.33623,0.002,12242.36872,0.222068362,,,
60,17793.07978,0.002,14941.50875,-0.294841647,,,
65,20291.1073,0.001,16950.41873,-0.302170431,,,
70,9869.134149,0.002,10088.58671,0.044966956,,,
75,20982.62808,0.001,23000.23772,0.2015584,,,
80,21243.15893,0.002,26795.67605,0.591077157,,,
85,31786.71898,0.002,36287.89832,0.303263484,,,
90,12498.68584,0.002,12969.49116,0.076755679,,,
95,15316.89088,0.002,8621.074408,-0.683202642,,,
100,21154.16009,0.001,18570.7527,-0.229331799,,,
101,1743317.699,0.019,388798.207,-0.950261186,,,
110,222639.259,0.02,63693.77311,-0.91815532,,,
120,1743147.32,0.017,313287.3217,-0.967698889,,,
130,248494.3739,0.018,69145.12479,-0.922573432,,,
140,2108497.267,0.018,324675.8243,-0.976288784,,,
150,1766626.008,0.016,306355.8938,-0.969927936,,,
160,1447327.193,0.018,223679.7158,-0.976115302,,,
170,2732637.667,0.016,730076.3093,-0.928620679,,,
180,504789.7282,0.018,87896.89042,-0.969680223,,,
190,1117558.46,0.016,284872.728,-0.935022762,,,
200,2064137.184,0.015,541705.8394,-0.931126854,,,
210,1290248.392,0.017,409420.7609,-0.89930844,,,
220,3475281.996,0.017,306690.5435,-0.992212095,,,
230,1352209.473,0.016,462065.2594,-0.883233386,,,
240,3141738.68,0.015,386928.0944,-0.984832276,,,
250,4026756.244,0.015,479425.8961,-0.985824699,,,
260,1944303.005,0.017,390724.193,-0.959615686,,,
270,3858397.158,0.015,542139.92,-0.980257192,,,
280,5280581.448,0.016,937130.6035,-0.968505353,,,
290,5560132.543,0.015,457172.9485,-0.993239314,,,
300,7030565.762,0.016,779196.6766,-0.98771674,,,
310,3373067.349,0.014,491000.1736,-0.978810863,,,
320,3611871.953,0.016,348854.2034,-0.990671255,,,
330,6003234.325,0.016,548084.1853,-0.991664648,,,
340,8815851.062,0.014,1626989.137,-0.9659403,,,
350,9345758.129,0.014,1333061.915,-0.97965435,,,
360,5961619.843,0.015,966480.1203,-0.973718068,,,
370,4269907.171,0.015,620612.7522,-0.97887462,,,
380,7101599.748,0.015,441828.9594,-0.996129242,,,
390,5048486.765,0.015,984963.5299,-0.961935699,,,
400,3708803.203,0.015,834053.5607,-0.949426815,,,
410,4898361.372,0.015,995704.8847,-0.958680065,,,
420,5172459.855,0.015,1363450.644,-0.930516036,,,
430,5988960.345,0.014,1793481.147,-0.910321,,,
440,7077799.949,0.015,909473.4461,-0.983488616,,,
450,6272922.834,0.015,992892.3979,-0.974946726,,,
460,4822569.24,0.014,1035609.039,-0.953885795,,,
470,4516229.338,0.014,854399.5368,-0.964209313,,,
480,7238636.471,0.015,1022631.608,-0.980041638,,,
490,5346149.222,0.015,1105274.75,-0.957257655,,,
500,7666499.473,0.016,832656.2839,-0.988203931,,,
510,6101727.698,0.015,1379527.466,-0.948884212,,,
520,8257148.617,0.014,904613.9695,-0.987997648,,,
530,7915265.718,0.016,964209.6149,-0.985160751,,,
540,6707572.223,0.016,1387399.407,-0.957216896,,,
550,7753204.85,0.015,845038.0644,-0.988120723,,,
560,8253856.26,0.015,1270812.622,-0.976294494,,,
570,7321095.102,0.014,1944604.581,-0.929447808,,,
580,6116051.705,0.014,1688824.725,-0.92375228,,,
590,6495071.023,0.015,1102305.61,-0.971197099,,,
600,6834617.89,0.015,1061264.336,-0.975888809,,,
610,8609857.935,0.014,888581.0136,-0.989348713,,,
620,1.15E+07,0.015,1066949.218,-0.991319939,,,
630,1.18E+07,0.014,1835652.692,-0.975972472,,,
640,7551770.133,0.014,1749039.233,-0.946358418,,,
650,8118030.621,0.015,1854881.166,-0.947792751,,,
660,8052465.762,0.015,1613187.119,-0.959866067,,,
670,9560834.609,0.015,1607571.808,-0.97172848,,,
680,7690591.903,0.016,1971487.554,-0.93428439,,,
690,7856916.207,0.016,1096209.049,-0.98053374,,,
700,8096615.434,0.014,1970648.545,-0.940760507,,,
710,8779032.537,0.014,2664154.205,-0.907907259,,,
720,6011746.157,0.013,2279611.661,-0.856212719,,,
730,9449380.003,0.013,1757181.572,-0.965419868,,,
740,7784950.684,0.013,1594021.098,-0.958074679,,,
750,1.14E+07,0.015,1896573.545,-0.972476778,,,
760,7418490.258,0.015,1675257.019,-0.949004503,,,
770,9686722.645,0.014,2381994.196,-0.939531713,,,
780,4673994.094,0.016,2124763.608,-0.793345475,,,
790,8878671.077,0.015,1860464.053,-0.956091699,,,
800,7584153.17,0.017,1661989.214,-0.951977782,,,
810,1.24E+07,0.014,2230501.265,-0.967543893,,,
820,9496512.373,0.014,1746511.355,-0.966176811,,,
830,7264238.556,0.014,2760486.877,-0.855592025,,,
840,4547241.858,0.015,1589902.258,-0.877751161,,,
850,1.00E+07,0.015,2328174.493,-0.945805348,,,
860,7880979.656,0.015,2508008.38,-0.898726096,,,
870,9459975.408,0.015,3090965.242,-0.893240083,,,
880,7835192.335,0.014,2611525.765,-0.888906332,,,
890,9877650.688,0.014,2234688.165,-0.948816907,,,
900,5330153.154,0.014,2644682.285,-0.753811571,,,
910,7450573.231,0.015,1406921.667,-0.964341714,,,
920,7932973.82,0.015,2491291.163,-0.90137729,,,
930,7929011.55,0.014,2506073.812,-0.900103651,,,
940,1.08E+07,0.015,1791559.453,-0.972531499,,,
950,8475420.718,0.015,2851771.978,-0.886784194,,,
960,1.36E+07,0.014,2244049.361,-0.972629537,,,
970,8474089.502,0.014,1951695.446,-0.946955788,,,
980,7549907.415,0.014,3006522.626,-0.84142099,,,
990,9681343.09,0.014,4179213.766,-0.813654912,,,
1000,8101562.047,0.014,2680367.522,-0.890541077,,,
1001,2.81E+08,0.091,6980325.459,-0.999384887,,,
1020,2.80E+08,0.092,8486804.91,-0.999080493,,,
1040,2.90E+08,0.092,6286661.537,-0.99953093,,,
1060,4.32E+08,0.095,1.24E+07,-0.999177711,,,
1080,2.39E+08,0.094,5977299.86,-0.999373332,,,
1100,5.44E+08,0.094,8866485.637,-0.999734434,,,
1120,2.38E+08,0.09,9181844.075,-0.998515809,,,
1140,2.39E+08,0.092,6507533.802,-0.999256941,,,
1160,6.35E+08,0.088,1.36E+07,-0.999540898,,,
1180,3.92E+08,0.097,5060466.117,-0.999833309,,,
1200,2.72E+08,0.097,7375648.495,-0.999264774,,,
1220,5.36E+08,0.09,1.18E+07,-0.999515684,,,
1240,2.69E+08,0.109,1.06E+07,-0.998441506,,,
1260,3.97E+08,0.09,1.58E+07,-0.998415893,,,
1280,3.52E+08,0.094,3981796.839,-0.999871696,,,
1300,3.09E+08,0.092,9659310.184,-0.999020026,,,
1320,5.24E+08,0.09,1.05E+07,-0.999598901,,,
1340,6.14E+08,0.118,1.51E+07,-0.999395201,,,
1360,3.72E+08,0.094,8658899.244,-0.999456914,,,
1380,4.10E+08,0.093,9403196.361,-0.999473497,,,
1400,6.90E+08,0.091,1.28E+07,-0.999656291,,,
1420,4.13E+08,0.093,1.01E+07,-0.999403293,,,
1440,2.89E+08,0.09,9378419.03,-0.998948823,,,
1460,5.69E+08,0.089,1.23E+07,-0.999532226,,,
1480,6.31E+08,0.092,8117617.141,-0.99983467,,,
1500,7.68E+08,0.093,1.63E+07,-0.999549872,,,
1520,4.61E+08,0.091,8816856.109,-0.999633824,,,
1540,4.89E+08,0.094,8093298.636,-0.999726001,,,
1560,7.89E+08,0.089,2.18E+07,-0.999236758,,,
1580,3.70E+08,0.091,2.08E+07,-0.996846397,,,
1600,7.05E+08,0.094,1.11E+07,-0.999751826,,,
1620,4.28E+08,0.091,1.03E+07,-0.999421559,,,
1640,6.25E+08,0.09,1.06E+07,-0.999712237,,,
